sample	event	run	rc	has_calib	main_cid	vx	vy	vz	n_steiner_main	n_steiner_term	n_seg	n_stub	zz_len	zz_ratio	zz_rms_dr	zz_fold	zzi_len	zzi_ratio	zzi_rms_dr	iso_len75	iso_len80	iso_len_any75	iso_len_any85	mu_dqdx_med	mu_npts	uncov	uncov_q	pio_flag	pio_mass	mcs_energy	mcs_amb	mcs_range	event_label	nu_evaluated	numu_score	nue_score	Enu	wall_s	core_s	maxrss_kb	bundles
mcp1k	48367	18255	0	1	19	-161.645	-91.0481	172.399	569	97	1	0	178.137	1.08545	3.24436	0.25	178.137	1.08545	3.24436	178.137	178.137	178.137	178.137	50539.1	288	0.170577	3.49879e+07	1	32.9205	402.98	0.232158	408.055	nu-candidate	1	2.244109	-15.0	1033.3729	15.947	8.771	1266956	{"11:1000006": "-1,-1,-1", "12:1000012": "-1,-1,-1", "15:1000000": "-1,-1,-1", "17:1000007": "-1,-1,-1", "18:1000002": "-1,-1,-1", "19:1": "0,0,0", "1:11": "-1,-1,-1", "20:3": "-1,-1,-1", "21:7": "-1,-1,-1", "22:4": "-1,-1,-1", "2:8": "-1,-1,-1", "4:2": "-1,-1,-1", "6:5": "-1,-1,-1", "8:1000001": "-1,-1,-1", "9:1000008": "-1,-1,-1"}
mcp1k	48895	18255	0	1	17	-164.948	-165.485	185.396	1261	173	1	0	180.814	1.07643	0.807748	0.28	180.814	1.07643	0.807748	180.814	180.814	180.814	0	49522.8	292	0.217036	3.98544e+07	1	1.14793	806.771	0.961227	416.5	nu-candidate	1	2.8101292	-15.0	534.05963	15.464	7.009	1212384	{"12:1000003": "-1,-1,-1", "13:1000004": "-1,-1,-1", "14:1000000": "-1,-1,-1", "15:1": "-1,-1,-1", "16:0": "-1,-1,-1", "17:4": "0,0,0", "1:7": "-1,-1,-1", "4:3": "-1,-1,-1", "5:2": "-1,-1,-1", "7:1000007": "-1,-1,-1", "8:1000014": "-1,-1,-1", "9:1000009": "-1,-1,-1"}
mcp1k	50303	18255	0	1	12	143.399	35.9168	184.313	447	79	2	0	48.6932	1.04997	0.424247	0.164698	0	nan	nan	0	0	0	0	128352	30	0.378222	2.74742e+07	1	1.41705	-1	-1	-1	nu-candidate	1	0.24515156	-15.0	317.4737	14.228	6.383	1184796	{"10:1000003": "-1,-1,-1", "11:1": "-1,-1,-1", "12:1000001": "0,0,1", "13:2": "-1,-1,-1", "14:1000015": "-1,-1,-1", "1:8": "-1,-1,-1", "3:5": "-1,-1,-1", "5:1000002": "-1,-1,-1", "7:1000000": "-1,-1,-1", "8:1000012": "-1,-1,-1", "9:0": "-1,-1,-1"}
mcp1k	50831	18255	0	1	14	-137.49	-124.457	415.836	126	31	2	0	11.721	1.03741	0.0900505	0.263158	0	nan	nan	0	0	0	0	nan	0	0.0191683	1.01199e+07	1	4.0006	-1	-1	-1	nu-candidate	1	-1.7257667	-15.0	239.26755	14.240	5.963	1204644	{"10:1000003": "-1,-1,-1", "11:1000002": "-1,-1,-1", "12:1000010": "-1,-1,-1", "13:1000000": "-1,-1,-1", "14:1": "0,0,1", "15:1000008": "-1,-1,-1", "1:5": "-1,-1,-1", "3:2": "-1,-1,-1", "4:4": "-1,-1,-1", "7:1000007": "-1,-1,-1", "8:1000005": "-1,-1,-1", "9:1000009": "-1,-1,-1"}
mcp1k	54341	18255	0	1	18	117.212	164.423	141.651	390	72	3	0	56.2267	1.03362	0.191912	0.152275	33.6362	1.05053	0.222358	33.6362	33.6362	33.6362	33.6362	77593.1	29	0.145792	2.65781e+07	1	132.582	-1	-1	-1	nu-candidate	1	0.8029297	-15.0	789.62683	18.516	8.016	1256480	{"12:3": "-1,-1,-1", "13:1000003": "-1,-1,-1", "14:18": "-1,-1,-1", "15:1000010": "-1,-1,-1", "16:1000002": "-1,-1,-1", "17:1000011": "-1,-1,-1", "18:1000006": "0,0,1", "19:1000000": "-1,-1,-1", "20:1000005": "-1,-1,-1", "21:6": "-1,-1,-1", "22:1000012": "-1,-1,-1", "23:1000017": "-1,-1,-1", "24:1000001": "-1,-1,-1", "4:1000015": "-1,-1,-1", "8:1000009": "-1,-1,-1", "9:1000007": "-1,-1,-1"}
mcp1k	54351	18255	0	1	17	-140.332	81.2917	189.604	586	123	4	0	106.453	1.05365	0.999086	0.119996	55.8734	1.0646	1.59516	55.8734	55.8734	55.8734	0	68579.4	62	0.101637	2.99262e+07	1	4.33818	106.684	0.671498	125.534	nu-candidate	1	0.7515528	-15.0	714.2109	14.446	6.914	1187520	{"10:1000000": "-1,-1,-1", "12:1000001": "-1,-1,-1", "13:1000005": "-1,-1,-1", "14:12": "-1,-1,-1", "15:2": "-1,-1,-1", "16:4": "-1,-1,-1", "17:1": "0,0,1", "18:1000012": "-1,-1,-1", "2:0": "-1,-1,-1", "3:6": "-1,-1,-1", "5:5": "-1,-1,-1", "7:3": "-1,-1,-1", "9:1000002": "-1,-1,-1"}
mcp1k	55595	18255	0	1	8	-178.796	-57.5682	192.976	1084	175	4	0	210.83	1.06522	0.650153	0.222971	193.836	1.06583	0.67459	193.836	193.836	193.836	0	54524.6	314	0.159222	5.04217e+07	1	2.99507	399.679	0.0120032	456.519	nu-candidate	1	3.7605207	-15.0	846.77716	11.299	8.090	1168272	{"10:1000006": "-1,-1,-1", "1:1": "-1,-1,-1", "2:1000005": "-1,-1,-1", "4:1000001": "-1,-1,-1", "5:8": "-1,-1,-1", "6:1000000": "-1,-1,-1", "7:3": "-1,-1,-1", "8:0": "0,0,0", "9:1000002": "-1,-1,-1"}
mcp1k	55627	18255	0	1	22	-80.6763	60.0988	182.054	1165	255	2	0	200.594	1.01779	0.720257	0.0450776	0	nan	nan	0	0	0	0	49743.9	302	0.230114	4.66615e+07	1	3.59131	877.161	0.682503	433.062	nu-candidate	1	5.4024925	-15.0	696.78064	11.305	6.725	1245508	{"11:1": "-1,-1,-1", "12:1000009": "-1,-1,-1", "15:1000000": "-1,-1,-1", "16:1000006": "-1,-1,-1", "17:1000004": "-1,-1,-1", "18:1000002": "-1,-1,-1", "19:4": "-1,-1,-1", "1:17": "-1,-1,-1", "20:1000003": "-1,-1,-1", "21:1000001": "-1,-1,-1", "22:5": "0,0,0", "23:7": "-1,-1,-1", "24:10": "-1,-1,-1", "4:0": "-1,-1,-1", "6:6": "-1,-1,-1", "8:11": "-1,-1,-1"}
mcp1k	55715	18255	0	1	15	-48.0946	-38.534	481.963	420	91	3	0	59.2244	1.05069	0.235478	0.0844997	17.0144	1.02897	0.0645219	17.0144	0	17.0144	0	nan	0	0.123638	1.60216e+07	1	15.5522	-1	-1	-1	nu-candidate	1	1.1603194	-15.0	604.89734	12.217	6.425	1197588	{"10:1000006": "-1,-1,-1", "11:1000001": "-1,-1,-1", "12:1000005": "-1,-1,-1", "13:1000002": "-1,-1,-1", "14:2": "-1,-1,-1", "15:6": "0,0,0", "16:3": "-1,-1,-1", "2:10": "-1,-1,-1", "4:4": "-1,-1,-1", "6:0": "-1,-1,-1", "7:1": "-1,-1,-1", "9:1000012": "-1,-1,-1"}
mcp1k	56211	18255	0	1	11	89.6269	-33.8188	82.1738	155	35	2	0	15.4862	1.02551	0.0683818	0.12	15.4862	1.02551	0.0683818	15.4862	0	15.4862	0	nan	0	0.0359926	1.22207e+07	1	2.29321	-1	-1	-1	nu-candidate	1	-1.9602162	-15.0	305.10648	10.987	5.393	1216416	{"11:1000009": "0,0,1", "14:1000003": "-1,-1,-1", "16:1000001": "-1,-1,-1", "17:1000013": "-1,-1,-1", "18:1000012": "-1,-1,-1", "19:1000008": "-1,-1,-1", "20:19": "-1,-1,-1", "21:1000002": "-1,-1,-1", "22:1000005": "-1,-1,-1", "23:11": "-1,-1,-1", "24:3": "-1,-1,-1", "25:5": "-1,-1,-1", "26:6": "-1,-1,-1", "27:1000007": "-1,-1,-1", "4:4": "-1,-1,-1", "7:1000023": "-1,-1,-1", "8:1000020": "-1,-1,-1", "9:1000015": "-1,-1,-1"}
