sample	event	run	rc	has_calib	main_cid	vx	vy	vz	n_steiner_main	n_steiner_term	n_seg	n_stub	zz_len	zz_ratio	zz_rms_dr	zz_fold	zzi_len	zzi_ratio	zzi_rms_dr	iso_len75	iso_len80	iso_len_any75	iso_len_any85	mu_dqdx_med	mu_npts	uncov	uncov_q	pio_flag	pio_mass	mcs_energy	mcs_amb	mcs_range	event_label	nu_evaluated	numu_score	nue_score	Enu	wall_s	core_s	maxrss_kb	bundles
mcp2k	47036	18259	0	0																						nan	nan		nan	nan	nan	nan	cosmic-tagged	0				18.285	1.143	383852	{"10:1000000": "-1,-1,-1", "11:2": "-1,-1,-1", "12:1000006": "0,1,0", "4:1000004": "-1,-1,-1", "5:1000005": "-1,-1,-1", "6:8": "-1,-1,-1", "7:1000002": "-1,-1,-1", "8:0": "-1,-1,-1", "9:4": "-1,-1,-1"}
mcp2k	47058	18259	0	1	11	39.3986	119.209	100.047	2538	422	1	0	178.2	1.02819	2.8816	0.0306122	0	nan	nan	0	0	0	0	55167.5	286	0.248476	4.41729e+07	1	1.51529	457.979	0.419825	413.839	nu-candidate	1	1.9083313	-15.0	531.2331	29.215	7.398	1203580	{"10:0": "-1,-1,-1", "11:5": "0,0,1", "12:1000004": "-1,-1,-1", "2:1000003": "-1,-1,-1", "3:1000010": "-1,-1,-1", "5:1": "-1,-1,-1", "6:1000001": "-1,-1,-1", "7:9": "-1,-1,-1", "8:1000000": "-1,-1,-1", "9:6": "-1,-1,-1"}
mcp2k	47212	18259	0	1	1	-153.192	-120.289	201.18	719	110	2	0	83.4914	1.02981	0.269924	0.138765	83.4914	1.02981	0.269924	83.4914	0	83.4914	0	nan	0	0.306047	3.75104e+07	1	666.775	-1	-1	-1	nu-candidate	1	-0.17957456	-15.0	1248.3032	30.607	10.587	1249256	{"10:1000010": "-1,-1,-1", "12:1000013": "-1,-1,-1", "15:1000002": "-1,-1,-1", "16:1000009": "-1,-1,-1", "17:4": "-1,-1,-1", "18:2": "-1,-1,-1", "19:7": "-1,-1,-1", "1:0": "0,0,0", "20:1000003": "-1,-1,-1", "21:17": "-1,-1,-1", "22:10": "-1,-1,-1", "23:3": "-1,-1,-1", "3:6": "-1,-1,-1", "5:5": "-1,-1,-1", "7:1000000": "-1,-1,-1", "8:1000004": "-1,-1,-1"}
mcp2k	47278	18259	0	1	6	-70.7253	152.204	224.551	1043	204	5	1	78.9567	1.01933	0.146477	0.0311594	0	nan	nan	0	0	0	0	70324.5	89	0.103391	2.93982e+07	1	2.15592	287.011	0.926908	123.777	nu-candidate	1	1.7524179	-15.0	222.47012	27.966	7.733	1198260	{"10:1000006": "-1,-1,-1", "12:1000008": "-1,-1,-1", "13:7": "-1,-1,-1", "14:1000004": "-1,-1,-1", "15:1000001": "-1,-1,-1", "16:3": "-1,-1,-1", "17:13": "-1,-1,-1", "18:4": "-1,-1,-1", "19:0": "-1,-1,-1", "2:10": "-1,-1,-1", "4:8": "-1,-1,-1", "6:6": "0,0,1", "7:2": "-1,-1,-1", "8:5": "-1,-1,-1"}
mcp2k	47608	18259	0	0																						nan	nan		nan	nan	nan	nan	no-bundle	0				20.211	0.982	371612	{"-1:1000008": "-1,-1,-1", "11:1000010": "-1,-1,-1", "12:1000006": "-1,-1,-1", "14:1000007": "-1,-1,-1", "15:1000011": "-1,-1,-1", "16:1000001": "-1,-1,-1", "1:2": "-1,-1,-1", "3:0": "-1,-1,-1", "5:1": "-1,-1,-1", "6:1000003": "-1,-1,-1", "7:1000009": "-1,-1,-1", "8:1000016": "-1,-1,-1"}
mcp2k	47696	18259	0	1	38	128.531	83.85	381.291	24	7	1	1	0	nan	nan	nan	0	nan	nan	0	0	0	0	nan	0	0	350742	0	0	-1	-1	-1	cosmic-tagged	1	-2.0725362	-15.0	126.816895	20.481	6.177	1165848	{"10:1": "-1,-1,-1", "11:1000002": "1,0,0", "12:1000000": "-1,-1,-1", "3:2": "-1,-1,-1", "4:4": "-1,-1,-1", "6:1000006": "-1,-1,-1", "8:1000005": "-1,-1,-1", "9:0": "-1,-1,-1"}
mcp2k	47784	18259	0	1	17	59.9685	-70.9014	113.332	1834	269	3	0	253.986	1.03345	0.75521	0.14036	221.294	1.03388	0.857151	221.294	221.294	221.294	0	nan	0	0.0711464	6.15243e+07	0	0	-1	-1	-1	nu-candidate	1	1.9914076	-15.0	994.3363	22.980	9.369	1188528	{"10:1000009": "-1,-1,-1", "12:1000007": "-1,-1,-1", "13:1000014": "-1,-1,-1", "15:1000003": "-1,-1,-1", "16:4": "-1,-1,-1", "17:1000005": "0,0,0", "18:1000002": "-1,-1,-1", "19:1": "-1,-1,-1", "20:1000008": "-1,-1,-1", "3:5": "-1,-1,-1", "6:1000001": "-1,-1,-1", "8:1000011": "-1,-1,-1"}
mcp2k	47894	18259	0	1	12	179.186	-93.595	29.9037	18	7	1	1	0	nan	nan	nan	0	nan	nan	0	0	0	0	nan	0	0.283604	423608	1	3.77566	-1	-1	-1	nu-candidate	1	-4.067064	-15.0	28.99696	19.323	5.251	1162440	{"10:1000006": "-1,-1,-1", "12:1000003": "0,0,1", "15:1000002": "-1,-1,-1", "16:1000004": "-1,-1,-1", "17:1000001": "-1,-1,-1", "18:5": "-1,-1,-1", "19:1": "-1,-1,-1", "20:1000000": "-1,-1,-1", "2:3": "-1,-1,-1", "3:9": "-1,-1,-1", "6:1000007": "-1,-1,-1", "8:1000009": "-1,-1,-1"}
mcp2k	47916	18259	0	1	11	39.7797	193.965	262.504	328	66	2	0	33.4431	1.02694	0.552414	0.0186169	0	nan	nan	0	0	0	0	nan	0	0.00497686	9.81141e+06	0	0	-1	-1	-1	nu-candidate	1	2.9120884	-15.0	325.85037	16.955	5.346	1142768	{"10:1000002": "-1,-1,-1", "11:1000006": "0,0,0", "12:2": "-1,-1,-1", "13:3": "-1,-1,-1", "14:1000012": "-1,-1,-1", "1:11": "-1,-1,-1", "4:1": "-1,-1,-1", "5:1000000": "-1,-1,-1", "8:1000001": "-1,-1,-1"}
mcp2k	47982	18259	0	0																						nan	nan		nan	nan	nan	nan	cosmic-tagged	0				15.603	1.017	352520	{"10:3": "-1,-1,-1", "11:1000003": "-1,-1,-1", "12:7": "1,0,0", "2:6": "-1,-1,-1", "3:1000009": "-1,-1,-1", "5:1000007": "-1,-1,-1", "6:1000006": "-1,-1,-1", "7:1000005": "-1,-1,-1", "8:1000000": "-1,-1,-1", "9:1000001": "-1,-1,-1"}
