sample	event	cluster	status_A	status_B	verdict_A	verdict_B	margin_A	margin_B	ks1_A	ks1_B	ks2_A	ks2_B	ratio2_A	ratio2_B
ncpi0	18625	17	7	0	1	1	0.11108	0.10022	0.10681	0.05969	0.21789	0.15991	1.33976	0.90408
ncpi0	71372	19	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
ncpi0	71372	27	3	3	0	0	0.08475	0.10798	2.81737	10.30099	2.90212	10.40897	20.33094	29.32017
ncpi0	142421	7	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
ncpi0	314838	13	3	3	0	0	0.08614	0.09530	0.12301	0.12813	0.20915	0.22343	0.80016	0.74739
ncpi0	521075	18	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
nuecc48	388	23	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
nuecc48	38856	19	7	7	1	1	0.07751	0.07875	0.25021	0.17587	0.32772	0.25462	1.38330	1.25435
nuecc48	54095	17	4	4	1	1	0.00438	0.09643	0.07832	0.07007	0.08271	0.16650	0.37019	0.41607
nuecc48	74544	12	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
nuecc48	81597	19	7	3	1	0	0.00575	0.07252	0.13565	0.09346	0.14140	0.16597	0.50060	0.26942
nuecc48	122660	9	3	3	0	0	0.08961	0.08949	0.14316	0.14986	0.23277	0.23935	0.33045	0.32896
nuecc48	137238	7	3	3	0	0	0.02768	-0.01748	0.06143	0.06582	0.10514	0.04835	0.96234	0.90020
nuecc48	168596	14	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
nuecc48	214469	22	3	3	0	0	0.00000	-0.01945	0.00000	0.04772	0.00000	0.05127	0.86504	0.96079
nuecc48	235435	2	3	7	0	1	0.09402	0.07009	0.24614	0.12751	0.34016	0.19759	0.51818	0.67684
nuecc48	268784	13	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
nuecc48	389538	11	4	2	1	0	0.01226	nan	0.09454	nan	0.10680	nan	0.87803	nan
nuecc48	437699	18	7	7	1	1	0.02922	0.02915	0.03968	0.04764	0.06890	0.07679	0.90321	0.91050
nuecc48	489330	4	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
