# pr150 traj compare A=pr150s0 B=pr150cs samples=['mcp1k', 'mcp2k'] A=1315 B=1319 common=1278
| group | n | metric | A | B | delta (row-weighted) | paired better / worse (|d|>0.005) | sign p |
|---|---|---|---|---|---|---|---|
| all | 1278 | R2D_W | 0.0097 | 0.0079 | -0.0018 | 238 / 140 | 5.27e-07 |
| all | 1278 | R2D_U | 0.0118 | 0.0104 | -0.0014 | 274 / 165 | 2.22e-07 |
| all | 1278 | R2D_V | 0.0157 | 0.0140 | -0.0017 | 321 / 174 | 3.84e-11 |
| all | 1278 | R2Dpm1_W | 0.0062 | 0.0050 | -0.0012 | 154 / 88 | 2.64e-05 |
| all | 1278 | P1 | 0.0279 | 0.0278 | -0.0001 | 304 / 314 | 0.717 |
| all | 1278 | P1_2 | 0.0047 | 0.0045 | -0.0002 | 45 / 34 | 0.26 |
| all | 1278 | P2 | 0.0225 | 0.0197 | -0.0029 | 357 / 182 | 3.99e-14 |
| all | 1278 | P3 | 0.7305 | 0.7568 | +0.0262 | 277 / 315 | 0.128 |
| all | 1278 | P4 | 0.8494 | 0.8493 | -0.0001 | 316 / 311 | 0.873 |
| all | 1278 | uncov | 0.2259 | 0.2220 | -0.0039 | 466 / 322 | 3.26e-07 |
| all | 1278 | qneg | 0.0307 | 0.0302 | -0.0005 | 396 / 310 | 0.00136 |
| all | 1278 | wig1 | 0.0948 | 0.0967 | +0.0019 | 399 / 436 | 0.213 |
| all | 1278 | med_d_W | 0.2396 | 0.2370 | -0.0026 | 528 / 493 | 0.287 |
| all | 1278 | noslice_W | 0.0020 | 0.0018 | -0.0002 | 53 / 32 | 0.0295 |
| all | 1278 | len_cm (sum) | 1859276.7 | 1867139.3 | +7862.6 | | |
| all | 1278 | rows (sum) | 388939.0 | 387155.0 | -1784.0 | | |
| control | 137 | R2D_W | 0.0147 | 0.0107 | -0.0040 | 25 / 18 | 0.36 |
| control | 137 | R2D_U | 0.0091 | 0.0088 | -0.0003 | 26 / 19 | 0.371 |
| control | 137 | R2D_V | 0.0141 | 0.0112 | -0.0029 | 36 / 15 | 0.0046 |
| control | 137 | R2Dpm1_W | 0.0113 | 0.0081 | -0.0032 | 18 / 10 | 0.185 |
| control | 137 | P1 | 0.0249 | 0.0245 | -0.0004 | 28 / 23 | 0.576 |
| control | 137 | P1_2 | 0.0085 | 0.0089 | +0.0004 | 4 / 4 | 1 |
| control | 137 | P2 | 0.0241 | 0.0185 | -0.0056 | 39 / 17 | 0.00456 |
| control | 137 | P3 | 0.5667 | 0.6747 | +0.1080 | 22 / 31 | 0.272 |
| control | 137 | P4 | 0.9550 | 0.9535 | -0.0015 | 21 / 25 | 0.659 |
| control | 137 | uncov | 0.2693 | 0.2560 | -0.0133 | 53 / 28 | 0.00728 |
| control | 137 | qneg | 0.0263 | 0.0261 | -0.0003 | 49 / 29 | 0.0308 |
| control | 137 | wig1 | 0.0952 | 0.0994 | +0.0042 | 38 / 55 | 0.0966 |
| control | 137 | med_d_W | 0.2437 | 0.2339 | -0.0098 | 55 / 53 | 0.923 |
| control | 137 | noslice_W | 0.0035 | 0.0030 | -0.0005 | 6 / 2 | 0.289 |
| control | 137 | len_cm (sum) | 166646.2 | 166684.3 | +38.0 | | |
| control | 137 | rows (sum) | 34200.0 | 33889.0 | -311.0 | | |
| iso | 142 | R2D_W | 0.0059 | 0.0055 | -0.0004 | 15 / 12 | 0.701 |
| iso | 142 | R2D_U | 0.0094 | 0.0078 | -0.0016 | 26 / 13 | 0.0533 |
| iso | 142 | R2D_V | 0.0130 | 0.0123 | -0.0007 | 28 / 21 | 0.392 |
| iso | 142 | R2Dpm1_W | 0.0030 | 0.0028 | -0.0003 | 9 / 6 | 0.607 |
| iso | 142 | P1 | 0.0299 | 0.0325 | +0.0026 | 32 / 54 | 0.023 |
| iso | 142 | P1_2 | 0.0044 | 0.0032 | -0.0012 | 10 / 7 | 0.629 |
| iso | 142 | P2 | 0.0161 | 0.0142 | -0.0019 | 30 / 16 | 0.0541 |
| iso | 142 | P3 | 0.8103 | 0.8996 | +0.0893 | 37 / 50 | 0.198 |
| iso | 142 | P4 | 0.6240 | 0.6241 | +0.0002 | 40 / 52 | 0.251 |
| iso | 142 | uncov | 0.1848 | 0.1900 | +0.0052 | 42 / 35 | 0.494 |
| iso | 142 | qneg | 0.0282 | 0.0311 | +0.0029 | 42 / 36 | 0.572 |
| iso | 142 | wig1 | 0.0653 | 0.0691 | +0.0038 | 28 / 48 | 0.0286 |
| iso | 142 | med_d_W | 0.2468 | 0.2449 | -0.0020 | 63 / 44 | 0.0814 |
| iso | 142 | noslice_W | 0.0016 | 0.0017 | +0.0002 | 1 / 1 | 1 |
| iso | 142 | len_cm (sum) | 310787.9 | 310440.6 | -347.3 | | |
| iso | 142 | rows (sum) | 76359.0 | 76412.0 | +53.0 | | |
| owner | 3 | R2D_W | 0.0094 | 0.0065 | -0.0028 | 0 / 1 | 1 |
| owner | 3 | R2D_U | 0.0019 | 0.0037 | +0.0019 | 0 / 1 | 1 |
| owner | 3 | R2D_V | 0.0121 | 0.0121 | -0.0000 | 0 / 0 | nan |
| owner | 3 | R2Dpm1_W | 0.0037 | 0.0056 | +0.0019 | 0 / 1 | 1 |
| owner | 3 | P1 | 0.0111 | 0.0093 | -0.0019 | 1 / 0 | 1 |
| owner | 3 | P1_2 | 0.0000 | 0.0000 | +0.0000 | 0 / 0 | nan |
| owner | 3 | P2 | 0.0149 | 0.0167 | +0.0018 | 0 / 0 | nan |
| owner | 3 | P3 | 0.4679 | 0.5031 | +0.0352 | 0 / 1 | 1 |
| owner | 3 | P4 | 0.8401 | 0.8430 | +0.0029 | 1 / 0 | 1 |
| owner | 3 | uncov | 0.3537 | 0.3410 | -0.0127 | 1 / 0 | 1 |
| owner | 3 | qneg | 0.0186 | 0.0167 | -0.0019 | 1 / 0 | 1 |
| owner | 3 | wig1 | 0.0641 | 0.0620 | -0.0020 | 1 / 2 | 1 |
| owner | 3 | med_d_W | 0.2431 | 0.2521 | +0.0090 | 0 / 3 | 0.25 |
| owner | 3 | noslice_W | 0.0037 | 0.0037 | -0.0000 | 0 / 0 | nan |
| owner | 3 | len_cm (sum) | 5069.2 | 4799.8 | -269.4 | | |
| owner | 3 | rows (sum) | 1077.0 | 1080.0 | +3.0 | | |
| vtx_iso | 250 | R2D_W | 0.0112 | 0.0094 | -0.0018 | 51 / 27 | 0.00877 |
| vtx_iso | 250 | R2D_U | 0.0139 | 0.0122 | -0.0018 | 54 / 42 | 0.261 |
| vtx_iso | 250 | R2D_V | 0.0160 | 0.0144 | -0.0016 | 69 / 38 | 0.00353 |
| vtx_iso | 250 | R2Dpm1_W | 0.0073 | 0.0063 | -0.0010 | 35 / 20 | 0.0581 |
| vtx_iso | 250 | P1 | 0.0300 | 0.0297 | -0.0002 | 68 / 84 | 0.224 |
| vtx_iso | 250 | P1_2 | 0.0035 | 0.0035 | +0.0000 | 12 / 8 | 0.503 |
| vtx_iso | 250 | P2 | 0.0232 | 0.0202 | -0.0030 | 69 / 47 | 0.0507 |
| vtx_iso | 250 | P3 | 0.7912 | 0.7643 | -0.0269 | 68 / 67 | 1 |
| vtx_iso | 250 | P4 | 0.8494 | 0.8475 | -0.0020 | 78 / 92 | 0.319 |
| vtx_iso | 250 | uncov | 0.2106 | 0.2133 | +0.0027 | 89 / 78 | 0.439 |
| vtx_iso | 250 | qneg | 0.0315 | 0.0305 | -0.0010 | 79 / 63 | 0.208 |
| vtx_iso | 250 | wig1 | 0.1017 | 0.1040 | +0.0023 | 83 / 91 | 0.596 |
| vtx_iso | 250 | med_d_W | 0.2403 | 0.2383 | -0.0020 | 107 / 94 | 0.397 |
| vtx_iso | 250 | noslice_W | 0.0016 | 0.0014 | -0.0002 | 11 / 6 | 0.332 |
| vtx_iso | 250 | len_cm (sum) | 398111.0 | 397546.2 | -564.8 | | |
| vtx_iso | 250 | rows (sum) | 83544.0 | 82514.0 | -1030.0 | | |
