# pr150 traj compare A=pr150s0 B=pr150tfull samples=['mcp1k', 'mcp2k'] A=1315 B=1306 common=1273
| group | n | metric | A | B | delta (row-weighted) | paired better / worse (|d|>0.005) | sign p |
|---|---|---|---|---|---|---|---|
| all | 1273 | R2D_W | 0.0097 | 0.0067 | -0.0030 | 276 / 102 | 1.25e-19 |
| all | 1273 | R2D_U | 0.0118 | 0.0082 | -0.0036 | 317 / 117 | 2.2e-22 |
| all | 1273 | R2D_V | 0.0157 | 0.0110 | -0.0048 | 408 / 120 | 1.06e-37 |
| all | 1273 | R2Dpm1_W | 0.0061 | 0.0044 | -0.0017 | 177 / 71 | 1.27e-11 |
| all | 1273 | P1 | 0.0279 | 0.0243 | -0.0036 | 354 / 221 | 3.23e-08 |
| all | 1273 | P1_2 | 0.0047 | 0.0043 | -0.0004 | 53 / 25 | 0.00203 |
| all | 1273 | P2 | 0.0223 | 0.0165 | -0.0057 | 438 / 138 | 2.49e-37 |
| all | 1273 | P3 | 0.7326 | 0.7110 | -0.0215 | 303 / 328 | 0.339 |
| all | 1273 | P4 | 0.8469 | 0.8495 | +0.0026 | 332 / 267 | 0.00887 |
| all | 1273 | uncov | 0.2256 | 0.2202 | -0.0055 | 526 / 254 | 1.08e-22 |
| all | 1273 | qneg | 0.0307 | 0.0289 | -0.0018 | 440 / 305 | 8.56e-07 |
| all | 1273 | wig1 | 0.0949 | 0.0969 | +0.0019 | 415 / 437 | 0.472 |
| all | 1273 | med_d_W | 0.2396 | 0.2429 | +0.0033 | 412 / 651 | 2.3e-13 |
| all | 1273 | noslice_W | 0.0020 | 0.0017 | -0.0003 | 62 / 29 | 0.000705 |
| all | 1273 | len_cm (sum) | 1855766.5 | 1858774.0 | +3007.5 | | |
| all | 1273 | rows (sum) | 388094.0 | 382410.0 | -5684.0 | | |
| control | 136 | R2D_W | 0.0147 | 0.0093 | -0.0054 | 24 / 10 | 0.0243 |
| control | 136 | R2D_U | 0.0091 | 0.0062 | -0.0030 | 32 / 17 | 0.0444 |
| control | 136 | R2D_V | 0.0141 | 0.0088 | -0.0052 | 43 / 8 | 6.87e-07 |
| control | 136 | R2Dpm1_W | 0.0114 | 0.0068 | -0.0045 | 17 / 6 | 0.0347 |
| control | 136 | P1 | 0.0250 | 0.0205 | -0.0045 | 34 / 13 | 0.00309 |
| control | 136 | P1_2 | 0.0085 | 0.0078 | -0.0007 | 6 / 1 | 0.125 |
| control | 136 | P2 | 0.0241 | 0.0159 | -0.0082 | 41 / 14 | 0.000355 |
| control | 136 | P3 | 0.5599 | 0.6053 | +0.0453 | 21 / 32 | 0.169 |
| control | 136 | P4 | 0.9548 | 0.9569 | +0.0021 | 23 / 24 | 1 |
| control | 136 | uncov | 0.2704 | 0.2581 | -0.0123 | 57 / 22 | 0.000103 |
| control | 136 | qneg | 0.0260 | 0.0241 | -0.0020 | 49 / 27 | 0.0154 |
| control | 136 | wig1 | 0.0950 | 0.0945 | -0.0005 | 45 / 43 | 0.915 |
