sample	event	arm	nseg	len_cm	fit_bow	img_bow	res_bow	res_rms	res_med	cover
mcp1k	48367	pr150ts0	1	178.1	10.524	10.720	0.342	0.594	-0.018	1.000
mcp1k	48895	pr150ts0	1	180.8	2.816	2.904	0.262	0.597	0.012	1.000
mcp1k	55595	pr150ts0	1	193.8	2.067	1.987	0.903	1.005	0.011	1.000
mcp1k	56463	pr150ts0	1	41.7	0.151	0.199	0.083	0.222	-0.011	0.986
mcp1k	57903	pr150ts0	1	51.1	0.897	0.989	0.043	0.108	0.016	1.000
mcp1k	62613	pr150ts0	1	302.9	1.940	1.927	0.146	0.356	0.036	0.998
mcp1k	63163	pr150ts0	2	183.6	1.282	1.061	0.162	0.399	0.004	0.990
mcp1k	63559	pr150ts0	1	161.4	3.308	3.300	0.220	0.550	0.023	1.000
mcp1k	67746	pr150ts0	2	182.3	2.397	2.472	0.131	0.376	0.020	0.997
mcp1k	71046	pr150ts0	1	194.7	6.098	4.962	0.126	0.463	0.037	0.997
mcp1k	168614	pr150ts0	2	188.0	0.731	0.925	0.112	0.214	-0.001	1.000
mcp1k	169890	pr150ts0	2	155.7	0.452	0.468	0.105	0.350	0.036	0.992
mcp1k	172090	pr150ts0	1	303.1	17.161	16.006	0.440	0.584	0.001	0.996
mcp1k	172788	pr150ts0	3	307.0	5.981	5.853	0.308	0.551	0.029	0.998
mcp1k	174224	pr150ts0	3	345.3	4.668	4.439	0.172	0.375	0.007	0.993
mcp1k	174576	pr150ts0	2	121.9	6.353	6.698	0.613	0.759	0.010	1.000
mcp1k	280994	pr150ts0	1	120.7	8.094	7.824	0.215	0.587	0.019	1.000
mcp1k	281837	pr150ts0	2	115.4	6.416	5.788	1.055	1.277	0.248	1.000
mcp1k	283009	pr150ts0	4	275.9	2.714	4.164	0.764	0.989	0.061	0.998
mcp1k	283713	pr150ts0	2	500.1	2.427	2.375	0.363	0.628	0.014	0.999
mcp1k	283771	pr150ts0	1	140.1	0.379	0.397	0.144	0.461	0.034	0.996
mcp1k	284769	pr150ts0	2	372.7	3.802	3.668	0.498	0.722	0.027	0.998
mcp1k	284794	pr150ts0	2	347.5	11.968	11.502	0.486	0.667	-0.045	0.997
mcp1k	286681	pr150ts0	5	240.7	2.455	2.409	1.274	1.593	-0.052	1.000
mcp1k	287825	pr150ts0	1	122.0	9.647	8.883	0.226	0.586	0.029	1.000
mcp1k	288287	pr150ts0	4	313.7	0.823	0.994	0.365	0.812	0.034	0.996
mcp1k	288327	pr150ts0	3	117.9	3.087	2.178	0.295	0.658	0.025	1.000
mcp1k	288859	pr150ts0	5	395.7	3.231	3.329	0.958	1.183	-0.013	0.998
mcp1k	291570	pr150ts0	1	220.1	1.095	2.619	3.097	3.624	-2.083	0.995
mcp1k	292384	pr150ts0	1	149.8	1.000	1.358	0.839	0.984	0.752	0.996
mcp1k	315167	pr150ts0	2	174.7	1.011	1.793	0.982	1.080	-0.130	0.997
mcp1k	315497	pr150ts0	2	317.2	8.288	8.196	0.222	0.530	0.022	0.992
mcp1k	316553	pr150ts0	2	263.4	0.926	1.157	0.164	0.411	0.007	1.000
mcp1k	317939	pr150ts0	3	186.3	6.420	6.181	0.963	1.134	-0.037	1.000
mcp1k	319611	pr150ts0	1	112.3	1.539	1.603	0.068	0.182	0.026	1.000
mcp1k	321107	pr150ts0	1	239.0	3.577	3.486	0.102	0.266	0.004	0.987
mcp1k	345633	pr150ts0	3	279.6	5.182	5.469	0.947	1.132	-0.019	1.000
mcp1k	351705	pr150ts0	1	121.1	3.424	3.424	0.539	0.877	0.026	1.000
mcp1k	390842	pr150ts0	2	436.1	5.972	5.890	0.126	0.376	0.024	0.997
mcp1k	393042	pr150ts0	1	415.2	8.412	8.289	0.360	0.626	0.020	0.997
mcp1k	394642	pr150ts0	1	323.1	2.806	3.138	0.432	0.690	0.021	0.998
mcp1k	395148	pr150ts0	5	190.7	2.367	2.670	1.047	1.258	0.037	0.997
mcp1k	399702	pr150ts0	1	210.7	14.246	14.348	0.922	1.035	0.019	1.000
mcp1k	400460	pr150ts0	1	165.6	2.298	2.314	0.079	0.351	0.017	1.000
mcp1k	400636	pr150ts0	1	263.3	8.924	9.072	0.083	0.328	0.024	1.000
mcp1k	490581	pr150ts0	2	228.4	6.263	5.887	0.164	0.568	0.016	0.997
mcp2k	47784	pr150ts0	1	218.1	2.908	2.159	0.404	0.630	0.014	0.992
mcp2k	51219	pr150ts0	2	213.1	13.755	13.208	0.985	1.153	-0.200	1.000
mcp2k	51868	pr150ts0	1	163.9	16.751	16.454	0.179	0.320	0.034	1.000
mcp2k	57742	pr150ts0	1	144.1	11.702	11.761	0.054	0.157	0.026	0.996
mcp2k	68748	pr150ts0	2	384.9	2.115	2.383	0.578	0.722	0.020	0.998
mcp2k	69314	pr150ts0	2	184.5	3.910	3.538	0.539	0.797	0.009	0.994
mcp2k	70472	pr150ts0	1	423.2	8.567	7.782	0.355	0.483	-0.013	1.000
mcp2k	72055	pr150ts0	3	261.1	1.823	1.623	0.655	0.967	0.057	1.000
mcp2k	72196	pr150ts0	1	169.6	3.775	3.652	0.815	1.085	0.023	0.996
mcp2k	72275	pr150ts0	5	323.0	0.876	1.334	0.322	0.620	0.027	0.994
mcp2k	73538	pr150ts0	1	138.7	8.576	8.261	0.116	0.250	-0.016	1.000
mcp2k	74326	pr150ts0	3	163.3	1.440	2.032	0.966	1.184	0.310	1.000
mcp2k	74784	pr150ts0	4	314.2	4.494	4.409	0.351	0.537	-0.072	0.994
mcp2k	75206	pr150ts0	1	277.8	3.767	4.110	0.193	0.535	0.022	0.996
mcp2k	75795	pr150ts0	1	114.4	3.875	4.230	0.306	0.477	-0.026	1.000
mcp2k	76170	pr150ts0	2	392.9	5.106	5.056	0.269	0.536	0.015	0.998
mcp2k	77328	pr150ts0	3	333.0	1.622	1.417	0.412	0.638	-0.011	0.996
mcp2k	79616	pr150ts0	2	343.7	2.336	2.395	0.458	0.718	0.001	0.995
mcp2k	91235	pr150ts0	1	253.2	6.164	6.544	0.561	0.731	0.021	1.000
mcp2k	92225	pr150ts0	1	140.5	3.142	3.802	0.448	0.754	0.034	1.000
mcp2k	93776	pr150ts0	2	160.5	1.734	1.773	0.111	0.478	0.014	0.996
mcp2k	97084	pr150ts0	1	140.7	3.752	4.155	0.706	0.822	0.022	1.000
mcp2k	98452	pr150ts0	1	186.7	1.529	1.548	0.218	0.537	0.021	0.997
mcp2k	98660	pr150ts0	1	393.2	15.155	15.052	0.160	0.423	0.035	0.994
mcp2k	99232	pr150ts0	2	300.4	12.396	12.480	0.762	0.827	0.010	1.000
mcp2k	99716	pr150ts0	2	202.2	9.676	8.575	0.894	1.143	0.129	1.000
mcp2k	99838	pr150ts0	4	466.9	4.368	4.651	0.556	0.731	0.004	0.997
mcp2k	100135	pr150ts0	1	418.7	19.432	17.479	0.104	0.330	0.024	0.997
mcp2k	100421	pr150ts0	1	246.7	6.530	6.829	0.157	0.361	0.008	0.990
mcp2k	101454	pr150ts0	1	220.6	3.717	3.514	0.488	0.677	-0.017	0.989
mcp2k	101554	pr150ts0	1	244.0	42.026	41.964	0.212	0.495	0.025	1.000
mcp2k	101675	pr150ts0	2	150.4	5.141	5.053	0.474	0.747	0.011	1.000
mcp2k	104304	pr150ts0	2	193.8	3.598	3.759	0.592	0.720	0.018	1.000
mcp2k	104920	pr150ts0	1	205.7	1.114	1.244	0.534	0.634	0.028	0.997
mcp2k	157281	pr150ts0	2	226.3	10.536	10.616	0.466	0.611	-0.004	0.997
mcp2k	158227	pr150ts0	1	227.1	26.390	26.352	0.126	0.288	0.017	1.000
mcp2k	161725	pr150ts0	1	172.7	6.601	6.509	0.104	0.444	0.018	0.997
mcp2k	162143	pr150ts0	4	422.1	4.972	5.191	0.347	0.573	0.001	0.999
mcp2k	169240	pr150ts0	1	357.3	2.425	2.475	0.329	0.624	0.011	0.997
mcp2k	170076	pr150ts0	1	345.0	3.622	3.128	0.339	0.573	-0.002	1.000
mcp2k	172762	pr150ts0	1	320.6	3.065	3.141	0.054	0.138	0.026	0.996
mcp2k	174164	pr150ts0	1	266.0	19.295	20.296	0.785	0.921	0.019	0.998
mcp2k	174771	pr150ts0	3	325.9	6.817	7.147	0.587	0.859	-0.015	0.998
mcp2k	174993	pr150ts0	1	135.5	4.334	5.417	0.094	0.299	0.028	1.000
mcp2k	175952	pr150ts0	2	347.2	19.015	19.834	0.669	0.843	0.033	0.997
mcp2k	176502	pr150ts0	15	381.0	3.094	2.659	1.287	1.666	0.039	0.997
mcp2k	178350	pr150ts0	1	154.1	3.622	3.203	0.121	0.422	0.026	0.996
mcp2k	178841	pr150ts0	1	380.6	11.789	11.274	0.143	0.322	0.024	0.998
mcp2k	179048	pr150ts0	5	344.4	3.175	3.670	0.163	0.372	-0.002	0.998
mcp2k	179054	pr150ts0	1	113.7	1.540	2.125	1.160	1.266	0.025	1.000
mcp2k	179604	pr150ts0	1	430.8	10.135	10.940	0.250	0.470	0.023	0.997
mcp2k	180403	pr150ts0	2	144.6	1.621	2.705	0.425	1.000	-0.065	0.996
mcp2k	180698	pr150ts0	2	269.2	0.697	0.875	0.207	0.398	0.021	0.998
mcp2k	237710	pr150ts0	2	113.6	2.107	2.597	0.149	0.432	0.017	0.973
mcp2k	237798	pr150ts0	1	252.5	12.505	12.160	0.147	0.361	0.022	0.998
mcp2k	241626	pr150ts0	1	134.9	4.953	5.468	0.194	0.561	0.014	1.000
mcp2k	242550	pr150ts0	2	457.3	1.298	1.396	0.464	0.652	0.016	0.993
mcp2k	280159	pr150ts0	4	177.5	0.390	1.417	0.552	1.003	0.003	1.000
mcp2k	283299	pr150ts0	5	304.1	2.914	2.756	0.255	0.512	0.020	0.992
mcp2k	283833	pr150ts0	3	463.6	0.655	0.892	0.273	0.458	0.002	0.999
mcp2k	283849	pr150ts0	1	127.0	1.841	2.832	0.449	0.700	0.076	1.000
mcp2k	289464	pr150ts0	1	299.1	8.119	6.138	0.312	0.642	0.022	0.998
mcp2k	290542	pr150ts0	2	183.1	2.663	2.675	0.119	0.233	0.000	0.993
mcp2k	292436	pr150ts0	1	237.8	12.289	11.121	0.535	0.708	0.010	0.995
mcp2k	292788	pr150ts0	2	164.7	3.507	3.378	0.159	0.296	0.010	0.996
mcp2k	316021	pr150ts0	2	149.6	6.882	6.430	1.319	1.531	0.088	1.000
mcp2k	317407	pr150ts0	3	396.3	6.936	7.151	0.236	0.476	0.059	1.000
mcp2k	317539	pr150ts0	2	193.1	9.695	9.454	0.637	1.017	0.066	1.000
mcp2k	321235	pr150ts0	1	125.4	1.654	3.101	0.047	0.237	0.016	1.000
mcp2k	321937	pr150ts0	2	245.7	5.044	5.019	0.186	0.362	0.009	1.000
mcp2k	322135	pr150ts0	1	245.8	5.495	5.338	0.292	0.524	0.026	0.998
mcp2k	322663	pr150ts0	2	153.0	0.895	0.781	0.331	0.486	-0.016	1.000
mcp2k	322885	pr150ts0	1	239.9	7.828	7.954	0.170	0.516	0.011	1.000
mcp2k	348638	pr150ts0	1	138.4	0.595	0.338	0.568	0.643	-0.230	0.987
mcp2k	349056	pr150ts0	1	174.7	2.319	3.178	0.841	0.928	-0.012	0.997
mcp2k	350354	pr150ts0	5	138.8	1.553	1.987	1.254	1.740	-0.398	0.996
mcp2k	354248	pr150ts0	3	164.2	5.252	5.173	0.802	1.064	0.193	1.000
mcp2k	390216	pr150ts0	1	202.5	19.497	19.459	0.513	0.616	0.017	1.000
mcp2k	391899	pr150ts0	3	222.1	0.960	1.529	0.391	0.846	0.015	1.000
mcp2k	392417	pr150ts0	4	138.2	3.961	3.773	0.511	0.671	0.096	1.000
mcp2k	392693	pr150ts0	1	288.4	17.205	17.227	0.066	0.198	0.008	1.000
mcp2k	393119	pr150ts0	1	180.5	2.494	2.116	0.416	0.579	0.018	1.000
mcp2k	393505	pr150ts0	1	156.3	10.602	10.878	0.311	0.535	0.010	0.996
mcp2k	393538	pr150ts0	4	314.4	7.144	6.689	0.197	0.497	0.010	0.998
mcp2k	393791	pr150ts0	1	111.6	4.938	4.474	0.140	0.343	0.006	1.000
mcp2k	393835	pr150ts0	1	219.8	11.301	11.518	0.185	0.486	0.023	0.997
mcp2k	395079	pr150ts0	1	212.1	4.011	3.792	0.067	0.132	0.037	1.000
mcp2k	395209	pr150ts0	3	444.8	1.193	1.515	0.305	0.601	0.022	0.999
mcp2k	395485	pr150ts0	2	125.8	6.471	6.593	0.159	0.461	0.019	0.995
mcp2k	395717	pr150ts0	1	113.9	2.613	2.180	0.380	0.532	0.039	1.000
mcp2k	396091	pr150ts0	2	154.6	9.188	10.583	0.800	1.144	-0.033	1.000
mcp2k	396551	pr150ts0	1	175.1	2.187	2.168	0.233	0.626	0.032	0.990
mcp2k	398191	pr150ts0	4	500.2	18.486	18.341	0.299	0.474	0.017	0.999
mcp2k	398225	pr150ts0	1	127.5	1.845	2.277	0.863	1.186	0.024	1.000
mcp2k	400029	pr150ts0	1	206.2	3.519	3.576	0.186	0.419	0.013	0.997
mcp2k	400239	pr150ts0	2	191.0	3.242	3.348	0.096	0.266	0.024	0.997
mcp2k	402297	pr150ts0	1	244.6	3.050	2.421	0.198	0.346	0.022	0.998
mcp2k	406147	pr150ts0	5	417.8	4.108	3.982	0.799	0.932	-0.110	0.999
mcp2k	409052	pr150ts0	1	176.8	4.113	3.364	0.282	0.406	0.026	0.997
mcp2k	412638	pr150ts0	1	257.8	29.887	29.360	0.169	0.475	0.016	0.998
mcp2k	414306	pr150ts0	2	230.9	4.543	4.051	0.145	0.279	0.005	0.997
mcp2k	473952	pr150ts0	2	162.3	14.947	14.759	0.182	0.464	0.018	1.000
mcp2k	475140	pr150ts0	1	146.0	2.464	1.654	0.083	0.255	0.053	0.996
