sample	event	run	rc	has_calib	main_cid	vx	vy	vz	n_steiner_main	n_seg	n_stub	zz_len	zz_ratio	zz_rms_dr	zz_fold	zzi_len	zzi_ratio	zzi_rms_dr	iso_len75	iso_len80	iso_len_any75	iso_len_any85	mu_dqdx_med	mu_npts	uncov	uncov_q	pio_flag	pio_mass	mcs_energy	mcs_amb	mcs_range	event_label	nu_evaluated	numu_score	nue_score	Enu	wall_s	core_s	maxrss_kb	bundles
mcp1k	48301	18255	0	0																					nan	nan		nan	nan	nan	nan	cosmic-tagged	0				7.428	0.794	316096	{"10:1000005": "-1,-1,-1", "12:1000004": "-1,-1,-1", "13:3": "0,1,0", "14:1000001": "-1,-1,-1", "15:5": "-1,-1,-1", "2:6": "-1,-1,-1", "3:7": "-1,-1,-1", "6:1": "-1,-1,-1", "8:4": "-1,-1,-1", "9:8": "-1,-1,-1"}
mcp1k	48367	18255	0	1	19	-161.645	-91.0481	172.399	569	1	0	178.137	1.08545	3.24436	0.25	178.137	1.08545	3.24436	178.137	178.137	178.137	178.137	50539.1	288	0.170577	3.49879e+07	1	32.9205	402.98	0.232158	408.055	nu-candidate	1	2.244109	-15.0	1033.3729	16.159	8.430	1268912	{"11:1000006": "-1,-1,-1", "12:1000012": "-1,-1,-1", "15:1000000": "-1,-1,-1", "17:1000007": "-1,-1,-1", "18:1000002": "-1,-1,-1", "19:1": "0,0,0", "1:11": "-1,-1,-1", "20:3": "-1,-1,-1", "21:7": "-1,-1,-1", "22:4": "-1,-1,-1", "2:8": "-1,-1,-1", "4:2": "-1,-1,-1", "6:5": "-1,-1,-1", "8:1000001": "-1,-1,-1", "9:1000008": "-1,-1,-1"}
mcp1k	48565	18255	0	0																					nan	nan		nan	nan	nan	nan	no-bundle	0				7.648	1.098	389576	{"-1:12": "-1,-1,-1", "10:8": "-1,-1,-1", "11:5": "-1,-1,-1", "12:4": "-1,-1,-1", "13:1000001": "-1,-1,-1", "14:2": "-1,-1,-1", "15:7": "-1,-1,-1", "16:3": "-1,-1,-1", "17:1000000": "-1,-1,-1", "1:15": "-1,-1,-1", "2:10": "-1,-1,-1", "6:1000005": "-1,-1,-1", "9:1000004": "-1,-1,-1"}
mcp1k	48895	18255	0	1	17	-164.948	-165.485	185.396	1261	1	0	180.814	1.07643	0.807748	0.28	180.814	1.07643	0.807748	180.814	180.814	180.814	0	49522.8	292	0.217036	3.98544e+07	1	1.14793	806.771	0.961227	416.5	nu-candidate	1	2.8101292	-15.0	534.05963	14.898	6.511	1199976	{"12:1000003": "-1,-1,-1", "13:1000004": "-1,-1,-1", "14:1000000": "-1,-1,-1", "15:1": "-1,-1,-1", "16:0": "-1,-1,-1", "17:4": "0,0,0", "1:7": "-1,-1,-1", "4:3": "-1,-1,-1", "5:2": "-1,-1,-1", "7:1000007": "-1,-1,-1", "8:1000014": "-1,-1,-1", "9:1000009": "-1,-1,-1"}
mcp1k	49445	18255	0	0																					nan	nan		nan	nan	nan	nan	cosmic-tagged	0				10.304	1.638	472860	{"11:1": "-1,-1,-1", "12:1000002": "-1,-1,-1", "13:1000017": "-1,-1,-1", "14:1000003": "-1,-1,-1", "16:1000001": "-1,-1,-1", "18:1000004": "-1,-1,-1", "19:1000000": "-1,-1,-1", "20:6": "-1,-1,-1", "2:5": "-1,-1,-1", "3:2": "-1,-1,-1", "4:9": "-1,-1,-1", "6:3": "-1,-1,-1", "8:7": "1,0,0", "9:0": "-1,-1,-1"}
mcp1k	49467	18255	0	0																					nan	nan		nan	nan	nan	nan	cosmic-tagged	0				10.142	1.163	400080	{"10:1000016": "-1,-1,-1", "11:1000008": "-1,-1,-1", "13:1000004": "-1,-1,-1", "15:1000009": "-1,-1,-1", "17:1000005": "-1,-1,-1", "18:1000003": "-1,-1,-1", "19:1000000": "-1,-1,-1", "20:1000007": "-1,-1,-1", "21:1000001": "-1,-1,-1", "2:0": "1,0,0", "3:5": "-1,-1,-1", "7:1": "-1,-1,-1", "8:4": "-1,-1,-1", "9:3": "-1,-1,-1"}
mcp1k	49511	18255	0	0																					nan	nan		nan	nan	nan	nan	no-beam-flash	0				7.574	0.964	373440	{"10:1000018": "-1,-1,-1", "11:1000014": "-1,-1,-1", "12:1000002": "-1,-1,-1", "13:1000003": "-1,-1,-1", "14:1000000": "-1,-1,-1", "16:1000011": "-1,-1,-1", "17:9": "-1,-1,-1", "18:6": "-1,-1,-1", "1:13": "-1,-1,-1", "2:1": "-1,-1,-1", "4:3": "-1,-1,-1", "6:2": "-1,-1,-1", "8:0": "-1,-1,-1", "9:1000004": "-1,-1,-1"}
mcp1k	49709	18255	0	0																					nan	nan		nan	nan	nan	nan	no-beam-flash	0				10.120	1.155	386300	{"10:3": "-1,-1,-1", "11:1000014": "-1,-1,-1", "13:1000001": "-1,-1,-1", "15:1000005": "-1,-1,-1", "17:1000003": "-1,-1,-1", "18:6": "-1,-1,-1", "19:10": "-1,-1,-1", "20:5": "-1,-1,-1", "2:15": "-1,-1,-1", "6:1": "-1,-1,-1", "7:2": "-1,-1,-1", "8:4": "-1,-1,-1"}
mcp1k	49885	18255	0	0																					nan	nan		nan	nan	nan	nan	no-beam-flash	0				7.612	1.060	387600	{"10:1000014": "-1,-1,-1", "11:1000009": "-1,-1,-1", "13:1000003": "-1,-1,-1", "14:1000006": "-1,-1,-1", "15:1000000": "-1,-1,-1", "16:1": "-1,-1,-1", "17:4": "-1,-1,-1", "18:1000002": "-1,-1,-1", "2:12": "-1,-1,-1", "3:14": "-1,-1,-1", "4:0": "-1,-1,-1", "5:7": "-1,-1,-1", "8:2": "-1,-1,-1", "9:1000012": "-1,-1,-1"}
mcp1k	49951	18255	0	1	16	190.934	173.978	21.3977	654	3	0	97.9145	1.03303	0.812665	0.0939926	0	nan	nan	0	0	0	0	67480.7	81	0.135529	2.83265e+07	1	3.51613	186.772	0.832929	152.489	nu-candidate	1	1.7707367	-15.0	687.41956	15.978	6.165	1136260	{"10:1000009": "-1,-1,-1", "13:7": "-1,-1,-1", "14:5": "-1,-1,-1", "15:3": "-1,-1,-1", "16:1000003": "0,0,0", "17:1000008": "-1,-1,-1", "1:9": "-1,-1,-1", "3:10": "-1,-1,-1", "5:1": "-1,-1,-1", "7:6": "-1,-1,-1", "8:4": "-1,-1,-1", "9:1000010": "-1,-1,-1"}
mcp1k	50017	18255	0	0																					nan	nan		nan	nan	nan	nan	no-beam-flash	0				9.052	1.033	365364	{"10:1000006": "-1,-1,-1", "11:0": "-1,-1,-1", "12:1000004": "-1,-1,-1", "13:1000001": "-1,-1,-1", "14:2": "-1,-1,-1", "15:1": "-1,-1,-1", "16:1000002": "-1,-1,-1", "17:1000000": "-1,-1,-1", "1:7": "-1,-1,-1", "2:5": "-1,-1,-1", "5:1000011": "-1,-1,-1", "6:1000009": "-1,-1,-1", "9:3": "-1,-1,-1"}
mcp1k	50303	18255	0	1	12	143.399	35.9168	184.313	447	2	0	48.6932	1.04997	0.424247	0.164698	0	nan	nan	0	0	0	0	128352	30	0.378222	2.74742e+07	1	1.41705	-1	-1	-1	nu-candidate	1	0.24515156	-15.0	317.4737	13.391	6.037	1180076	{"10:1000003": "-1,-1,-1", "11:1": "-1,-1,-1", "12:1000001": "0,0,1", "13:2": "-1,-1,-1", "14:1000015": "-1,-1,-1", "1:8": "-1,-1,-1", "3:5": "-1,-1,-1", "5:1000002": "-1,-1,-1", "7:1000000": "-1,-1,-1", "8:1000012": "-1,-1,-1", "9:0": "-1,-1,-1"}
mcp1k	50523	18255	0	0																					nan	nan		nan	nan	nan	nan	cosmic-tagged	0				10.359	2.390	485024	{"10:1000003": "-1,-1,-1", "11:3": "-1,-1,-1", "12:0": "1,0,0", "13:1": "-1,-1,-1", "14:6": "-1,-1,-1", "2:1000012": "-1,-1,-1", "4:1000001": "-1,-1,-1", "6:1000002": "-1,-1,-1", "7:1000004": "-1,-1,-1", "9:1000000": "-1,-1,-1"}
mcp1k	50743	18255	0	1	17	25.9925	79.0199	306.415	14	1	1	0	nan	nan	nan	0	nan	nan	0	0	0	0	nan	0	0.0676184	334746	1	0.303466	-1	-1	-1	nu-candidate	1	-3.1206186	-15.0	15.470816	10.292	5.051	1142924	{"11:6": "-1,-1,-1", "12:10": "-1,-1,-1", "13:7": "-1,-1,-1", "14:1000010": "-1,-1,-1", "15:1000005": "-1,-1,-1", "16:1000004": "-1,-1,-1", "17:1000012": "0,0,1", "18:1000014": "-1,-1,-1", "1:11": "-1,-1,-1", "2:1": "-1,-1,-1", "3:0": "-1,-1,-1", "4:3": "-1,-1,-1", "6:1000001": "-1,-1,-1", "8:1000008": "-1,-1,-1"}
mcp1k	50765	18255	0	0																					nan	nan		nan	nan	nan	nan	cosmic-tagged	0				10.107	1.570	411436	{"10:0": "-1,-1,-1", "11:9": "-1,-1,-1", "12:1000000": "-1,-1,-1", "13:2": "-1,-1,-1", "14:7": "-1,-1,-1", "15:6": "0,1,0", "3:4": "-1,-1,-1", "5:1000003": "-1,-1,-1", "6:1000010": "-1,-1,-1", "7:1000002": "-1,-1,-1", "9:5": "-1,-1,-1"}
mcp1k	50787	18255	0	0																					nan	nan		nan	nan	nan	nan	cosmic-tagged	0				8.984	0.936	368688	{"1:12": "-1,-1,-1", "3:2": "-1,-1,-1", "4:1000001": "-1,-1,-1", "5:1000000": "-1,-1,-1", "6:1000007": "0,1,0", "7:3": "-1,-1,-1", "8:1": "-1,-1,-1"}
