sample	event	run	rc	has_calib	main_cid	vx	vy	vz	n_steiner_main	n_steiner_term	n_seg	n_stub	zz_len	zz_ratio	zz_rms_dr	zz_fold	zzi_len	zzi_ratio	zzi_rms_dr	iso_len75	iso_len80	iso_len_any75	iso_len_any85	mu_dqdx_med	mu_npts	uncov	uncov_q	pio_flag	pio_mass	mcs_energy	mcs_amb	mcs_range	event_label	nu_evaluated	numu_score	nue_score	Enu	wall_s	core_s	maxrss_kb	bundles
ncpi0	18625	18259	0	1	11	146.773	84.4957	165.724	1195	143	2	0	159.556	1.04674	2.52371	0.166362	98.2336	1.06762	3.89478	98.2336	98.2336	98.2336	0	52946.6	155	0.0203268	4.19417e+07	1	24.7508	191.087	0.87489	246.577	nu-candidate	1	2.1937616	-15.0	1387.365	18.981	13.323	1251236	{"11:1000000": "0,0,1", "13:6": "-1,-1,-1", "14:7": "-1,-1,-1", "15:1000003": "-1,-1,-1", "16:1000004": "-1,-1,-1", "17:0": "0,0,0", "18:5": "-1,-1,-1", "1:11": "-1,-1,-1", "4:4": "-1,-1,-1", "5:1000008": "-1,-1,-1", "6:1000010": "-1,-1,-1", "8:1000006": "-1,-1,-1"}
ncpi0	21073	18345	0	1	11	-33.1318	24.3589	363.337	2033	231	3	0	116.612	1.02426	0.692227	0.0792861	0	nan	nan	0	0	0	0	81650.5	146	0.541662	5.58155e+07	1	95.5782	476.007	0.809665	235.354	nu-candidate	1	0.31651598	-15.0	1191.8857	24.065	17.198	1181004	{"10:1000000": "-1,-1,-1", "11:0": "0,0,1", "12:1000010": "-1,-1,-1", "1:11": "-1,-1,-1", "4:2": "-1,-1,-1", "5:4": "-1,-1,-1", "6:1000011": "-1,-1,-1", "7:1000008": "-1,-1,-1", "8:1000002": "-1,-1,-1", "9:1": "-1,-1,-1"}
ncpi0	37112	18259	0	1	9	-167.783	74.0493	37.4784	2266	179	12	2	50.3594	1.06991	0.186695	0.2503	50.3594	1.06991	0.186695	50.3594	50.3594	50.3594	15.2458	nan	0	0.278687	3.70418e+07	1	292.565	-1	-1	-1	nu-candidate	1	0.12681127	-4.1155295	729.1908	18.551	12.156	1186540	{"10:1000001": "-1,-1,-1", "11:9": "-1,-1,-1", "12:1000007": "-1,-1,-1", "13:1000012": "-1,-1,-1", "1:7": "-1,-1,-1", "2:2": "-1,-1,-1", "3:8": "-1,-1,-1", "5:1000002": "-1,-1,-1", "6:1000009": "-1,-1,-1", "7:1000005": "-1,-1,-1", "8:1000003": "-1,-1,-1", "9:0": "0,0,1"}
ncpi0	56982	18255	0	1	22	-105.275	-162.555	367.681	4267	439	17	2	123.19	1.16769	0.750248	0.277594	69.0845	1.14452	0.622329	40.7882	14.7151	69.0845	11.2431	nan	0	0.262699	5.65051e+07	1	42.6321	-1	-1	-1	nu-candidate	1	0.38166386	8.727576	1565.7036	24.091	17.637	1225888	{"10:1000001": "-1,-1,-1", "12:1000002": "-1,-1,-1", "16:1000004": "-1,-1,-1", "17:2": "-1,-1,-1", "18:1000000": "-1,-1,-1", "19:10": "-1,-1,-1", "1:5": "-1,-1,-1", "20:0": "-1,-1,-1", "21:1000006": "-1,-1,-1", "22:3": "0,0,1", "3:1": "-1,-1,-1", "4:4": "-1,-1,-1", "5:1000013": "-1,-1,-1", "6:1000012": "-1,-1,-1", "7:1000014": "-1,-1,-1"}
ncpi0	71372	18255	0	1	92	-166.18	-156.496	223.545	938	91	2	0	70.0566	1.09669	0.262448	0.270359	58.4188	1.10073	0.262127	58.4188	58.4188	58.4188	58.4188	56647.2	88	0.523474	3.26651e+07	1	124.903	1962.59	0.944258	159.767	nu-candidate	1	2.2530704	-15.0	2319.2322	39.695	32.729	1330592	{"10:6": "-1,-1,-1", "12:1000003": "-1,-1,-1", "14:1000010": "-1,-1,-1", "15:1000001": "-1,-1,-1", "16:8": "-1,-1,-1", "17:1000000": "-1,-1,-1", "18:7": "-1,-1,-1", "19:0": "0,0,0", "20:13": "-1,-1,-1", "21:9": "-1,-1,-1", "2:15": "-1,-1,-1", "5:1": "-1,-1,-1", "8:10": "-1,-1,-1"}
ncpi0	84229	18364	0	1	19	97.5617	122.731	384.503	594	129	4	0	94.3074	1.04873	0.173458	0.168637	68.3136	1.06488	0.196441	52.856	52.856	68.3136	0	77912.2	79	0.210585	2.90036e+07	1	198.525	696.174	0.990499	149.466	nu-candidate	1	0.533279	-15.0	1467.1991	21.613	15.613	1194836	{"10:10": "-1,-1,-1", "11:0": "-1,-1,-1", "12:2": "-1,-1,-1", "1:4": "-1,-1,-1", "2:1000006": "-1,-1,-1", "4:1000007": "-1,-1,-1", "6:1000001": "-1,-1,-1", "7:1000004": "-1,-1,-1", "8:1": "-1,-1,-1", "9:1000000": "0,0,1"}
ncpi0	105946	18259	0	1	14	-134.327	-146.816	400.964	470	74	2	0	48.9372	1.02292	0.211911	0.125786	0	nan	nan	0	0	0	0	125522	52	0.154042	2.40479e+07	1	103.482	-1	-1	-1	nu-candidate	1	0.75713056	-15.0	836.6987	17.203	11.336	1151724	{"10:9": "-1,-1,-1", "11:10": "-1,-1,-1", "12:7": "-1,-1,-1", "13:5": "-1,-1,-1", "14:0": "0,0,1", "2:4": "-1,-1,-1", "5:1": "-1,-1,-1", "6:1000009": "-1,-1,-1", "7:1000001": "-1,-1,-1", "9:1000004": "-1,-1,-1"}
ncpi0	114446	18255	0	1	21	-65.9997	-64.3607	332.991	197	27	1	0	0	nan	nan	nan	0	nan	nan	0	0	0	0	nan	0	0.0119703	5.35107e+06	1	6.42481	-1	-1	-1	nu-candidate	1	-1.8203601	-15.0	132.8402	12.547	6.166	1213796	{"11:1000007": "-1,-1,-1", "13:1000000": "-1,-1,-1", "16:1000006": "-1,-1,-1", "17:11": "-1,-1,-1", "18:1000004": "-1,-1,-1", "19:2": "-1,-1,-1", "20:1": "-1,-1,-1", "21:0": "0,0,1", "22:1000003": "-1,-1,-1", "23:1000002": "-1,-1,-1", "24:1000001": "-1,-1,-1", "2:4": "-1,-1,-1", "7:6": "-1,-1,-1", "9:5": "-1,-1,-1"}
ncpi0	142421	18255	0	1	7	118.081	-69.4012	210.68	7144	1184	9	1	445.542	1.04814	1.64844	0.152413	232.6	1.04637	1.34932	232.6	232.6	232.6	21.8349	49779.6	222	0.398153	1.59347e+08	1	382.365	942.118	0.84589	343.307	nu-candidate	1	2.740307	-15.0	2176.6968	24.270	22.752	1298396	{"10:3": "-1,-1,-1", "11:4": "-1,-1,-1", "12:0": "-1,-1,-1", "13:14": "-1,-1,-1", "14:1000006": "-1,-1,-1", "15:1000009": "-1,-1,-1", "16:2": "-1,-1,-1", "17:1000013": "-1,-1,-1", "2:1": "-1,-1,-1", "7:1000000": "0,0,0", "8:1000012": "-1,-1,-1"}
ncpi0	180801	18255	0	1	109	-20.0742	-14.4506	367.299	196	32	1	0	31.9839	1.06332	0.407667	0.288462	31.9839	1.06332	0.407667	31.9839	31.9839	31.9839	0	nan	0	0.261522	2.01126e+07	1	112.793	-1	-1	-1	nu-candidate	1	-0.15343906	-15.0	992.3517	15.908	14.132	1287844	{"10:1000000": "-1,-1,-1", "11:3": "-1,-1,-1", "12:4": "-1,-1,-1", "13:1000009": "-1,-1,-1", "14:1000007": "-1,-1,-1", "15:2": "0,0,1", "16:1": "-1,-1,-1", "17:7": "-1,-1,-1", "18:1000003": "-1,-1,-1", "19:1000010": "-1,-1,-1", "5:5": "-1,-1,-1", "6:1000015": "-1,-1,-1", "9:1000001": "-1,-1,-1"}
