sample	event	run	rc	has_calib	main_cid	vx	vy	vz	n_steiner_main	n_steiner_term	n_seg	n_stub	zz_len	zz_ratio	zz_rms_dr	zz_fold	zzi_len	zzi_ratio	zzi_rms_dr	iso_len75	iso_len80	iso_len_any75	iso_len_any85	mu_dqdx_med	mu_npts	uncov	uncov_q	pio_flag	pio_mass	mcs_energy	mcs_amb	mcs_range	event_label	nu_evaluated	numu_score	nue_score	Enu	wall_s	core_s	maxrss_kb	bundles
nuecc48	388	18255	0	1	23	-163.239	31.505	426.416	11453	912	35	5	217.753	1.18691	0.594784	0.278001	91.8777	1.2302	0.610984	30.6665	30.6665	91.8777	24.5006	nan	0	0.353036	1.42485e+08	1	109.676	-1	-1	-1	nu-candidate	1	-1.7194319	10.244628	2281.7722	73.125	62.003	1347288	{"11:1000001": "-1,-1,-1", "14:1000000": "-1,-1,-1", "15:1000005": "-1,-1,-1", "17:1000002": "-1,-1,-1", "18:6": "-1,-1,-1", "19:5": "-1,-1,-1", "20:1000006": "-1,-1,-1", "21:4": "-1,-1,-1", "22:3": "-1,-1,-1", "23:0": "0,0,0", "2:2": "-1,-1,-1", "4:1": "-1,-1,-1", "5:7": "-1,-1,-1", "9:1000003": "-1,-1,-1"}
nuecc48	10550	18255	0	1	7	89.91	55.1181	128.659	1811	222	15	4	68.9686	1.10496	0.223015	0.271029	0	nan	nan	0	0	0	0	nan	0	0.43882	5.05703e+07	1	195.305	-1	-1	-1	nu-candidate	1	0.19509336	13.386388	811.24786	20.850	13.968	1227164	{"10:1": "-1,-1,-1", "11:1000001": "-1,-1,-1", "12:1000002": "1,0,0", "13:6": "-1,-1,-1", "14:2": "-1,-1,-1", "15:3": "-1,-1,-1", "1:9": "-1,-1,-1", "7:1000002": "0,0,1"}
nuecc48	30504	18342	0	1	60	35.6071	-47.8089	99.8571	11	6	1	1	0	nan	nan	nan	0	nan	nan	0	0	0	0	nan	0	0	79044	1	33.6541	291.013	0.854712	196.858	nu-candidate	1	-1.9553967	-15.0	518.7294	27.021	17.200	1201912	{"10:1000003": "-1,-1,-1", "11:1000000": "0,0,1", "4:1000001": "-1,-1,-1", "6:1000002": "-1,-1,-1", "7:3": "-1,-1,-1", "8:2": "-1,-1,-1", "9:1": "-1,-1,-1"}
nuecc48	38856	18304	0	1	12	-55.8056	-78.4571	408.61	6681	538	22	0	100.664	1.07473	0.378653	0.199793	55.7722	1.11111	0.368161	34.7179	19.9712	55.7722	11.0115	nan	0	0.245987	7.37364e+07	0	0	-1	-1	-1	nu-candidate	1	0.098215446	15.65356	1304.7489	33.409	26.062	1262136	{"10:1000006": "-1,-1,-1", "11:5": "-1,-1,-1", "12:1": "0,0,1", "13:3": "-1,-1,-1", "14:1000004": "-1,-1,-1", "15:1000001": "-1,-1,-1", "1:4": "-1,-1,-1", "5:0": "-1,-1,-1", "8:1000000": "-1,-1,-1", "9:1000002": "-1,-1,-1"}
nuecc48	42280	18259	0	1	8	14.1049	-10.2592	89.4369	13557	1156	29	1	236.405	1.59908	0.548916	0.29525	200.552	1.66082	0.570142	112.458	112.458	200.552	48.9612	32529.9	66	0.266465	1.13806e+08	1	49.8989	43.441	0.913625	125.004	nu-candidate	1	-0.1841318	11.713093	1921.161	74.303	62.872	1347020	{"10:1000004": "-1,-1,-1", "11:1000001": "-1,-1,-1", "12:1": "-1,-1,-1", "13:1000013": "-1,-1,-1", "2:8": "-1,-1,-1", "4:1000006": "-1,-1,-1", "7:0": "-1,-1,-1", "8:1000002": "0,0,1", "9:1000000": "-1,-1,-1"}
nuecc48	46363	18255	0	1	19	-67.675	17.3293	337.481	12110	955	36	1	263.743	1.35163	0.733941	0.273456	114.658	1.35613	0.899425	31.639	0	114.658	24.0778	nan	0	0.311578	1.06485e+08	1	40.612	-1	-1	-1	nu-candidate	1	0.32880497	6.3105726	2111.912	71.642	60.314	1259772	{"11:1000003": "-1,-1,-1", "13:1000001": "-1,-1,-1", "14:1000005": "-1,-1,-1", "15:12": "-1,-1,-1", "16:3": "-1,-1,-1", "17:6": "-1,-1,-1", "18:7": "-1,-1,-1", "19:0": "0,0,1", "4:1": "-1,-1,-1", "7:1000008": "-1,-1,-1", "9:1000002": "-1,-1,-1"}
nuecc48	52672	18259	0	1	9	-131.796	80.2821	350.905	3808	317	15	1	63.1543	1.10368	0.444787	0.25745	34.971	1.08131	0.319774	18.5987	18.5987	34.971	18.5987	nan	0	0.181264	3.36735e+07	1	350.211	-1	-1	-1	nu-candidate	1	-0.5858643	-0.869477	865.53015	28.567	19.860	1208844	{"10:1": "-1,-1,-1", "11:11": "-1,-1,-1", "12:12": "-1,-1,-1", "1:2": "-1,-1,-1", "3:3": "-1,-1,-1", "4:7": "-1,-1,-1", "5:1000000": "-1,-1,-1", "7:1000001": "-1,-1,-1", "8:1000002": "-1,-1,-1", "9:0": "0,0,1"}
nuecc48	54095	18259	0	1	17	175.78	26.8934	186.615	19520	2084	56	1	297.956	1.21527	0.589795	0.316823	166.92	1.19549	0.729394	52.3597	22.6526	166.92	52.5789	nan	0	0.310994	1.83364e+08	1	41.8988	-1	-1	-1	nu-candidate	1	-1.3302251	12.105416	2810.3767	106.573	96.276	1393140	{"11:1000011": "-1,-1,-1", "14:1000005": "-1,-1,-1", "16:3": "-1,-1,-1", "17:1000000": "0,0,0", "18:1000001": "-1,-1,-1", "19:1000003": "-1,-1,-1", "20:1000004": "-1,-1,-1", "2:11": "-1,-1,-1", "3:9": "-1,-1,-1", "4:2": "-1,-1,-1", "7:1": "-1,-1,-1", "9:5": "-1,-1,-1"}
nuecc48	69314	18255	0	1	3	-111.285	-17.9	164.526	2311	340	9	0	278.233	1.04571	0.688553	0.146282	194.43	1.0585	0.931282	194.43	151.618	194.43	0	48442.4	244	0.0671035	6.1067e+07	1	15.1821	367.381	0.63391	355.853	nu-candidate	1	2.3741577	-15.0	1314.7534	19.510	17.079	1213208	{"10:0": "-1,-1,-1", "11:1000011": "-1,-1,-1", "12:1000013": "-1,-1,-1", "14:1000006": "-1,-1,-1", "15:1000002": "-1,-1,-1", "16:1000004": "-1,-1,-1", "17:15": "-1,-1,-1", "18:1000001": "-1,-1,-1", "19:3": "-1,-1,-1", "1:11": "-1,-1,-1", "2:9": "-1,-1,-1", "3:1": "0,0,1", "5:5": "-1,-1,-1", "7:4": "-1,-1,-1"}
nuecc48	74544	18259	0	1	12	135.848	-170.292	406.248	11753	985	36	0	210.846	1.17315	0.482977	0.280269	148.792	1.12804	0.330832	103.503	69.8095	148.792	11.6378	nan	0	0.285025	1.28112e+08	1	87.4695	-1	-1	-1	nu-candidate	1	-1.6264318	12.339481	2037.9974	53.310	52.713	1284972	{"10:5": "-1,-1,-1", "11:2": "-1,-1,-1", "12:1000000": "0,0,0", "13:3": "-1,-1,-1", "14:7": "-1,-1,-1", "15:1000003": "-1,-1,-1", "3:4": "-1,-1,-1", "5:10": "-1,-1,-1", "6:1000011": "-1,-1,-1"}
