sample	event	run	rc	has_calib	main_cid	vx	vy	vz	n_steiner_main	n_steiner_term	n_seg	n_stub	zz_len	zz_ratio	zz_rms_dr	zz_fold	zzi_len	zzi_ratio	zzi_rms_dr	iso_len75	iso_len80	iso_len_any75	iso_len_any85	mu_dqdx_med	mu_npts	uncov	uncov_q	pio_flag	pio_mass	mcs_energy	mcs_amb	mcs_range	event_label	nu_evaluated	numu_score	nue_score	Enu	wall_s	core_s	maxrss_kb	bundles
mcp1k	48301	18255	0	0																						nan	nan		nan	nan	nan	nan	cosmic-tagged	0				10.311	0.848	323848	{"10:1000005": "-1,-1,-1", "12:1000004": "-1,-1,-1", "13:3": "0,1,0", "14:1000001": "-1,-1,-1", "15:5": "-1,-1,-1", "2:6": "-1,-1,-1", "3:7": "-1,-1,-1", "6:1": "-1,-1,-1", "8:4": "-1,-1,-1", "9:8": "-1,-1,-1"}
mcp1k	48367	18255	0	1	19	-161.645	-91.046	172.4	434	82	1	0	176.634	1.07628	3.26384	0.266212	176.634	1.07628	3.26384	176.634	176.634	176.634	176.634	51383.9	285	0.169378	3.49879e+07	1	32.8579	408.416	0.260075	407.29	nu-candidate	1	2.2755327	-15.0	1030.0515	17.501	8.310	1274188	{"11:1000006": "-1,-1,-1", "12:1000012": "-1,-1,-1", "15:1000000": "-1,-1,-1", "17:1000007": "-1,-1,-1", "18:1000002": "-1,-1,-1", "19:1": "0,0,0", "1:11": "-1,-1,-1", "20:3": "-1,-1,-1", "21:7": "-1,-1,-1", "22:4": "-1,-1,-1", "2:8": "-1,-1,-1", "4:2": "-1,-1,-1", "6:5": "-1,-1,-1", "8:1000001": "-1,-1,-1", "9:1000008": "-1,-1,-1"}
mcp1k	48565	18255	0	0																						nan	nan		nan	nan	nan	nan	no-bundle	0				10.345	1.115	393628	{"-1:12": "-1,-1,-1", "10:8": "-1,-1,-1", "11:5": "-1,-1,-1", "12:4": "-1,-1,-1", "13:1000001": "-1,-1,-1", "14:2": "-1,-1,-1", "15:7": "-1,-1,-1", "16:3": "-1,-1,-1", "17:1000000": "-1,-1,-1", "1:15": "-1,-1,-1", "2:10": "-1,-1,-1", "6:1000005": "-1,-1,-1", "9:1000004": "-1,-1,-1"}
mcp1k	48895	18255	0	1	17	-164.948	-165.485	185.396	1035	139	1	0	178.956	1.06537	0.806445	0.296296	178.956	1.06537	0.806445	178.956	178.956	178.956	0	50675.7	289	0.201907	3.98544e+07	1	1.14817	1014.84	0.803721	414.445	nu-candidate	1	3.0094686	-15.0	530.18616	15.489	6.864	1211560	{"12:1000003": "-1,-1,-1", "13:1000004": "-1,-1,-1", "14:1000000": "-1,-1,-1", "15:1": "-1,-1,-1", "16:0": "-1,-1,-1", "17:4": "0,0,0", "1:7": "-1,-1,-1", "4:3": "-1,-1,-1", "5:2": "-1,-1,-1", "7:1000007": "-1,-1,-1", "8:1000014": "-1,-1,-1", "9:1000009": "-1,-1,-1"}
mcp1k	49445	18255	0	0																						nan	nan		nan	nan	nan	nan	cosmic-tagged	0				10.270	1.489	478964	{"11:1": "-1,-1,-1", "12:1000002": "-1,-1,-1", "13:1000017": "-1,-1,-1", "14:1000003": "-1,-1,-1", "16:1000001": "-1,-1,-1", "18:1000004": "-1,-1,-1", "19:1000000": "-1,-1,-1", "20:6": "-1,-1,-1", "2:5": "-1,-1,-1", "3:2": "-1,-1,-1", "4:9": "-1,-1,-1", "6:3": "-1,-1,-1", "8:7": "1,0,0", "9:0": "-1,-1,-1"}
mcp1k	49467	18255	0	0																						nan	nan		nan	nan	nan	nan	cosmic-tagged	0				10.328	1.148	398516	{"10:1000016": "-1,-1,-1", "11:1000008": "-1,-1,-1", "13:1000004": "-1,-1,-1", "15:1000009": "-1,-1,-1", "17:1000005": "-1,-1,-1", "18:1000003": "-1,-1,-1", "19:1000000": "-1,-1,-1", "20:1000007": "-1,-1,-1", "21:1000001": "-1,-1,-1", "2:0": "1,0,0", "3:5": "-1,-1,-1", "7:1": "-1,-1,-1", "8:4": "-1,-1,-1", "9:3": "-1,-1,-1"}
mcp1k	49511	18255	0	0																						nan	nan		nan	nan	nan	nan	no-beam-flash	0				10.333	1.026	372120	{"10:1000018": "-1,-1,-1", "11:1000014": "-1,-1,-1", "12:1000002": "-1,-1,-1", "13:1000003": "-1,-1,-1", "14:1000000": "-1,-1,-1", "16:1000011": "-1,-1,-1", "17:9": "-1,-1,-1", "18:6": "-1,-1,-1", "1:13": "-1,-1,-1", "2:1": "-1,-1,-1", "4:3": "-1,-1,-1", "6:2": "-1,-1,-1", "8:0": "-1,-1,-1", "9:1000004": "-1,-1,-1"}
mcp1k	49709	18255	0	0																						nan	nan		nan	nan	nan	nan	no-beam-flash	0				10.300	1.068	398140	{"10:3": "-1,-1,-1", "11:1000014": "-1,-1,-1", "13:1000001": "-1,-1,-1", "15:1000005": "-1,-1,-1", "17:1000003": "-1,-1,-1", "18:6": "-1,-1,-1", "19:10": "-1,-1,-1", "20:5": "-1,-1,-1", "2:15": "-1,-1,-1", "6:1": "-1,-1,-1", "7:2": "-1,-1,-1", "8:4": "-1,-1,-1"}
mcp1k	49885	18255	0	0																						nan	nan		nan	nan	nan	nan	no-beam-flash	0				11.743	1.166	388928	{"10:1000014": "-1,-1,-1", "11:1000009": "-1,-1,-1", "13:1000003": "-1,-1,-1", "14:1000006": "-1,-1,-1", "15:1000000": "-1,-1,-1", "16:1": "-1,-1,-1", "17:4": "-1,-1,-1", "18:1000002": "-1,-1,-1", "2:12": "-1,-1,-1", "3:14": "-1,-1,-1", "4:0": "-1,-1,-1", "5:7": "-1,-1,-1", "8:2": "-1,-1,-1", "9:1000012": "-1,-1,-1"}
mcp1k	49951	18255	0	1	16	191.001	173.851	21.4221	626	156	4	1	97.9724	1.03275	0.783789	0.105434	0	nan	nan	0	0	0	0	67567	81	0.117712	2.83265e+07	1	2.21119	187.508	0.833513	152.4	nu-candidate	1	1.7721931	-15.0	686.199	13.959	6.058	1146476	{"10:1000009": "-1,-1,-1", "13:7": "-1,-1,-1", "14:5": "-1,-1,-1", "15:3": "-1,-1,-1", "16:1000003": "0,0,0", "17:1000008": "-1,-1,-1", "1:9": "-1,-1,-1", "3:10": "-1,-1,-1", "5:1": "-1,-1,-1", "7:6": "-1,-1,-1", "8:4": "-1,-1,-1", "9:1000010": "-1,-1,-1"}
mcp1k	50017	18255	0	0																						nan	nan		nan	nan	nan	nan	no-beam-flash	0				7.789	0.938	370668	{"10:1000006": "-1,-1,-1", "11:0": "-1,-1,-1", "12:1000004": "-1,-1,-1", "13:1000001": "-1,-1,-1", "14:2": "-1,-1,-1", "15:1": "-1,-1,-1", "16:1000002": "-1,-1,-1", "17:1000000": "-1,-1,-1", "1:7": "-1,-1,-1", "2:5": "-1,-1,-1", "5:1000011": "-1,-1,-1", "6:1000009": "-1,-1,-1", "9:3": "-1,-1,-1"}
mcp1k	50303	18255	0	1	12	140.578	68.7856	167.78	375	72	3	0	45.029	1.06335	0.265218	0.205705	0	nan	nan	0	0	0	0	nan	0	0.396391	2.74742e+07	1	5.99037	-1	-1	-1	nu-candidate	1	-0.46560624	-15.0	577.1112	12.782	5.734	1188760	{"10:1000003": "-1,-1,-1", "11:1": "-1,-1,-1", "12:1000001": "0,0,1", "13:2": "-1,-1,-1", "14:1000015": "-1,-1,-1", "1:8": "-1,-1,-1", "3:5": "-1,-1,-1", "5:1000002": "-1,-1,-1", "7:1000000": "-1,-1,-1", "8:1000012": "-1,-1,-1", "9:0": "-1,-1,-1"}
