sample	event	run	rc	has_calib	main_cid	vx	vy	vz	n_steiner_main	n_steiner_term	n_seg	n_stub	zz_len	zz_ratio	zz_rms_dr	zz_fold	zzi_len	zzi_ratio	zzi_rms_dr	iso_len75	iso_len80	iso_len_any75	iso_len_any85	mu_dqdx_med	mu_npts	uncov	uncov_q	pio_flag	pio_mass	mcs_energy	mcs_amb	mcs_range	event_label	nu_evaluated	numu_score	nue_score	Enu	wall_s	core_s	maxrss_kb	bundles
ncpi0	18625	18259	0	1	11	146.65	84.4908	165.843	1195	143	3	0	153.235	1.03316	1.85725	0.102699	91.9441	1.048	2.83696	91.9441	91.9441	91.9441	91.9441	nan	0	0.0180583	4.19417e+07	1	23.2742	-1	-1	-1	nu-candidate	1	0.60014075	-15.0	1493.366	19.022	14.486	1255340	{"11:1000000": "0,0,1", "13:6": "-1,-1,-1", "14:7": "-1,-1,-1", "15:1000003": "-1,-1,-1", "16:1000004": "-1,-1,-1", "17:0": "0,0,0", "18:5": "-1,-1,-1", "1:11": "-1,-1,-1", "4:4": "-1,-1,-1", "5:1000008": "-1,-1,-1", "6:1000010": "-1,-1,-1", "8:1000006": "-1,-1,-1"}
ncpi0	21073	18345	0	1	60	-32.7524	26.1734	366.108	3087	275	19	2	74.2473	1.19807	1.05152	0.27669	47.4838	1.20129	1.38496	25.8333	25.8333	47.4838	32.4697	nan	0	0.460175	4.21428e+07	1	148.525	-1	-1	-1	nu-candidate	1	0.562491	-7.3575306	1400.5964	21.492	16.781	1183508	{"10:1000000": "-1,-1,-1", "11:0": "0,0,1", "12:1000010": "-1,-1,-1", "1:11": "-1,-1,-1", "4:2": "-1,-1,-1", "5:4": "-1,-1,-1", "6:1000011": "-1,-1,-1", "7:1000008": "-1,-1,-1", "8:1000002": "-1,-1,-1", "9:1": "-1,-1,-1"}
ncpi0	37112	18259	0	1	84	-166.062	71.9201	7.61767	356	46	3	0	15.8036	1.02641	0.392457	0.04	0	nan	nan	0	0	0	0	nan	0	0.276142	1.96639e+07	1	301.398	-1	-1	-1	nu-candidate	1	0.6395706	-2.6056185	1136.7722	14.994	9.424	1175780	{"10:1000001": "-1,-1,-1", "11:9": "-1,-1,-1", "12:1000007": "-1,-1,-1", "13:1000012": "-1,-1,-1", "1:7": "-1,-1,-1", "2:2": "-1,-1,-1", "3:8": "-1,-1,-1", "5:1000002": "-1,-1,-1", "6:1000009": "-1,-1,-1", "7:1000005": "-1,-1,-1", "8:1000003": "-1,-1,-1", "9:0": "0,0,1"}
ncpi0	56982	18255	0	1	22	-106.842	-165.14	361.447	4267	439	14	1	161.919	1.14247	0.531938	0.26565	104.506	1.1082	0.524392	52.4014	52.4014	104.506	41.9786	nan	0	0.303977	5.65051e+07	1	117.934	-1	-1	-1	nu-candidate	1	0.35404062	5.1999454	1415.974	21.309	15.513	1226520	{"10:1000001": "-1,-1,-1", "12:1000002": "-1,-1,-1", "16:1000004": "-1,-1,-1", "17:2": "-1,-1,-1", "18:1000000": "-1,-1,-1", "19:10": "-1,-1,-1", "1:5": "-1,-1,-1", "20:0": "-1,-1,-1", "21:1000006": "-1,-1,-1", "22:3": "0,0,1", "3:1": "-1,-1,-1", "4:4": "-1,-1,-1", "5:1000013": "-1,-1,-1", "6:1000012": "-1,-1,-1", "7:1000014": "-1,-1,-1"}
ncpi0	71372	18255	0	1	92	-166.233	-156.251	224.304	938	91	2	0	70.0264	1.10543	0.314994	0.359571	58.8926	1.10673	0.33459	58.8926	58.8926	58.8926	58.8926	57115.8	89	0.531393	3.26651e+07	1	330.408	630.992	0.988027	161.003	nu-candidate	1	1.8039776	-15.0	2292.8708	41.198	34.071	1337940	{"10:6": "-1,-1,-1", "12:1000003": "-1,-1,-1", "14:1000010": "-1,-1,-1", "15:1000001": "-1,-1,-1", "16:8": "-1,-1,-1", "17:1000000": "-1,-1,-1", "18:7": "-1,-1,-1", "19:0": "0,0,0", "20:13": "-1,-1,-1", "21:9": "-1,-1,-1", "2:15": "-1,-1,-1", "5:1": "-1,-1,-1", "8:10": "-1,-1,-1"}
ncpi0	84229	18364	0	1	19	97.5299	122.717	384.477	594	129	4	0	89.1778	1.05809	0.148781	0.13647	63.1924	1.07927	0.164214	63.1924	63.1924	63.1924	0	79732.7	88	0.205015	2.90036e+07	1	176.746	-1	-1	-1	nu-candidate	1	0.7375975	-15.0	1508.0999	18.774	13.896	1194032	{"10:10": "-1,-1,-1", "11:0": "-1,-1,-1", "12:2": "-1,-1,-1", "1:4": "-1,-1,-1", "2:1000006": "-1,-1,-1", "4:1000007": "-1,-1,-1", "6:1000001": "-1,-1,-1", "7:1000004": "-1,-1,-1", "8:1": "-1,-1,-1", "9:1000000": "0,0,1"}
ncpi0	105946	18259	0	1	14	-135.76	-148.868	402.394	470	74	2	1	45.5378	1.01027	0.357679	0.0266667	0	nan	nan	0	0	0	0	nan	0	0.158618	2.40479e+07	1	89.5652	-1	-1	-1	nu-candidate	1	-0.2289423	-15.0	1098.6093	13.866	9.732	1145136	{"10:9": "-1,-1,-1", "11:10": "-1,-1,-1", "12:7": "-1,-1,-1", "13:5": "-1,-1,-1", "14:0": "0,0,1", "2:4": "-1,-1,-1", "5:1": "-1,-1,-1", "6:1000009": "-1,-1,-1", "7:1000001": "-1,-1,-1", "9:1000004": "-1,-1,-1"}
ncpi0	114446	18255	0	1	21	-66.1055	-64.3397	332.845	197	27	1	0	0	nan	nan	nan	0	nan	nan	0	0	0	0	nan	0	0.0108758	5.35107e+06	1	5.39719	-1	-1	-1	nu-candidate	1	-2.7398417	-15.0	128.05016	11.082	6.014	1207716	{"11:1000007": "-1,-1,-1", "13:1000000": "-1,-1,-1", "16:1000006": "-1,-1,-1", "17:11": "-1,-1,-1", "18:1000004": "-1,-1,-1", "19:2": "-1,-1,-1", "20:1": "-1,-1,-1", "21:0": "0,0,1", "22:1000003": "-1,-1,-1", "23:1000002": "-1,-1,-1", "24:1000001": "-1,-1,-1", "2:4": "-1,-1,-1", "7:6": "-1,-1,-1", "9:5": "-1,-1,-1"}
ncpi0	142421	18255	0	1	7	118.029	-68.9814	211.144	7144	1184	12	3	439.518	1.03526	1.66317	0.0771858	228.66	1.03008	1.361	228.66	228.66	228.66	21.13	51634.8	220	0.389403	1.59347e+08	1	465.074	768.278	0.691248	340.459	nu-candidate	1	3.2068176	-15.0	2111.8157	28.641	23.976	1299840	{"10:3": "-1,-1,-1", "11:4": "-1,-1,-1", "12:0": "-1,-1,-1", "13:14": "-1,-1,-1", "14:1000006": "-1,-1,-1", "15:1000009": "-1,-1,-1", "16:2": "-1,-1,-1", "17:1000013": "-1,-1,-1", "2:1": "-1,-1,-1", "7:1000000": "0,0,0", "8:1000012": "-1,-1,-1"}
ncpi0	180801	18255	0	1	15	-29.6008	-17.4616	437.363	1972	203	5	0	115.93	1.18898	0.971121	0.230737	0	nan	nan	0	0	0	0	nan	0	0.391728	3.47127e+07	1	163.929	-1	-1	-1	nu-candidate	1	-0.08389214	-5.9033165	1132.9144	18.009	14.479	1289020	{"10:1000000": "-1,-1,-1", "11:3": "-1,-1,-1", "12:4": "-1,-1,-1", "13:1000009": "-1,-1,-1", "14:1000007": "-1,-1,-1", "15:2": "0,0,1", "16:1": "-1,-1,-1", "17:7": "-1,-1,-1", "18:1000003": "-1,-1,-1", "19:1000010": "-1,-1,-1", "5:5": "-1,-1,-1", "6:1000015": "-1,-1,-1", "9:1000001": "-1,-1,-1"}
ncpi0	259542	18345	0	1	17	109.588	10.3401	52.9009	3246	279	11	0	108.777	1.44251	0.567918	0.266741	94.8514	1.47481	0.560998	18.4376	18.4376	94.8514	18.4376	nan	0	0.214715	4.72544e+07	1	482.294	-1	-1	-1	nu-candidate	1	-0.83377427	0.43389314	1402.7094	23.453	19.146	1284644	{"12:1000003": "-1,-1,-1", "13:1000006": "-1,-1,-1", "15:1000002": "-1,-1,-1", "16:1000014": "-1,-1,-1", "17:1000000": "0,0,1", "18:14": "-1,-1,-1", "19:1000005": "-1,-1,-1", "1:10": "-1,-1,-1", "20:8": "-1,-1,-1", "21:1000001": "-1,-1,-1", "2:2": "-1,-1,-1", "5:4": "-1,-1,-1", "8:7": "-1,-1,-1"}
ncpi0	285567	18261	0	1	8	59.2948	-177.814	270.668	4570	531	10	1	323.58	1.08788	1.27023	0.142116	122.552	1.16306	2.07353	122.552	122.552	122.552	69.818	60423.9	183	0.246269	1.2129e+08	1	122.803	186.355	0.627259	188.46	nu-candidate	1	0.8898195	-15.0	2215.146	30.944	27.296	1310072	{"10:3": "-1,-1,-1", "11:4": "-1,-1,-1", "12:1000003": "-1,-1,-1", "2:0": "-1,-1,-1", "6:1000002": "-1,-1,-1", "7:1000001": "-1,-1,-1", "8:1000000": "0,0,0", "9:1": "-1,-1,-1"}
ncpi0	314838	18255	0	1	18	25.836	154.994	140.365	559	80	1	0	37.8186	1.0157	0.263939	0.016129	0	nan	nan	0	0	0	0	nan	0	0.400791	2.75783e+07	1	170.218	-1	-1	-1	nu-candidate	1	-0.06394919	-15.0	1092.5758	15.623	13.319	1310524	{"10:1000002": "-1,-1,-1", "11:1000007": "-1,-1,-1", "12:0": "-1,-1,-1", "13:1000001": "0,0,0", "14:1000000": "-1,-1,-1", "15:1000004": "-1,-1,-1", "1:10": "-1,-1,-1", "3:1": "-1,-1,-1", "4:3": "-1,-1,-1", "8:1000011": "-1,-1,-1"}
