event	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
18625	1	11	20	670	2335.5	0.038333	0.28022	0.10746	0.01194	0.28969	0.065672	3.8536	9	0.57954	6968	0.098507	0.18806	0.035821	0.031343	0.26114	0	0	670	0.058735	0.036145	0.24984	0	0.0089552	664	0.020896	0.0089552	0.24426	0	0	670
21073	1	11	40	802	2759.4	0.52003	0.32971	0.074813	0.0024938	0.32503	0.032419	2.1743	6	0.70146	7317	0.049875	0.26434	0.031172	0.016209	0.24601	0.0037406	0	802	0.02057	0.011076	0.24991	0.0047468	0.21197	632	0.022642	0.010063	0.24877	0	0.0087282	795
37112	1	84	40	505	3017.9	0.39511	0.3616	0.10693	0.0059406	0.29357	0.055446	2.3195	7	0.67141	3940	0.075248	0.29901	0.063618	0.049702	0.25187	0	0.0039604	503	0.019841	0.0019841	0.24562	0	0.0019802	504	0.024229	0.0044053	0.22866	0	0.10099	454
56982	1	22	46	621	4057.8	0.24435	0.25631	0.038647	0	0.33173	0.019324	1.2322	5	0.70616	5565	0.074074	0.31079	0.017713	0.0080515	0.2536	0	0	621	0.030744	0.0080906	0.27915	0	0.0048309	618	0.01454	0.006462	0.236	0	0.0032206	619
71372	1	92	72	1497	5303.1	0.51574	0.46666	0.095524	0.002004	0.39134	0.042084	4.1485	22	0.59749	15624	0.11156	0.29192	0.032064	0.0167	0.25052	0	0	1497	0.051505	0.020736	0.26663	0	0.001336	1495	0.023529	0.0062284	0.24386	0	0.034736	1445
84229	1	19	37	838	4225.6	0.19553	0.29291	0.089499	0	0.36834	0.060859	2.3665	10	0.84931	5880	0.079952	0.22076	0.01074	0.00358	0.25322	0.0023866	0	838	0.060932	0.038232	0.28446	0	0.0011933	837	0.033453	0.021505	0.24139	0	0.0011933	837
105946	1	14	33	469	3331.4	0.18364	0.23038	0.11727	0.021322	0.25454	0.042644	0.60035	2	0.66313	4414	0.081023	0.33689	0.01919	0.012793	0.24545	0.0021322	0	469	0.019231	0.008547	0.2609	0.0021368	0.0021322	468	0.031983	0.021322	0.19553	0.0021322	0	469
114446	1	21	7	43	972.84	0.0095945	0.13447	0	0	0.10725	0.023256	1.0279	1	0.99815	186	0.13953	0.30233	0.023256	0.023256	0.24707	0	0	43	0.023256	0.023256	0.29326	0	0	43	0.023256	0.023256	0.2428	0	0	43
142421	1	7	53	1340	6906.7	0.25659	0.31431	0.034328	0	0.18199	0.019403	0.28958	2	0.6345	12607	0.014179	0.15299	0.01194	0.0074627	0.23708	0	0	1340	0.015672	0.013433	0.25604	0	0	1340	0.0054012	0.0023148	0.24651	0	0.032836	1296
180801	1	15	35	621	3239	0.3666	0.33029	0.038647	0	0.28966	0.011272	2.7786	9	0.74071	4933	0.069243	0.21578	0.028986	0.0064412	0.25972	0	0	621	0.018868	0.0037736	0.25931	0	0.14654	530	0.01129	0.0016129	0.25103	0	0.0016103	620
259542	1	134	54	834	5010.1	0.15592	0.40392	0.1259	0.016787	0.36529	0.068345	1.1976	6	0.66622	6427	0.055156	0.26978	0.052758	0.032374	0.25436	0	0	834	0.054087	0.028846	0.26993	0.0024038	0.0023981	832	0.015588	0.0083933	0.23964	0	0	834
285567	1	8	39	819	4764.5	0.26253	0.1899	0.04884	0.004884	0.2108	0.026862	1.889	9	0.68994	6865	0.057387	0.17827	0.015873	0.01221	0.24532	0.002442	0	819	0.025641	0.01221	0.25459	0.002442	0	819	0.013431	0.002442	0.22421	0.002442	0	819
314838	1	18	30	667	2441	0.38873	0.41135	0.082459	0	0.37851	0.035982	3.2774	8	0.78899	5362	0.11544	0.25337	0.017991	0.014993	0.27266	0.0029985	0	667	0.016692	0.010622	0.26602	0.0030349	0.011994	659	0.024279	0.01214	0.24835	0	0.011994	659
359980	1	70	38	504	2279.7	0.034209	0.34358	0.05754	0.0039683	0.32122	0.039683	2.6319	6	0.92624	3037	0.06746	0.30159	0.025105	0.020921	0.226	0	0.051587	478	0.039683	0.019841	0.25062	0.0019841	0	504	0.011905	0.0079365	0.22094	0	0	504
399860	1	17	24	556	1984	0.28852	0.32791	0.15288	0.0089928	0.38939	0.057554	6.5523	13	0.57721	6872	0.1223	0.27698	0.034173	0.017986	0.28775	0	0	556	0.046763	0.028777	0.25952	0	0	556	0.032374	0.010791	0.24866	0	0	556
463565	1	13	47	637	3807.6	0.39919	0.3537	0.080063	0.0047096	0.35042	0.036107	1.5758	6	0.78258	4774	0.054945	0.29042	0.032967	0.0078493	0.2548	0	0	637	0.025118	0.020408	0.26803	0	0	637	0.018838	0.0078493	0.23212	0	0	637
506114	1	28	48	953	4649.4	0.48662	0.41403	0.081847	0.0041973	0.35478	0.058762	2.1508	10	0.48174	12577	0.073452	0.24134	0.01574	0.0094439	0.24952	0.0020986	0	953	0.038866	0.023109	0.28405	0	0.0010493	952	0.024678	0.019313	0.24394	0.0053648	0.022036	932
506746	1	21	38	886	3602.6	0.49487	0.50062	0.10045	0.0090293	0.3283	0.036117	1.3879	5	0.78913	7434	0.042889	0.24831	0.034989	0.019187	0.24199	0	0	886	0.024943	0.0068027	0.24264	0	0.0045147	882	0.030682	0.017045	0.25816	0	0.006772	880
521075	1	94	15	336	2657.6	0.51383	0.3295	0.17262	0.035714	0.44187	0.050595	2.2577	6	0.33671	5281	0.13095	0.23512	0.02381	0.014881	0.26523	0.02381	0	336	0.021739	0.016304	0.2761	0.043478	0.45238	184	0.014881	0.0059524	0.21889	0.02381	0	336
