event	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
47036	0																																		
47058	1	11	12	361	1967.3	0.25314	0.10618	0	0	0.081495	0.0083102	0.50832	1	0.99628	1965	0.022161	0.058172	0.0027855	0.0027855	0.2502	0	0.0055402	359	0.0084034	0.0084034	0.24018	0	0.01108	357	0.0055556	0.0055556	0.25003	0	0.0027701	360
47212	1	1	47	697	3929.2	0.32364	0.25373	0.05165	0	0.26256	0.043042	0.76351	3	0.90625	4046	0.055954	0.25251	0.021521	0.018651	0.25249	0.0043042	0	697	0.035971	0.021583	0.28725	0.0028777	0.0028694	695	0.017366	0.0086831	0.22666	0.0028944	0.0086083	691
47278	1	6	12	191	636.53	0.10576	0.26296	0.015707	0	0.1025	0.026178	0	0	0.91151	966	0.010471	0.15707	0.015707	0.015707	0.27735	0.0052356	0	191	0.020942	0.020942	0.21834	0.0052356	0	191	0	0	0.18673	0	0	191
47608	0																																		
47696	1	16	10	82	1014.1	0.4085	0.14625	0	0	0.1212	0	0.98607	1	0.99965	382	0.060976	0.18293	0	0	0.19787	0	0	82	0	0	0.24849	0	0	82	0	0	0.24323	0	0	82
47784	1	17	7	475	2807.2	0.071743	0.010716	0.0084211	0	0.18632	0.0063158	0	0	0.95939	3406	0	0.048421	0	0	0.23745	0	0	475	0.0063291	0.0063291	0.22903	0	0.0021053	474	0	0	0.24556	0	0.014737	468
47894	1	12	13	52	525.27	0.32304	0.17061	0	0	0.090374	0.038462	0	0	1	121	0.038462	0.42308	0	0	0.20344	0.019231	0	52	0.019231	0.019231	0.24614	0	0	52	0.019231	0.019231	0.058479	0.019231	0	52
47916	1	11	2	66	473.71	0.013077	0.0065385	0	0	0.12986	0	0	0	0.99817	304	0	0.060606	0	0	0.26674	0	0	66	0	0	0.24727	0	0	66	0	0	0.21163	0	0	66
47982	0																																		
48246	0																																		
48444	0																																		
48488	1	21	5	407	2127.8	0.23784	0.13746	0.012285	0	0.114	0	0	0	0.99863	2302	0	0.044226	0	0	0.24139	0	0.004914	405	0	0	0.24443	0	0	407	0	0	0.24846	0	0.009828	403
48774	1	7	4	516	1116	0.38365	0.16682	0	0	0.13339	0.003876	0	0	0.99692	2879	0	0.011628	0.0019455	0.0019455	0.2457	0	0.003876	514	0.003876	0.001938	0.25481	0	0	516	0.0019569	0	0.24669	0	0.0096899	511
48840	0																																		
49016	0																																		
49346	0																																		
49415	1	19	4	45	396.76	0.028161	0.24351	0	0	0.21868	0.022222	0	0	0.83159	375	0	0.2	0.022222	0.022222	0.32227	0	0	45	0	0	0.30395	0	0	45	0	0	0.22141	0	0	45
49657	0																																		
49698	0																																		
49742	1	16	6	220	1129.2	0.42337	0.19925	0.12273	0.12273	0.099199	0.12727	0	0	0.99008	981	0.027273	0.05	0	0	0.24802	0	0	220	0.027273	0.031818	0.25152	0.10909	0	220	0.0090909	0.0045455	0.256	0	0	220
49745	1	3	3	119	262.02	0.18934	0.12987	0	0	0.33981	0	0	0	0.89148	913	0.016807	0.12605	0	0	0.24867	0	0	119	0	0	0.26461	0	0	119	0	0	0.22119	0	0	119
49767	0																																		
49789	0																																		
49877	0																																		
49984	1	4	3	55	127.81	0.019062	0.061376	0	0	0.13928	0	0	0	0.99469	297	0	0.090909	0	0	0.2668	0	0	55	0	0	0.26707	0	0	55	0	0	0.243	0	0	55
49987	1	8	7	406	1282.2	0.38287	0.11452	0.0049261	0	0.11463	0	0	0	0.99807	1926	0	0.03202	0	0	0.22535	0	0	406	0.0024631	0	0.26826	0	0	406	0	0	0.2476	0	0	406
50182	1	10	4	227	539.06	0.034324	0.16022	0	0	0.074885	0.013216	0	0	0.99949	1248	0	0.030837	0.017621	0.0088106	0.24016	0	0	227	0.017621	0.013216	0.23348	0	0	227	0.0088106	0.0044053	0.24192	0	0	227
50226	0																																		
50270	0																																		
50273	0																																		
50336	0																																		
50446	1	13	9	146	565.84	0.026268	0.2602	0	0	0.13395	0.027397	1.7673	1	0.83025	861	0.054795	0.09589	0.0068493	0	0.27537	0	0	146	0.027397	0.027397	0.26556	0	0	146	0	0	0.21829	0	0.020548	143
50680	0																																		
50688	1	10	7	29	1625	0.01791	0.041492	0	0	0.10172	0	0	0	1	99	0.13793	0.37931	0	0	0.30771	0.034483	0	29	0	0	0.31308	0.034483	0	29	0	0	0.12695	0.034483	0	29
50732	0																																		
50801	1	20	24	219	2500.9	0.13265	0.34014	0.013699	0	0.12871	0.041096	0.79972	2	0.9777	989	0.086758	0.25114	0.0091324	0.0045662	0.26981	0.0091324	0	219	0.027397	0.022831	0.22736	0.0091324	0	219	0.018265	0.013699	0.21585	0.0091324	0	219
50812	0																																		
50842	0																																		
51065	0																																		
51109	0																																		
51128	1	22	23	233	1343.9	0.19823	0.20437	0.021459	0	0.13283	0.051502	0.74412	1	0.97651	1097	0.034335	0.21888	0.056034	0.047414	0.25578	0	0.0042918	232	0.017544	0.013158	0.2584	0	0.021459	228	0.0085837	0.0085837	0.17226	0	0	233
51153	0																																		
51208	0																																		
51219	1	12	13	481	2722.3	0.065315	0.23424	0.024948	0	0.1836	0.002079	1.4694	4	0.88399	3499	0.045738	0.074844	0.002079	0	0.23212	0	0	481	0	0	0.25642	0	0.002079	480	0.0022026	0.0022026	0.22384	0	0.056133	454
51260	1	7	11	83	642	0.12521	0.11382	0	0	0.15561	0	1.5576	1	0.94312	375	0.072289	0.25301	0	0	0.17564	0	0	83	0.024096	0	0.27346	0	0	83	0	0	0.17803	0	0.048193	79
51348	0																																		
51417	0																																		
51428	0																																		
51546	1	16	10	377	1572.1	0.11603	0.37375	0.034483	0	0.32591	0.013263	3.1804	5	0.61066	2839	0.074271	0.12997	0.013263	0.0026525	0.2573	0	0	377	0.026525	0.01061	0.24133	0	0	377	0.01061	0	0.25614	0	0	377
51590	0																																		
51692	0																																		
