event	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
47036	0																																		
47058	1	11	12	364	1966.5	0.25097	0.10752	0	0	0.080921	0.0082418	0.50852	1	0.999	1965	0.024725	0.057692	0.0082645	0.0055096	0.24312	0	0.0027473	363	0.011111	0.0083333	0.24959	0	0.010989	360	0.0082645	0.0055096	0.23676	0	0.0027473	363
47212	1	1	47	713	4013.1	0.32055	0.24116	0.047686	0	0.28007	0.039271	0.99675	4	0.91542	4046	0.057504	0.25947	0.019635	0.014025	0.23904	0.0042076	0	713	0.033755	0.018284	0.26213	0.0028129	0.002805	711	0.015603	0.0099291	0.22949	0.0028369	0.01122	705
47278	1	6	12	203	647.12	0.06181	0.25788	0.024631	0	0.10804	0.019704	0	0	0.98683	966	0.0098522	0.15271	0.014778	0.0098522	0.25258	0	0	203	0.014778	0.014778	0.22774	0	0	203	0	0	0.20089	0	0	203
47608	0																																		
47696	1	16	10	82	1013.2	0.41541	0.14457	0	0	0.1212	0	0.98696	1	0.99965	382	0.060976	0.20732	0	0	0.26393	0	0	82	0	0	0.26831	0	0	82	0	0	0.17352	0	0	82
47784	1	17	7	469	2371.4	0.071463	0.011952	0	0	0.18025	0.0042644	0	0	0.95819	3406	0	0.031983	0	0	0.25621	0	0	469	0.0042644	0.0042644	0.26262	0	0	469	0	0	0.24637	0	0.012793	463
47894	1	12	13	52	525.26	0.32304	0.17061	0	0	0.091966	0.038462	0	0	1	121	0.038462	0.42308	0	0	0.20344	0.019231	0	52	0.019231	0.019231	0.24153	0	0	52	0.019231	0.019231	0.058479	0.019231	0	52
47916	1	11	2	65	470.62	0.002765	0.0013825	0	0	0.10211	0	0	0	1	304	0	0.092308	0	0	0.22974	0	0	65	0	0	0.20395	0	0	65	0	0	0.21239	0	0	65
47982	0																																		
48246	0																																		
48444	0																																		
48488	1	21	5	401	1676.4	0.24743	0.13938	0	0	0.11157	0.0024938	0	0	0.99473	2302	0	0.01995	0.0024938	0.0024938	0.26017	0	0	401	0.0074813	0.0024938	0.22817	0	0	401	0	0	0.26085	0	0.012469	396
48774	1	7	4	520	1118	0.38698	0.16766	0	0	0.13951	0.0038462	0	0	0.99627	2879	0	0.013462	0.0057915	0.003861	0.25478	0	0.0038462	518	0.0038462	0.0019231	0.2594	0	0	520	0.0038911	0.0019455	0.26336	0	0.011538	514
48840	0																																		
49016	0																																		
49346	0																																		
49415	1	19	4	46	398.26	0.014973	0.24044	0	0	0.25714	0.021739	0	0	0.83181	375	0	0.19565	0.021739	0.021739	0.25011	0	0	46	0	0	0.27298	0	0	46	0	0	0.21102	0	0	46
49657	0																																		
49698	0																																		
49742	1	16	6	224	1131.7	0.42882	0.19379	0.13393	0.13393	0.092447	0.12054	0.88366	1	0.99479	981	0.049107	0.053571	0.0089286	0.0044643	0.22151	0	0	224	0.035714	0.03125	0.24085	0.10714	0	224	0	0	0.24023	0	0	224
49745	1	3	3	117	230.91	0.30885	0.16971	0.025641	0	0.40003	0	0	0	0.87542	913	0.034188	0.10256	0.025641	0	0.27475	0	0	117	0.025641	0	0.28649	0	0	117	0.017094	0	0.23483	0	0	117
49767	0																																		
49789	0																																		
49877	0																																		
49984	1	4	3	58	129.11	0.021008	0.062025	0.034483	0	0.17379	0	0	0	0.99697	297	0	0.086207	0	0	0.25518	0	0	58	0.017241	0	0.30139	0	0	58	0	0	0.23239	0	0	58
49987	1	8	7	406	1208.3	0.39011	0.11972	0	0	0.1154	0.0024631	0	0	0.99547	1926	0	0.03202	0	0	0.26297	0	0	406	0.0049261	0.0024631	0.24477	0	0	406	0	0	0.23264	0	0.0024631	405
50182	1	10	4	225	537.98	0.039847	0.1616	0	0	0.070103	0.0088889	0	0	0.99933	1248	0.0044444	0.031111	0.017778	0.0044444	0.21647	0	0	225	0.017778	0.0088889	0.25447	0	0	225	0.0088889	0.0044444	0.26147	0	0	225
50226	0																																		
50270	0																																		
50273	0																																		
50336	0																																		
50446	1	13	9	146	565.63	0.026429	0.26022	0	0	0.14105	0.027397	1.7679	1	0.82079	861	0.061644	0.10959	0.0068493	0	0.25651	0	0	146	0.027397	0.027397	0.24232	0	0	146	0	0	0.21674	0	0.020548	143
50680	0																																		
50688	1	10	7	29	1625	0.01791	0.041492	0	0	0.10172	0	0	0	1	99	0.13793	0.37931	0	0	0.30771	0.034483	0	29	0	0	0.31308	0.034483	0	29	0	0	0.12695	0.034483	0	29
50732	0																																		
