event	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
388	1	23	46	981	4867	0.43005	0.5349	0.11621	0	0.47221	0.04893	3.082	15	0.56169	12422	0.10092	0.30581	0.025484	0.01631	0.24684	0.0030581	0	981	0.040942	0.025589	0.28759	0.0030706	0.0040775	977	0.023711	0.0072165	0.23843	0.0030928	0.011213	970
10550	1	7	40	498	3177.7	0.48268	0.38107	0.15261	0.038153	0.31944	0.082329	1.2588	4	0.87788	2988	0.056225	0.32129	0.022088	0.02008	0.25057	0.014056	0	498	0.016064	0.012048	0.24174	0.014056	0	498	0.068273	0.060241	0.25546	0.014056	0	498
30504	1	11	32	569	2586	0.25578	0.35053	0.094903	0	0.43098	0.02812	1.9335	5	0.49886	8315	0.080844	0.24429	0.040422	0.022847	0.26638	0	0	569	0.017794	0.0035587	0.26162	0	0.012302	562	0.022847	0.0017575	0.27723	0	0	569
38856	1	12	28	604	1919.7	0.28702	0.439	0.11093	0.0033113	0.39396	0.029801	3.6463	7	0.50502	7899	0.076159	0.23675	0.011589	0.0082781	0.25072	0	0	604	0.042672	0.022263	0.27362	0	0.10762	539	0.019868	0.0049669	0.26985	0	0	604
42280	1	8	41	1000	4764.9	0.29341	0.40957	0.192	0.056	0.50401	0.081	3.3579	16	0.38301	16059	0.126	0.265	0.053	0.022	0.27503	0	0	1000	0.075377	0.042211	0.27434	0	0.005	995	0.056225	0.03012	0.26695	0	0.004	996
46363	1	19	44	941	5061	0.27878	0.36911	0.12434	0.0042508	0.42968	0.043571	1.9759	10	0.58809	10721	0.07864	0.30074	0.0085016	0.0053135	0.24747	0	0	941	0.047297	0.02973	0.26105	0	0.2136	740	0.033191	0.019272	0.26868	0	0.0074389	934
52672	1	82	55	551	3607.5	0.4965	0.317	0.088929	0.0072595	0.29202	0.085299	0.5544	2	0.52399	5326	0.072595	0.36298	0.030853	0.010889	0.24999	0	0	551	0.087549	0.062257	0.2824	0	0.067151	514	0.051376	0.036697	0.25481	0	0.010889	545
54095	1	17	47	1187	4551	0.32586	0.54946	0.16681	0	0.46327	0.062342	5.2736	24	0.53763	16799	0.16344	0.25864	0.037911	0.020219	0.27253	0	0	1187	0.071912	0.035533	0.28322	0	0.0042123	1182	0.034335	0.011159	0.24134	0	0.018534	1165
69314	1	3	28	796	3609	0.074083	0.24683	0.038945	0	0.25196	0.022613	0.55417	2	0.7119	6776	0.04397	0.1608	0.01005	0.0075377	0.25399	0.0025126	0	796	0.02267	0.011335	0.25218	0.0025189	0.0025126	794	0.014066	0.0076726	0.23632	0.0025575	0.017588	782
74544	1	12	20	719	3355.9	0.24948	0.45417	0.13352	0	0.45878	0.027816	2.3838	8	0.49459	11394	0.082058	0.22949	0.011127	0.0041725	0.26145	0	0	719	0.030598	0.013908	0.26057	0	0	719	0.019635	0.0084151	0.24903	0.0014025	0.0083449	713
