
root                             evt  n_showers    ok  reversed  no_vtx
work-pr39-verify-ncpi0-19     105946         23    23         0       0
work-pr39-verify-ncpi0-19     114446          7     7         0       0
work-pr39-verify-ncpi0-19     142421         27    27         0       0
work-pr39-verify-ncpi0-19     180801         19    19         0       0
work-pr39-verify-ncpi0-19      18625         19    19         0       0
work-pr39-verify-ncpi0-19      21073         17    17         0       0
work-pr39-verify-ncpi0-19     259542         30    30         0       0
work-pr39-verify-ncpi0-19     285567         27    27         0       0
work-pr39-verify-ncpi0-19     314838         14    14         0       0
work-pr39-verify-ncpi0-19     359980         11    11         0       0
work-pr39-verify-ncpi0-19      37112         11    11         0       0
work-pr39-verify-ncpi0-19     399860          9     9         0       0
work-pr39-verify-ncpi0-19     463565         19    19         0       0
work-pr39-verify-ncpi0-19     506114         19    19         0       0
work-pr39-verify-ncpi0-19     506746         14    14         0       0
work-pr39-verify-ncpi0-19     521075         10    10         0       0
work-pr39-verify-ncpi0-19      56982         33    33         0       0
work-pr39-verify-ncpi0-19      71372         21    21         0       0
work-pr39-verify-ncpi0-19      84229         17    17         0       0
work-pr39-verify-nuecc48       10550         21    21         0       0
work-pr39-verify-nuecc48      111412         13    13         0       0
work-pr39-verify-nuecc48      122660         14    14         0       0
work-pr39-verify-nuecc48      131357          6     6         0       0
work-pr39-verify-nuecc48      137238          8     8         0       0
work-pr39-verify-nuecc48      138009          9     9         0       0
work-pr39-verify-nuecc48      163543         16    16         0       0
work-pr39-verify-nuecc48      168596         18    18         0       0
work-pr39-verify-nuecc48      172230         11    11         0       0
work-pr39-verify-nuecc48      174637         10    10         0       0
work-pr39-verify-nuecc48      196649          6     6         0       0
work-pr39-verify-nuecc48      214469         13    13         0       0
work-pr39-verify-nuecc48      219295         10    10         0       0
work-pr39-verify-nuecc48      234638         22    22         0       0
work-pr39-verify-nuecc48      235435          3     3         0       0
work-pr39-verify-nuecc48      239794          8     8         0       0
work-pr39-verify-nuecc48      246579         17    17         0       0
work-pr39-verify-nuecc48      256587         33    33         0       0
work-pr39-verify-nuecc48      267597         20    20         0       0
work-pr39-verify-nuecc48      268067         11    11         0       0
work-pr39-verify-nuecc48      268784         14    14         0       0
work-pr39-verify-nuecc48      269774         18    18         0       0
work-pr39-verify-nuecc48      271851         20    20         0       0
work-pr39-verify-nuecc48       30504         12    12         0       0
work-pr39-verify-nuecc48      342199         10    10         0       0
work-pr39-verify-nuecc48      350186          8     8         0       0
work-pr39-verify-nuecc48      360535          4     4         0       0
work-pr39-verify-nuecc48         388         14    14         0       0
work-pr39-verify-nuecc48       38856          6     6         0       0
work-pr39-verify-nuecc48      389538         20    20         0       0
work-pr39-verify-nuecc48      400474         22    22         0       0
work-pr39-verify-nuecc48       42280         27    27         0       0
work-pr39-verify-nuecc48      422851         14    14         0       0
work-pr39-verify-nuecc48      423981         19    19         0       0
work-pr39-verify-nuecc48      433451         34    34         0       0
work-pr39-verify-nuecc48      437699         16    16         0       0
work-pr39-verify-nuecc48      444187          3     3         0       0
work-pr39-verify-nuecc48      447477         12    12         0       0
work-pr39-verify-nuecc48       46363         21    21         0       0
work-pr39-verify-nuecc48      469665          9     9         0       0
work-pr39-verify-nuecc48      489330          3     3         0       0
work-pr39-verify-nuecc48       52672         22    22         0       0
work-pr39-verify-nuecc48       54095         17    17         0       0
work-pr39-verify-nuecc48       69314         22    22         0       0
work-pr39-verify-nuecc48       74544          6     6         0       0
work-pr39-verify-nuecc48       81597          6     6         0       0
work-pr39-verify-nuecc48       90055         28    28         0       0

TOTAL showers=1023 ok=1023 reversed=0 no_start_vertex=0
