arm	event	rcid	npts	n_inner	n_outer	angle_in_out_deg	imp_inner_cm	imp_outer_cm
work-pr51r5-flip48	10550	48027	28	8	19	12.14	0.154	0.980
work-pr51r5-flip48	111412	18064	57	8	22	5.96	0.407	1.072
work-pr51r5-flip48	131357	12016	25	8	16	4.47	0.205	0.615
work-pr51r5-flip48	137238	143049	27	8	18	5.72	0.172	0.350
work-pr51r5-flip48	137238	143061	34	7	22	0.69	0.105	0.073
work-pr51r5-flip48	138009	12028	22	8	13	2.25	0.109	0.177
work-pr51r5-flip48	168596	14017	28	8	19	5.27	0.089	0.670
work-pr51r5-flip48	172230	5024	19	8	10	3.93	0.020	0.360
work-pr51r5-flip48	172230	5033	32	8	22	5.68	0.114	0.363
work-pr51r5-flip48	174637	9019	20	8	11	4.75	0.084	0.332
work-pr51r5-flip48	174637	9032	63	8	22	2.32	0.050	0.168
work-pr51r5-flip48	196649	11082	56	8	25	6.91	0.183	0.741
work-pr51r5-flip48	214469	16020	140	8	22	0.67	0.044	0.027
work-pr51r5-flip48	214469	16040	54	7	21	0.91	0.130	0.240
work-pr51r5-flip48	219295	15003	147	7	21	1.17	0.124	0.099
work-pr51r5-flip48	234638	10032	42	8	23	3.77	0.172	0.363
work-pr51r5-flip48	234638	10051	60	8	23	31.94	0.274	2.402
work-pr51r5-flip48	235435	2024	48	8	22	5.75	0.925	1.326
work-pr51r5-flip48	239794	2060	45	8	22	1.61	0.054	0.094
work-pr51r5-flip48	239794	2069	32	7	24	2.81	0.115	0.167
work-pr51r5-flip48	246579	19043	39	8	24	4.87	0.119	0.299
work-pr51r5-flip48	256587	11102	50	8	22	3.61	0.100	0.300
work-pr51r5-flip48	256587	11146	61	9	24	11.03	0.614	0.420
work-pr51r5-flip48	267597	5007	29	7	20	4.79	0.068	0.439
work-pr51r5-flip48	267597	5008	135	8	22	3.25	0.174	0.187
work-pr51r5-flip48	268784	13030	32	8	23	6.78	0.385	0.495
work-pr51r5-flip48	268784	13036	34	8	25	9.07	0.385	0.949
work-pr51r5-flip48	269774	87132	39	8	22	5.85	0.122	0.367
work-pr51r5-flip48	342199	20011	27	9	17	3.57	0.484	0.280
work-pr51r5-flip48	342199	20030	67	8	22	1.05	0.086	0.022
work-pr51r5-flip48	350186	6010	50	8	23	4.23	0.592	0.466
work-pr51r5-flip48	360535	7067	73	8	22	3.93	0.413	0.695
work-pr51r5-flip48	388	23017	40	8	23	8.33	0.270	0.990
work-pr51r5-flip48	388	23026	41	8	22	6.58	0.093	0.705
work-pr51r5-flip48	389538	19035	149	8	22	1.29	0.180	0.093
work-pr51r5-flip48	400474	18010	49	8	22	7.62	0.310	0.458
work-pr51r5-flip48	400474	18021	45	9	23	1.42	0.246	0.467
work-pr51r5-flip48	400474	18033	28	8	19	6.07	0.042	0.590
work-pr51r5-flip48	42280	8031	26	8	17	12.91	0.141	1.090
work-pr51r5-flip48	422851	1014	41	7	22	2.76	0.122	0.178
work-pr51r5-flip48	423981	12021	142	8	23	2.18	0.073	0.045
work-pr51r5-flip48	423981	12022	52	8	22	5.46	0.108	0.365
work-pr51r5-flip48	423981	12032	50	7	22	9.02	0.169	0.735
work-pr51r5-flip48	433451	4060	28	8	19	2.80	0.086	0.278
work-pr51r5-flip48	433451	4061	48	8	23	10.09	0.491	0.557
work-pr51r5-flip48	437699	11028	60	8	23	0.59	0.223	0.182
work-pr51r5-flip48	437699	11029	23	8	14	2.50	0.080	0.215
work-pr51r5-flip48	444187	19001	243	7	22	1.00	0.037	0.144
work-pr51r5-flip48	444187	19021	47	8	24	1.25	0.089	0.168
work-pr51r5-flip48	447477	11019	66	7	24	4.34	0.182	0.246
work-pr51r5-flip48	469665	15002	47	8	24	15.20	0.307	1.488
work-pr51r5-flip48	489330	4005	106	8	22	3.53	0.197	0.142
work-pr51r5-flip48	489330	4019	37	8	22	1.08	0.080	0.244
work-pr51r5-flip48	54095	17044	35	8	22	1.43	0.102	0.076
work-pr51r5-flip48	54095	17107	79	8	22	0.53	0.205	0.265
work-pr51r5-flip48	69314	3005	255	7	22	3.26	0.156	0.364
work-pr51r5-flip48	69314	3013	65	8	22	3.05	0.298	0.127
work-pr51r5-flip48	69314	3014	55	8	22	4.54	0.282	0.719
work-pr51r5-flip48	69314	3022	59	7	21	1.16	0.324	0.438
work-pr51r5-flip48	74544	12060	30	8	22	3.54	0.819	1.089
