sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV
ncpi0	18259	1	18625	0	9.488	4.440	16	1533640	0	nu-candidate	12	2	2	1	0	1.703	125.0	20	147.44882	85.08305	166.94016	2.5263252	-15.0	1.0	0.0	0.7	0.0	889.9054
ncpi0	18345	1	21073	0	9.460	6.621	17	1533748	0	nu-candidate	10	1	1	1	0	1.842	108.9	37	-32.988213	24.446762	363.22964	-0.33184978	-1.6521579	1.0	0.0	0.7	0.0	1425.4774
ncpi0	18259	1	37112	0	6.360	3.347	13	1534608	0	nu-candidate	12	1	1	1	0	0.901	54.3	41	-166.01883	72.005486	7.294343	0.095940135	-2.4536288	1.0	0.0	0.7	0.0	1356.6167
ncpi0	18255	1	56982	0	10.789	5.678	18	1532748	0	nu-candidate	15	1	1	1	0	1.864	75.0	44	-85.513374	-141.30647	381.65875	-0.47778392	-4.300936	1.0	0.0	0.7	0.0	1248.6375
ncpi0	18255	1	71372	0	20.801	15.091	27	1532516	0	nu-candidate	13	1	1	1	0	2.012	90.4	56	-167.0025	-155.86298	224.96886	0.36292785	-1.4978598	1.0	0.0	0.7	0.0	2430.2507
ncpi0	18364	1	84229	0	10.844	5.825	17	1532700	0	nu-candidate	10	1	1	1	0	0.671	96.4	30	97.53347	122.83103	384.57278	-0.51966447	-3.501908	1.0	0.0	0.7	0.0	1407.1796
ncpi0	18259	1	105946	0	9.829	4.735	16	1533176	0	nu-candidate	10	1	1	1	0	0.878	50.1	32	-131.43478	-140.8476	412.1304	-0.52592963	-0.35489973	1.0	0.0	0.7	0.0	1096.7616
ncpi0	18255	1	114446	0	8.043	2.966	15	1529452	0	nu-candidate	14	1	1	1	0	1.233	10.9	6	-65.89108	-64.38129	333.07266	-2.1809807	-15.0	1.0	0.0	0.7	0.0	130.63477
ncpi0	18255	1	142421	0	15.756	10.844	23	1531344	0	nu-candidate	11	1	1	1	0	1.158	274.8	44	117.97828	-69.90811	210.31726	2.3589947	-2.805964	1.0	0.0	0.7	0.0	2575.736
ncpi0	18255	1	180801	0	11.458	6.348	19	1528912	0	nu-candidate	13	1	1	1	0	0.728	70.9	34	-40.08062	-17.214357	469.17786	-0.56291354	-4.300936	1.0	0.0	0.7	0.0	1138.589
