arm	event	cluster	class	n_dup_pairs	n_segs	sum_len_cm	max_len_cm	member_seg_ids
work-pr83r3-m2koff	175952	10	A	3	3	92.5	36.4	10031,10032,10033
work-pr83r3-m2koff	275011	11	A	1	2	52.7	26.9	11044,11045
work-pr83r3-m2koff	280159	12	A	1	2	37.5	20.6	12116,12117
work-pr83r3-m2koff	284206	10	A	5	5	133.7	32.1	10044,10047,10048,10049,10050
work-pr83r3-m2koff	291072	21	A	1	2	42.6	24.1	21081,21082
work-pr83r3-m2koff	323301	19	B	1	2	38.5	20.7	19014,19031
work-pr83r3-m2koff	348594	16	B	1	2	31.3	20.1	16006,16014
work-pr83r3-m2koff	392901	15	B	1	2	45.2	32.1	15010,15012
work-pr83r3-m2koff	393538	22	B	1	2	25.6	13.7	22017,22018
work-pr83r3-m2koff	396222	9	A	1	2	34.5	18.6	9083,9091
work-pr83r3-m2koff	415278	23	B	4	5	103.8	29.9	23053,23068,23070,23086,23134
work-pr83r3-m2koff	478880	24	B	1	2	130.4	67.2	24011,24012
work-pr83r3-m2koff	69232	20	B	1	2	26.4	14.0	20001,20010
work-pr83r3-m2koff	98844	6	B	1	2	94.2	61.5	6009,6093
