event	moved_cm	dclick_a	dclick_b	verdict	b1	nue	numu	cosmict
168432	0.56	0.22	0.38	on	0.00	=	1.03->2.44	=
282204	0.48	0.27	0.23	toward	0.00	=	1.40->2.09	=
174114	0.45	0.25	0.52	on	0.00	=	0.88->1.07	1.0->0.0
62281	0.28	28.21	28.11	toward	28.21	=	-1.66->3.73	0.0->1.0
59335	0.28	65.60	65.77	away	0.00	=	1.18->2.05	0.0->1.0
277276	0.27	0.57	0.32	toward	0.57	=	1.70->2.49	=
61579	0.24	3.78	3.55	toward	3.78	=	=	1.0->0.0
390842	0.18	2.03	2.17	away	2.03	=	0.01->4.30	=
66712	0.16	0.15	0.14	on	0.00	=	0.96->2.28	=
166870	0.15	4.16	4.28	away	4.15	=	-0.96->1.21	=
64717	0.12	0.00	0.12	on	0.00	=	0.55->-0.41	=
406752	0.09	6.72	6.80	away	0.00	=	0.55->0.16	=
315343	0.08	0.00	0.08	on	0.00	=	-1.40->-1.11	=
402330	0.06	0.00	0.06	on	0.00	=	-1.36->0.58	1.0->0.0
