event	moved_cm	dclick_a	dclick_b	verdict	b1	nue	numu	cosmict
61579	0.73	3.55	4.05	away	3.78	=	=	=
282204	0.62	0.23	0.51	on	0.00	=	2.09->1.91	=
168432	0.56	0.38	0.42	on	0.00	=	2.44->2.35	=
67394	0.51	0.21	0.71	on	0.39	-0.42->-0.44	0.10->0.35	=
402330	0.36	0.06	0.30	on	0.00	=	0.58->0.22	=
277276	0.36	0.32	0.65	on	0.57	=	2.49->2.41	=
285753	0.33	1.29	0.98	toward	0.91	=	-1.48->-1.55	=
61843	0.30	13.42	13.40	toward	71.59	=	-1.63->-1.58	=
394796	0.23	0.21	0.06	toward	0.00	=	=	=
394642	0.21	0.66	0.72	on	1.49	=	0.51->0.53	=
281837	0.20	0.12	0.10	toward	0.00	=	0.52->0.82	=
166870	0.20	4.28	4.11	toward	4.15	=	1.21->0.32	=
349945	0.19	1.25	1.06	toward	1.10	-15.00->-4.30	1.12->1.59	=
64717	0.17	0.12	0.11	on	0.00	=	-0.41->-0.31	=
62281	0.16	28.11	27.96	toward	28.21	=	3.73->1.93	=
62721	0.15	0.30	0.17	toward	0.00	=	-1.08->-2.23	=
405234	0.15	0.85	0.71	toward	0.82	=	0.26->0.33	=
390842	0.13	2.17	2.14	toward	2.03	=	=	=
59335	0.11	65.77	65.76	away	0.00	=	2.05->1.83	=
66712	0.10	0.14	0.16	on	0.00	=	2.28->2.26	=
286353	0.10	2.42	2.48	away	71.17	=	1.71->1.74	=
59685	0.09	0.22	0.26	on	0.00	=	3.02->2.91	=
406752	0.07	6.80	6.80	away	0.00	-15.00->-4.30	0.16->-1.03	=
59553	0.07	7.67	7.61	toward	7.67	=	1.96->2.20	1.0->0.0
174114	0.05	0.52	0.54	on	0.00	=	1.07->1.02	=
