# PR cluster_id remap for /home/xqian/tmp/cathbee/cath_spanned.zip
# event	bee_idx	pr_cluster_id	img_cluster_id	note	img_constituents(id:npts)
280972	0	7	19	flash-matched	19:10446, 5:3513
280972	0	24	19	flash-matched	19:13
280972	0	25	19	flash-matched	19:28
280972	0	26	19	flash-matched	19:11
280972	0	27	19	flash-matched	19:16
280972	0	28	19	flash-matched	19:15
280972	0	29	19	flash-matched	19:11
280972	0	30	19	flash-matched	19:1
280972	0	31	19	flash-matched	19:7
280972	0	32	19	flash-matched	19:16
280972	0	33	19	flash-matched	19:13
280972	0	34	19	flash-matched	19:7
280972	0	35	19	flash-matched	19:21
280972	0	36	19	flash-matched	19:7
280972	0	37	19	flash-matched	19:12
280972	0	38	19	flash-matched	19:27
280972	0	39	19	flash-matched	19:7
280972	0	40	19	flash-matched	19:9
280972	0	41	19	flash-matched	19:43
280972	0	42	19	flash-matched	19:11
280972	0	43	19	flash-matched	19:9
280972	0	44	19	flash-matched	19:13
280972	0	45	19	flash-matched	19:6
280972	0	46	19	flash-matched	19:18
280972	0	47	19	flash-matched	19:16
280972	0	48	19	flash-matched	19:6
280972	0	49	19	flash-matched	19:20
280972	0	50	19	flash-matched	19:7
280972	0	51	19	flash-matched	19:20
280972	0	52	19	flash-matched	19:62
280972	0	53	19	flash-matched	19:28
280972	0	54	19	flash-matched	19:14
280972	0	55	19	flash-matched	19:43
292384	1	19	7	flash-matched	7:3275, 16:1054
292384	1	24	2	flash-matched	2:30
292384	1	44	7	flash-matched	7:7
292384	1	45	7	flash-matched	7:24
292384	1	46	7	flash-matched	7:11
292384	1	47	7	flash-matched	7:28
292384	1	48	16	flash-matched	16:6
292384	1	49	16	flash-matched	16:12
407280	2	16	2	flash-matched	2:3384, 17:258
407280	2	30	17	flash-matched	17:23
286400	3	11	18	flash-matched	18:2705, 12:314
286400	3	38	12	flash-matched	12:13
286400	3	39	12	flash-matched	12:7
286400	3	40	18	flash-matched	18:5
286400	3	41	18	flash-matched	18:16
286400	3	42	18	flash-matched	18:14
286400	3	43	18	flash-matched	18:13
286400	3	44	18	flash-matched	18:8
286400	3	45	18	flash-matched	18:26
281595	4	20	24	flash-matched	24:2357, 4:1162
281595	4	27	10	flash-matched	10:29
281595	4	52	24	flash-matched	24:16
59025	5	19	11	flash-matched	11:1720, 6:882, 19:600
59025	5	25	20	NO-FLASH-MATCH (fallback: dominant)	20:24
59025	5	37	11	flash-matched	11:5
59025	5	38	11	flash-matched	11:16
59025	5	39	19	flash-matched	19:12
285929	6	13	9	flash-matched	9:2419, 20:138
285929	6	28	9	flash-matched	9:12
285929	6	29	9	flash-matched	9:130
286241	7	11	10	flash-matched	10:3204, 17:970
286241	7	25	10	flash-matched	10:22
286241	7	26	17	flash-matched	17:11
286241	7	27	17	flash-matched	17:12
286241	7	28	17	flash-matched	17:13
286241	7	29	17	flash-matched	17:13
286241	7	30	17	flash-matched	17:7
286241	7	31	17	flash-matched	17:12
57575	8	12	13	flash-matched	13:2255, 19:1338
57575	8	44	13	flash-matched	13:9
57575	8	45	13	flash-matched	13:8
57575	8	46	13	flash-matched	13:12
57575	8	47	13	flash-matched	13:16
57575	8	48	13	flash-matched	13:10
57575	8	49	13	flash-matched	13:6
285971	9	7	8	flash-matched	8:1890, 19:673
285971	9	28	8	flash-matched	8:13
285971	9	29	8	flash-matched	8:12
285971	9	30	8	flash-matched	8:16
285971	9	31	19	flash-matched	19:48
313979	10	12	19	flash-matched	19:1768, 14:675
172656	11	10	10	flash-matched	10:1611, 15:1126
172656	11	26	10	flash-matched	10:14
172656	11	27	10	flash-matched	10:17
172656	11	28	10	flash-matched	10:6
172656	11	29	10	flash-matched	10:10
172656	11	30	10	flash-matched	10:6
172656	11	31	15	flash-matched	15:12
172656	11	32	15	flash-matched	15:10
172656	11	33	15	flash-matched	15:10
172656	11	34	15	flash-matched	15:10
172656	11	35	15	flash-matched	15:10
172656	11	36	15	flash-matched	15:8
172656	11	37	15	flash-matched	15:9
