sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV
nuecc48	18255	1	388	0	29.297	17.948	38	1534904	0	nu-candidate	14	1	1	1	0	1.653	86.3	50	-163.1376	31.38656	426.10028	-1.2872081	4.300936	1.0	0.0	0.7	0.0	2957.8003
nuecc48	18255	1	10550	0	14.382	4.906	23	1536288	0	cosmic-tagged	7	1	1	1	1	1.193	18.5	37	60.777424	54.995598	165.95428	-1.4758477	-4.300936	1.0	0.0	0.7	0.0	392.83905
nuecc48	18342	1	30504	0	16.332	6.390	23	1533568	0	nu-candidate	7	1	1	1	0	1.646	83.8	32	12.78941	-46.70835	187.4102	-0.300922	-15.0	1.0	0.0	0.7	0.0	1178.0886
nuecc48	18304	1	38856	0	18.746	8.759	27	1530952	0	nu-candidate	10	1	1	1	0	1.106	94.3	28	-58.935772	-56.23864	428.88968	-0.36570787	-2.8149934	1.0	0.0	0.7	0.0	1398.4677
nuecc48	18259	1	42280	0	30.274	20.752	38	1537108	0	nu-candidate	9	1	1	1	0	1.856	114.6	45	14.383667	-9.956436	89.42635	-0.61390436	4.300936	1.0	0.0	0.7	0.0	2010.7059
nuecc48	18255	1	46363	0	32.541	22.746	41	1535400	0	nu-candidate	11	1	1	1	0	0.836	110.9	44	-78.86004	16.897078	298.36423	-1.6600738	-2.2585866	1.0	0.0	0.7	0.0	459.3848
nuecc48	18259	1	52672	0	15.200	5.660	24	1538072	0	nu-candidate	10	1	1	1	0	1.520	54.6	57	-136.08537	67.05379	295.70685	-0.21721129	-0.6720389	1.0	0.0	0.7	0.0	1208.9226
nuecc48	18259	1	54095	0	38.010	28.778	46	1536892	0	nu-candidate	12	1	1	1	0	0.832	124.6	53	175.67445	26.949762	186.62923	-1.2255086	4.300936	1.0	0.0	0.7	0.0	2995.4324
nuecc48	18255	1	69314	0	17.259	7.572	26	1536132	0	nu-candidate	14	1	1	1	0	1.285	171.1	27	-111.340416	-18.033564	164.59323	1.7350892	1.7136891	1.0	0.0	0.7	0.0	1737.4001
nuecc48	18259	1	74544	0	27.693	16.742	36	1528840	0	nu-candidate	9	1	1	1	0	1.790	102.7	20	135.87927	-170.35193	406.14926	-0.03442846	4.300936	1.0	0.0	0.7	0.0	2340.168
nuecc48	18313	1	81597	0	20.832	10.945	28	1533544	0	nu-candidate	13	1	1	1	0	0.605	86.6	36	-179.6342	39.920055	358.2018	-1.9077365	4.300936	1.0	0.0	0.7	0.0	1599.0452
nuecc48	18255	1	90055	0	29.149	19.098	37	1527964	0	nu-candidate	8	1	1	1	0	0.647	91.6	64	129.18208	25.042719	202.29651	-0.8303866	4.300936	1.0	0.0	0.7	0.0	2524.1604
nuecc48	18259	1	111412	0	11.452	5.599	19	1536192	0	nu-candidate	16	1	1	1	0	2.028	98.4	22	163.44829	123.655235	191.78531	-1.2962792	-3.1000667	1.0	0.0	0.7	0.0	973.1997
nuecc48	18259	1	116962	0	12.403	2.012	19	1198764	0	cosmic-tagged	13	1	1	0	1													
