# sample	origin	run	subrun	event	em_max_MeV	em_tier	Enu_MeV	pio_mass
mcp1k	reco	18255	1	58755	120.81	100	350.46	49.49
mcp1k	reco	18255	1	64409	801.31	200	1076.62	391.98
mcp1k	reco	18259	1	67394	215.27	200	1148.01	-1.0
mcp1k	reco	18259	1	172942	368.81	200	649.14	101.78
mcp1k	reco	18259	1	175896	253.94	200	492.03	-1.0
mcp1k	reco	18255	1	277298	133.19	100	533.17	-1.0
mcp1k	reco	18255	1	282979	309.58	200	449.01	48.95
mcp1k	reco	18255	1	286655	295.04	200	501.52	-1.0
mcp1k	reco	18255	1	293149	269.43	200	322.64	51.28
mcp1k	reco	18255	1	313781	102.69	100	118.43	-1.0
mcp1k	reco	18255	1	347129	143.17	100	372.2	-1.0
mcp1k	reco	18255	1	386442	236.28	200	267.25	-1.0
mcp1k	reco	18255	1	386948	544.91	200	1246.31	90.8
mcp1k	reco	18255	1	394532	154.08	100	194.99	89.44
mcp1k	reco	18255	1	401450	1155.58	200	1609.3	645.9
mcp2k	reco	18259	1	47212	671.35	200	1342.35	764.49
mcp2k	reco	18259	1	47696	103.91	100	121.37	-1.0
mcp2k	reco	18255	1	52605	135.49	100	456.16	38.7
mcp2k	reco	18255	1	56972	312.47	200	318.57	-1.0
mcp2k	reco	18255	1	75954	521.91	200	753.09	-1.0
mcp2k	reco	18255	1	76346	246.68	200	340.04	158.13
mcp2k	reco	18255	1	76350	905.21	200	1297.58	325.55
mcp2k	reco	18255	1	94224	199.95	100	787.48	-1.0
mcp2k	reco	18255	1	96383	144.23	100	648.51	55.0
mcp2k	reco	18255	1	100135	122.2	100	163.52	64.57
mcp2k	reco	18259	1	165157	162.25	100	642.75	130.16
mcp2k	reco	18259	1	176533	562.36	200	687.58	-1.0
mcp2k	reco	18259	1	179611	255.97	200	515.12	-1.0
mcp2k	reco	18259	1	181050	253.44	200	519.99	-1.0
mcp2k	reco	18255	1	275011	105.55	100	392.89	67.77
mcp2k	reco	18255	1	281325	126.76	100	385.38	-1.0
mcp2k	reco	18255	1	282271	115.12	100	757.35	-1.0
mcp2k	reco	18255	1	282909	463.31	200	1385.43	669.67
mcp2k	reco	18255	1	284206	106.34	100	838.26	-1.0
mcp2k	reco	18255	1	291072	652.37	200	830.13	-1.0
mcp2k	reco	18255	1	293536	152.82	100	301.41	-1.0
mcp2k	reco	18255	1	321169	142.05	100	445.35	66.19
mcp2k	reco	18255	1	350354	603.99	200	985.67	-1.0
mcp2k	reco	18255	1	394167	468.37	200	481.92	74.73
mcp2k	reco	18255	1	395123	101.44	100	113.04	-1.0
mcp2k	reco	18255	1	396222	2909.07	200	4654.16	798.61
mcp2k	reco	18255	1	397401	102.21	100	761.52	-1.0
mcp2k	reco	18255	1	403309	102.86	100	103.19	-1.0
mcp2k	reco	18255	1	408304	166.45	100	430.23	-1.0
mcp2k	reco	18255	1	408678	312.29	200	555.36	99.01
mcp2k	reco	18255	1	409140	103.83	100	466.25	-1.0
mcp2k	reco	18255	1	475096	142.59	100	238.9	62.42
mcp2k	reco	18255	1	475778	143.81	100	152.16	-1.0
mcp2k	reco	18255	1	499423	154.59	100	330.3	52.74
mcp2k	reco	18255	1	500083	166.18	100	184.95	-1.0
nuecc48	curated	18255	1	388	1964.05	200	2772.83	-1.0
nuecc48	curated	18255	1	10550	773.76	200	908.24	45.3
nuecc48	curated	18342	1	30504	659.68	200	1251.13	174.32
nuecc48	curated	18304	1	38856	370.7	200	1280.4	-1.0
nuecc48	curated	18259	1	42280	1832.68	200	1974.3	63.15
nuecc48	curated	18255	1	46363	1810.58	200	1855.3	107.31
nuecc48	curated	18259	1	52672	786.71	200	927.59	224.81
nuecc48	curated	18259	1	54095	2607.83	200	2988.9	199.95
nuecc48	curated	18255	1	69314	68.92	50	1498.75	9.08
nuecc48	curated	18259	1	74544	2063.29	200	2197.55	72.37
nuecc48	curated	18313	1	81597	1416.1	200	1578.23	-1.0
nuecc48	curated	18255	1	90055	2080.85	200	2664.61	16.81
nuecc48	curated	18259	1	111412	518.44	200	1019.37	89.06
nuecc48	curated	18259	1	116962	237.64	200	773.01	325.58
nuecc48	curated	18255	1	122660	883.42	200	1334.35	39.02
nuecc48	curated	18259	1	131357	646.41	200	812.48	-1.0
nuecc48	curated	18264	1	137238	370.5	200	739.18	3.21
nuecc48	curated	18255	1	138009	1173.1	200	1437.1	11.72
nuecc48	curated	18255	1	163543	193.32	100	1270.01	-1.0
nuecc48	curated	18255	1	168596	1389.92	200	2402.21	79.76
nuecc48	curated	18253	1	172230	1470.22	200	1623.73	56.72
nuecc48	curated	18255	1	174637	785.33	200	1025.99	20.16
nuecc48	curated	18255	1	196649	1607.88	200	1614.19	-1.0
nuecc48	curated	18409	1	214469	1797.06	200	2382.96	131.01
nuecc48	curated	18255	1	219295	1391.62	200	1766.74	26.86
nuecc48	curated	18255	1	234638	1001.29	200	1418.29	13.28
nuecc48	curated	18255	1	235435	133.35	100	427.54	50.1
nuecc48	curated	18255	1	239794	2690.57	200	2920.27	53.49
nuecc48	curated	18255	1	246579	1655.81	200	1829.31	47.13
nuecc48	curated	18306	1	256587	3591.61	200	3947.86	83.16
nuecc48	curated	18279	1	267597	1312.54	200	1860.77	23.44
nuecc48	curated	18255	1	268067	723.12	200	1599.02	-1.0
nuecc48	curated	18255	1	268784	1050.34	200	1798.52	360.17
nuecc48	curated	18255	1	269774	1148.33	200	2489.36	1444.04
nuecc48	curated	18255	1	271851	1256.14	200	1536.88	-1.0
nuecc48	curated	18269	1	342199	745.13	200	1221.13	315.33
nuecc48	curated	18255	1	350186	673.75	200	705.17	-1.0
nuecc48	curated	18255	1	360535	1933.29	200	2226.91	29.18
nuecc48	curated	18255	1	389538	235.0	200	985.69	65.42
nuecc48	curated	18355	1	400474	1240.76	200	1799.08	121.95
nuecc48	curated	18255	1	422851	1174.21	200	1347.83	-1.0
nuecc48	curated	18255	1	423981	358.41	200	2132.62	16.09
nuecc48	curated	18255	1	433451	2092.44	200	2766.1	16.14
nuecc48	curated	18255	1	437699	1303.92	200	1490.76	7.07
nuecc48	curated	18253	1	444187	373.96	200	1287.83	-1.0
nuecc48	curated	18255	1	447477	869.01	200	1182.97	2.29
nuecc48	curated	18255	1	469665	578.05	200	876.34	88.87
nuecc48	curated	18255	1	489330	1440.01	200	2253.51	29.02
