# sample	origin	run	subrun	event	em_max_MeV	em_tier	Enu_MeV	pio_mass
mcp1k	reco	18255	1	56243	120.1	100	802.44	165.93
mcp1k	reco	18255	1	65053	113.7	100	522.61	22.02
mcp1k	reco	18259	1	168432	259.11	200	824.2	58.45
mcp1k	reco	18259	1	170808	298.38	200	734.86	-1.0
mcp1k	reco	18259	1	172266	129.23	100	732.94	67.07
mcp1k	reco	18255	1	278420	129.18	100	793.86	14.54
mcp1k	reco	18255	1	280972	949.59	200	3583.13	453.93
mcp1k	reco	18255	1	283713	163.92	100	2032.42	94.78
mcp1k	reco	18255	1	284791	132.93	100	370.37	35.9
mcp1k	reco	18255	1	285443	281.32	200	628.56	161.5
mcp1k	reco	18255	1	287007	163.13	100	530.33	-1.0
mcp1k	reco	18255	1	287830	163.99	100	1062.92	142.73
mcp1k	reco	18255	1	292005	124.28	100	925.69	-1.0
mcp1k	reco	18255	1	292027	259.12	200	1323.04	154.69
mcp1k	reco	18255	1	292643	154.98	100	1092.45	150.63
mcp1k	reco	18255	1	317939	417.87	200	1340.96	253.1
mcp1k	reco	18255	1	321767	228.2	200	1051.25	10.44
mcp1k	reco	18255	1	347085	268.05	200	956.67	154.65
mcp1k	reco	18255	1	348471	352.61	200	1088.95	222.31
mcp1k	reco	18255	1	348691	319.72	200	1916.12	275.35
mcp1k	reco	18255	1	349549	436.66	200	1218.06	219.02
mcp1k	reco	18255	1	350121	244.25	200	1238.51	46.04
mcp1k	reco	18255	1	399118	130.55	100	802.97	141.94
mcp1k	reco	18255	1	400504	153.51	100	485.99	145.89
mcp1k	reco	18255	1	407918	174.75	100	775.78	-1.0
mcp1k	reco	18255	1	410008	143.19	100	365.09	-1.0
mcp1k	reco	18255	1	486247	118.64	100	378.47	-1.0
mcp1k	reco	18255	1	486687	244.8	200	1295.14	162.18
mcp1k	reco	18255	1	489327	362.3	200	1513.36	126.67
mcp2k	reco	18259	1	51546	181.69	100	526.32	52.01
mcp2k	reco	18255	1	52044	103.53	100	587.13	122.87
mcp2k	reco	18255	1	52693	182.98	100	833.7	-1.0
mcp2k	reco	18255	1	54453	198.78	100	659.31	11.98
mcp2k	reco	18255	1	55740	108.63	100	493.87	10.24
mcp2k	reco	18255	1	58006	162.17	100	612.86	65.92
mcp2k	reco	18255	1	69232	195.22	100	1041.42	-1.0
mcp2k	reco	18255	1	69254	129.7	100	518.31	-1.0
mcp2k	reco	18255	1	71642	205.16	200	1795.78	90.82
mcp2k	reco	18255	1	71872	200.57	200	985.2	332.6
mcp2k	reco	18255	1	72786	116.27	100	696.27	179.74
mcp2k	reco	18255	1	74123	159.58	100	492.34	151.58
mcp2k	reco	18255	1	74326	193.45	100	1777.87	-1.0
mcp2k	reco	18255	1	77328	180.65	100	1037.33	-1.0
mcp2k	reco	18255	1	91917	201.67	200	1286.52	136.83
mcp2k	reco	18259	1	94392	305.58	200	1060.81	-1.0
mcp2k	reco	18255	1	98844	349.79	200	1273.07	568.8
mcp2k	reco	18259	1	99782	156.62	100	806.67	158.84
mcp2k	reco	18259	1	100222	2498.18	200	3184.51	149.31
mcp2k	reco	18255	1	105074	228.39	200	1410.09	-1.0
mcp2k	reco	18259	1	170098	269.66	200	832.57	7.77
mcp2k	reco	18259	1	170761	205.98	200	1292.58	5.4
mcp2k	reco	18259	1	171143	262.13	200	783.86	72.89
mcp2k	reco	18259	1	171729	117.2	100	753.28	118.9
mcp2k	reco	18259	1	173819	301.92	200	1141.98	39.81
mcp2k	reco	18259	1	179048	137.88	100	1245.82	-1.0
mcp2k	reco	18259	1	179369	272.37	200	1561.29	163.16
mcp2k	reco	18259	1	242726	116.13	100	1054.62	134.53
mcp2k	reco	18255	1	280159	446.31	200	1250.3	134.04
mcp2k	reco	18255	1	287794	112.42	100	978.35	-1.0
mcp2k	reco	18255	1	289246	264.04	200	843.22	11.0
mcp2k	reco	18255	1	289508	396.78	200	895.26	-1.0
mcp2k	reco	18255	1	292524	329.79	200	1149.25	114.3
mcp2k	reco	18255	1	294174	123.09	100	1380.18	3.95
mcp2k	reco	18255	1	318703	252.09	200	1032.11	4.37
mcp2k	reco	18255	1	318769	256.28	200	839.57	33.88
mcp2k	reco	18255	1	321367	247.8	200	893.61	55.13
mcp2k	reco	18255	1	347824	546.31	200	1751.72	172.96
mcp2k	reco	18255	1	390634	135.85	100	845.02	46.08
mcp2k	reco	18255	1	393505	325.27	200	830.59	61.58
mcp2k	reco	18255	1	395597	245.81	200	1443.2	-1.0
mcp2k	reco	18255	1	395870	153.99	100	1195.86	-1.0
mcp2k	reco	18255	1	396323	167.2	100	519.28	-1.0
mcp2k	reco	18255	1	397630	128.73	100	752.98	4.95
mcp2k	reco	18255	1	398191	106.52	100	1602.74	-1.0
mcp2k	reco	18255	1	403023	130.96	100	568.56	159.61
mcp2k	reco	18255	1	406125	136.2	100	946.08	60.62
mcp2k	reco	18255	1	412242	616.15	200	1197.67	14.19
mcp2k	reco	18255	1	493659	104.56	100	515.8	-1.0
mcp2k	reco	18255	1	499577	299.76	200	1548.8	258.72
