# doc pr/116 -- the 30 events of the agent scan that need the owner's
# confirmation.  Subset of pr114c-beam-em100-unscanned.index.txt, same
# columns.  Reasons per event: CONFIRM-SET.json / the pr/116 doc.
# sample	origin	run	subrun	event	em_max_MeV	em_tier	Enu_MeV	mu_len_cm	n_pio_showers	pio_mass
mcp1k	other_em	18255	1	54341	242.49	200	711.7	22.71	0	4.91
mcp1k	nuecc	18255	1	58755	120.81	100	350.46	22.71	0	49.49
mcp1k	numucc_em	18259	1	168432	259.11	200	824.2	86.54	0	58.45
mcp1k	other_em	18255	1	283515	103.22	100	796.71	0.0	0	-1.0
mcp1k	numucc_em	18255	1	321767	228.2	200	1051.25	36.07	0	10.44
mcp1k	numucc_em	18255	1	348471	352.61	200	1088.95	67.28	2	222.31
mcp1k	nuecc	18255	1	386442	236.28	200	267.25	0.0	0	-1.0
mcp1k	numucc_em	18255	1	400504	153.51	100	485.99	56.84	2	145.89
mcp1k	numucc_em	18255	1	489327	362.3	200	1513.36	394.35	2	126.67
mcp2k	numucc_em	18255	1	52044	103.53	100	587.13	109.53	2	122.87
mcp2k	numucc_em	18255	1	54453	198.78	100	659.31	31.48	0	11.98
mcp2k	numucc_em	18255	1	55740	108.63	100	493.87	35.25	0	10.24
mcp2k	numucc_em	18255	1	71872	200.57	200	985.2	60.67	0	332.6
mcp2k	numucc_em	18255	1	74326	193.45	100	1777.87	114.63	0	-1.0
mcp2k	numucc_em	18255	1	91917	201.67	200	1286.52	289.17	2	136.83
mcp2k	numucc_em	18255	1	98844	349.79	200	1273.07	63.81	2	568.8
mcp2k	other_em	18259	1	167612	200.43	200	822.87	6.5	0	13.16
mcp2k	other_em	18259	1	171572	412.41	200	773.68	0.0	0	71.64
mcp2k	numucc_em	18259	1	171729	117.2	100	753.28	164.15	2	118.9
mcp2k	numucc_em	18259	1	173819	301.92	200	1141.98	70.05	0	39.81
mcp2k	other_em	18259	1	174771	101.65	100	1772.57	19.68	0	6.74
mcp2k	numucc_em	18259	1	179048	137.88	100	1245.82	63.52	0	-1.0
mcp2k	numucc_em	18255	1	280159	446.31	200	1250.3	173.34	2	134.04
mcp2k	numucc_em	18255	1	292524	329.79	200	1149.25	31.03	2	114.3
mcp2k	numucc_em	18255	1	318769	256.28	200	839.57	38.18	0	33.88
mcp2k	numucc_em	18255	1	347824	546.31	200	1751.72	151.91	2	172.96
mcp2k	numucc_em	18255	1	393505	325.27	200	830.59	156.28	0	61.58
mcp2k	other_em	18255	1	396037	137.18	100	363.2	0.0	0	-1.0
mcp2k	nuecc	18255	1	403309	102.86	100	103.19	0.0	0	-1.0
mcp2k	numucc_em	18255	1	499577	299.76	200	1548.8	105.02	2	258.72
