event	truth	out_qfrac	q_out	q_wo	q_in	shower_id	node_id	sh_pdg	grp	cluster	root_cluster	anchor	nseg	len	dQ	qfrac	med_dqdx_mip	max_seglen	n_track_pid	nsh_holding	touches_main_vtx	nlinks	gap_exact	nstep	cont_frac	conn_qmed	conn_qfrac	walked	ax30_ang	ax100_ang	grp_ang	dis_start	dis_main	anchor_vtx	anchor_dis	conn_new	out_segs
388	HOLD	0.0	0	0	0	0	23028	11	0	23	23	1	1	23.05	1318197.6	0.1128	1.087	23.05	0	1	1	0	-1.0	0	-1.0	-1.0	-1.0	0	-1.0	-1.0	-1.0	-1.0	0.0	-1	-1.0	-1	[]
388	HOLD	0.0	0	0	0	0	23028	11	1	59	23	0	2	2.07	73207.4	0.0063	0.536	1.14	0	1	0	0	27.06	44	0.045	4555.0	0.818	1	9.79	7.42	28.45	47.09	47.09	99187	4.58	3	[]
388	HOLD	0.0	0	0	0	0	23028	11	2	60	23	0	1	0.37	53294.9	0.0046	1.164	0.37	0	1	0	0	48.1	79	0.038	3057.4	0.886	1	12.53	11.63	63.5	67.76	67.76	61075	7.55	3	[]
388	HOLD	0.0	0	0	0	0	23028	11	3	61	23	0	1	2.93	245342.8	0.021	1.453	2.93	0	1	0	0	38.91	64	0.016	1829.4	0.766	1	10.38	14.46	16.5	58.65	58.65	60072	7.55	3	[]
388	HOLD	0.0	0	0	0	0	23028	11	4	62	23	0	1	1.06	50505.1	0.0043	0.598	1.06	0	1	0	0	5.43	8	0.125	0.0	0.375	1	6.54	16.69	86.93	26.07	26.07	23017	5.48	3	[]
388	HOLD	0.0	0	0	0	0	23028	11	5	64	23	0	1	1.06	45541.5	0.0039	0.568	1.06	0	1	0	0	65.56	108	0.009	0.0	0.12	1	11.21	25.3	65.86	85.34	85.34	66084	23.94	3	[]
388	HOLD	0.0	0	0	0	0	23028	11	6	65	23	0	1	0.39	78118.1	0.0067	1.689	0.39	0	1	0	0	49.46	81	0.0	514.3	0.593	1	17.72	4.53	73.2	69.35	69.35	95164	5.13	3	[]
388	HOLD	0.0	0	0	0	0	23028	11	7	66	23	0	1	1.45	132550.5	0.0113	1.356	1.45	0	1	0	0	59.94	99	0.01	2624.2	0.828	1	11.28	13.31	38.37	79.74	79.74	60072	12.24	3	[]
388	HOLD	0.0	0	0	0	0	23028	11	8	83	23	0	1	5.06	363540.9	0.0311	1.256	5.06	0	1	0	0	43.9	72	0.194	1356.2	0.694	1	19.63	5.35	24.03	63.09	63.09	95155	3.44	3	[]
388	HOLD	0.0	0	0	0	0	23028	11	9	84	23	0	1	0.35	56871.3	0.0049	1.288	0.35	0	1	0	0	13.75	22	0.045	4548.0	1.0	1	7.32	10.74	44.55	33.64	33.64	98184	5.12	3	[]
