event	bucket	shower	matched	n_target	n_actual	n_inter	n_miss	n_extra	comp	pur	q_comp	q_pur	q_f1	q_target	q_actual	q_miss	q_extra	drift	miss	extra
52044	?	24035	58029	9	5	5	4	0	0.5556	1.0000	0.3638	1.0000	0.5335	2565841.6948	933535.1000	1632306.5948	0	8	24007,24009,24034,24035	
52693	?	18034	18034	13	14	13	0	1	1.0000	0.9286	1.0000	0.6213	0.7664	2866717.4000	4613819.7000	0	1747102.3000	0		29008
54341	?	96031	96031	5	3	3	2	0	0.6000	1.0000	0.5070	1.0000	0.6728	1673199.0682	848288.8000	824910.2682	0	0	77019,96033	
54341	?	101041	101041	17	12	12	5	0	0.7059	1.0000	0.7143	1.0000	0.8333	6073640.8165	4338382.6000	1735258.2165	0	0	34014,34015,34016,104046,105047	
54453	?	57050	57050	6	4	4	2	0	0.6667	1.0000	0.6880	1.0000	0.8152	3483988.4396	2396980.7000	1087007.7396	0	0	23026,23028	
67394	?	19012	58035	11	11	11	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	3365638.7000	3365638.7000	0	0	1		
69232	?	20021	20021	4	5	4	0	1	1.0000	0.8000	1.0000	0.5834	0.7369	1632908.2000	2799051.5000	0	1166143.3000	0		20021
71872	?	13012	13012	1	1	1	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	1074101.5000	1074101.5000	0	0	1		
72786	?	16017	16017	6	8	6	0	2	1.0000	0.7500	1.0000	0.9118	0.9539	1918413.5000	2103877.4000	0	185463.9000	0		9009,31033
74326	?	80061	80061	2	2	2	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	443100.4000	443100.4000	0	0	6		
91917	?	87053	87053	9	8	8	1	0	0.8889	1.0000	0.9354	1.0000	0.9666	2658899.3000	2487088.2000	171811.1000	0	0	66021	
94392	?	5019	5019	3	5	3	0	2	1.0000	0.6000	1.0000	0.1239	0.2205	603086.9000	4865859.8000	0	4262772.9000	0		45029,45030
98844	?	70063	70063	14	12	12	2	0	0.8571	1.0000	0.9031	1.0000	0.9491	5285888.4000	4773481.8000	512406.6000	0	1	66043,69062	
100135	?	14025	14025	7	6	6	1	0	0.8571	1.0000	0.9084	1.0000	0.9520	3053397.3000	2773668.7000	279728.6000	0	0	14024	
100222	?	113236	113236	68	69	68	0	1	1.0000	0.9855	1.0000	0.8434	0.9150	32167915.5000	38140924.7000	0	5973009.2000	0		14003
168432	?	19032	19032	1	1	1	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	946105.0000	946105.0000	0	0	1		
168432	?	49028	49028	7	7	6	1	1	0.8571	0.8571	0.8977	0.9528	0.9244	3479687.0000	3278461.6000	356007.6000	154782.2000	0	50029	46019
