ev	big	frag	big_pdg	frag_pdg	big_E	frag_E	frag_nseg	frag_len	frag_conn	sharev	at_main	gap	frag_track	frag_score	pio	marks
168432	19032	50029	11	11	76.7	20.4	1	5.1	2	1	1	49.56	0	0.3342428042601809	0	in
168432	19032	40008	11	2212	76.7	4.5	1	0.7	4	1	1	102.61	1	100.0	0	out
168432	49028	19032	11	11	128.6	76.7	1	12.8	1	1	1	3.54	0	100.0	0	unl
168432	49028	50029	11	11	128.6	20.4	1	5.1	2	1	1	27.09	0	0.3342428042601809	0	in
168432	49028	40008	11	2212	128.6	4.5	1	0.7	4	1	1	82.58	1	100.0	0	out
168432	22006	19032	11	11	259.1	76.7	1	12.8	1	1	1	25.1	0	100.0	0	unl
168432	22006	49028	11	11	259.1	128.6	7	51.2	2	1	1	16.0	0	0.18689009635231427	0	out
168432	22006	50029	11	11	259.1	20.4	1	5.1	2	1	1	25.58	0	0.3342428042601809	0	in
168432	22006	40008	11	2212	259.1	4.5	1	0.7	4	1	1	120.93	1	100.0	0	out
168432	50029	40008	11	2212	20.4	4.5	1	0.7	4	1	1	109.12	1	100.0	0	out
170808	60025	19005	11	11	298.4	2.6	1	1.2	4	1	1	268.67	0	1.410374553826458	0	unl
170808	60025	38006	11	2212	298.4	1.1	1	0.4	3	1	1	24.28	1	100.0	0	unl
170808	60025	40008	11	2212	298.4	3.6	1	0.1	3	1	1	58.99	1	100.0	0	unl
170808	60025	45013	11	11	298.4	1.1	1	0.1	3	1	1	41.51	0	100.0	0	unl
172266	40019	33012	11	11	132.4	1.9	1	3.0	2	1	0	23.51	0	3.2693104483479476	0	unl
172266	40019	48022	11	11	132.4	6.4	1	4.0	2	0	1	3.86	0	100.0	0	unl
172266	40019	39018	11	13	132.4	2.4	1	0.9	3	1	0	75.75	1	100.0	0	unl
172266	21009	16005	11	11	21.5	14.4	1	4.1	1	1	1	357.25	0	100.0	0	unl
172266	21009	48022	11	11	21.5	6.4	1	4.0	2	1	1	417.13	0	100.0	0	unl
172266	21009	20008	11	11	21.5	0.2	1	3.3	4	1	1	521.75	0	100.0	0	unl
172266	21009	22010	11	11	21.5	1.4	1	0.3	4	1	1	185.76	0	100.0	0	unl
172266	21009	23011	11	11	21.5	2.5	1	0.3	4	1	1	117.55	0	100.0	0	unl
172266	21009	35014	11	11	21.5	2.4	1	0.4	3	1	1	385.11	0	100.0	0	unl
172266	21009	36015	11	11	21.5	2.4	1	0.5	3	1	1	374.02	0	100.0	0	unl
172266	21009	37016	11	11	21.5	1.7	1	0.5	3	1	1	413.01	0	100.0	0	unl
172266	21009	38017	11	11	21.5	2.4	1	0.2	3	1	1	421.04	0	100.0	0	unl
172266	21009	50024	11	11	21.5	1.1	1	0.3	4	1	1	186.15	0	100.0	0	unl
172266	21009	51025	11	11	21.5	0.9	1	0.2	4	1	1	222.62	0	100.0	0	unl
172266	21009	52026	11	11	21.5	2.1	1	0.4	4	1	1	119.21	0	100.0	0	unl
172266	21009	53027	11	11	21.5	1.1	1	0.2	4	1	1	148.63	0	100.0	0	unl
175896	17044	17043	11	11	253.9	233.7	10	51.6	1	1	1	0.0	0	0.17274462085680253	0	unl
175896	17044	24004	11	11	253.9	2.9	1	0.7	4	1	1	240.31	0	100.0	0	unl
175896	17044	25005	11	11	253.9	0.3	1	0.2	4	1	1	198.84	0	100.0	0	unl
175896	17044	26006	11	11	253.9	0.9	1	0.2	4	1	1	293.51	0	100.0	0	unl
175896	17044	64020	11	11	253.9	3.0	1	0.9	3	1	1	4.58	0	100.0	0	unl
175896	17044	67042	11	11	253.9	0.3	1	0.3	4	1	1	284.39	0	100.0	0	unl
175896	17043	24004	11	11	233.7	2.9	1	0.7	4	1	1	251.91	0	100.0	0	unl
175896	17043	25005	11	11	233.7	0.3	1	0.2	4	1	1	212.19	0	100.0	0	unl
175896	17043	26006	11	11	233.7	0.9	1	0.2	4	1	1	311.65	0	100.0	0	unl
175896	17043	64020	11	11	233.7	3.0	1	0.9	3	1	1	2.75	0	100.0	0	unl
175896	17043	67042	11	11	233.7	0.3	1	0.3	4	1	1	302.85	0	100.0	0	unl
277298	17026	17028	11	11	100.7	46.9	1	9.9	1	1	1	0.0	0	100.0	0	unl
277298	17026	23014	11	11	100.7	0.4	1	0.3	4	1	1	310.43	0	100.0	0	unl
277298	17026	24015	11	11	100.7	1.1	1	0.3	4	1	1	247.02	0	100.0	0	unl
277298	17026	49016	11	11	100.7	3.4	1	0.8	3	1	1	36.75	0	0.28194811117429036	0	unl
277298	17026	50017	11	11	100.7	0.4	1	0.2	3	1	1	27.07	0	100.0	0	unl
277298	17026	51018	11	11	100.7	2.3	1	0.8	3	1	1	38.53	0	0.4075949859610305	0	unl
277298	17026	52019	11	11	100.7	0.7	1	0.3	3	1	1	23.46	0	100.0	0	unl
277298	17026	53020	11	11	100.7	1.8	1	0.1	3	1	1	31.33	0	100.0	0	unl
277298	17028	23014	11	11	46.9	0.4	1	0.3	4	1	1	330.52	0	100.0	0	unl
277298	17028	24015	11	11	46.9	1.1	1	0.3	4	1	1	256.87	0	100.0	0	unl
277298	17028	49016	11	11	46.9	3.4	1	0.8	3	1	1	37.55	0	0.28194811117429036	0	unl
277298	17028	50017	11	11	46.9	0.4	1	0.2	3	1	1	23.46	0	100.0	0	unl
277298	17028	51018	11	11	46.9	2.3	1	0.8	3	1	1	45.92	0	0.4075949859610305	0	unl
277298	17028	52019	11	11	46.9	0.7	1	0.3	3	1	1	23.22	0	100.0	0	unl
277298	17028	53020	11	11	46.9	1.8	1	0.1	3	1	1	27.65	0	100.0	0	unl
277298	17030	17026	11	11	194.6	100.7	1	22.6	1	1	1	0.0	0	100.0	0	unl
277298	17030	17028	11	11	194.6	46.9	1	9.9	1	1	1	0.0	0	100.0	0	unl
277298	17030	23014	11	11	194.6	0.4	1	0.3	4	1	1	287.11	0	100.0	0	unl
277298	17030	24015	11	11	194.6	1.1	1	0.3	4	1	1	244.94	0	100.0	0	unl
277298	17030	49016	11	11	194.6	3.4	1	0.8	3	1	1	24.57	0	0.28194811117429036	0	unl
277298	17030	50017	11	11	194.6	0.4	1	0.2	3	1	1	27.07	0	100.0	0	unl
277298	17030	51018	11	11	194.6	2.3	1	0.8	3	1	1	44.96	0	0.4075949859610305	0	unl
277298	17030	52019	11	11	194.6	0.7	1	0.3	3	1	1	22.96	0	100.0	0	unl
277298	17030	53020	11	11	194.6	1.8	1	0.1	3	1	1	32.06	0	100.0	0	unl
278420	61027	79053	11	11	129.2	42.9	3	10.4	2	1	0	9.93	0	100.0	1	unl
278420	79053	71037	11	11	42.9	2.3	1	4.2	2	0	0	4.16	0	100.0	0	unl
278420	25007	72038	11	11	63.0	1.5	1	2.7	2	1	1	68.08	0	0.8366228105914967	0	unl
278420	25007	51013	11	11	63.0	1.8	1	0.4	3	1	1	111.25	0	100.0	0	unl
280972	7040	75099	11	11	949.6	301.2	24	102.4	2	1	1	6.47	0	0.2692440379910439	0	unl
280972	7040	79136	11	11	949.6	625.6	33	152.7	2	1	1	10.25	0	100.0	0	unl
280972	7040	72076	11	11	949.6	127.3	8	56.0	2	1	1	24.53	0	100.0	0	unl
280972	7040	24041	11	11	949.6	2.0	1	0.2	3	1	1	28.42	0	100.0	0	unl
280972	7040	32049	11	11	949.6	1.7	1	0.2	3	1	1	71.39	0	100.0	0	unl
280972	7040	47064	11	11	949.6	2.5	1	0.4	3	1	1	25.84	0	100.0	0	unl
280972	75099	72076	11	11	301.2	127.3	8	56.0	2	1	1	32.51	0	100.0	0	unl
280972	75099	24041	11	11	301.2	2.0	1	0.2	3	1	1	29.31	0	100.0	0	unl
280972	75099	32049	11	11	301.2	1.7	1	0.2	3	1	1	67.4	0	100.0	0	unl
280972	75099	47064	11	11	301.2	2.5	1	0.4	3	1	1	31.21	0	100.0	0	unl
280972	79136	75099	11	11	625.6	301.2	24	102.4	2	1	1	18.01	0	0.2692440379910439	0	unl
280972	79136	72076	11	11	625.6	127.3	8	56.0	2	1	1	0.43	0	100.0	0	unl
280972	79136	24041	11	11	625.6	2.0	1	0.2	3	1	1	30.83	0	100.0	0	unl
280972	79136	32049	11	11	625.6	1.7	1	0.2	3	1	1	84.67	0	100.0	0	unl
280972	79136	47064	11	11	625.6	2.5	1	0.4	3	1	1	23.62	0	100.0	0	unl
280972	72076	24041	11	11	127.3	2.0	1	0.2	3	1	1	36.7	0	100.0	0	unl
280972	72076	32049	11	11	127.3	1.7	1	0.2	3	1	1	97.36	0	100.0	0	unl
280972	72076	47064	11	11	127.3	2.5	1	0.4	3	1	1	29.95	0	100.0	0	unl
282979	14003	14050	11	11	121.0	8.7	1	10.7	1	1	1	0.0	0	100.0	0	unl
282979	14003	14051	11	11	121.0	7.3	1	3.0	1	1	1	0.0	0	100.0	0	unl
282979	14003	43029	11	11	121.0	16.7	2	4.3	2	1	1	96.76	0	0.19792976229440834	0	unl
282979	14003	42022	11	11	121.0	25.7	1	8.2	3	1	1	16.75	0	100.0	0	unl
282979	14003	35012	11	11	121.0	6.7	1	0.8	3	1	1	11.79	0	0.47563011457832977	0	unl
282979	14003	37014	11	11	121.0	1.9	1	0.4	3	1	1	12.34	0	100.0	0	unl
282979	14003	36013	11	13	121.0	0.9	1	0.3	3	1	1	53.39	1	100.0	0	unl
282979	42022	14050	11	11	25.7	8.7	1	10.7	1	1	1	16.75	0	100.0	0	unl
282979	42022	14051	11	11	25.7	7.3	1	3.0	1	1	1	16.75	0	100.0	0	unl
282979	42022	43029	11	11	25.7	16.7	2	4.3	2	1	1	124.64	0	0.19792976229440834	0	unl
282979	42022	35012	11	11	25.7	6.7	1	0.8	3	1	1	5.96	0	0.47563011457832977	0	unl
282979	42022	37014	11	11	25.7	1.9	1	0.4	3	1	1	5.12	0	100.0	0	unl
282979	42022	36013	11	13	25.7	0.9	1	0.3	3	1	1	84.87	1	100.0	0	unl
283515	24014	66036	11	11	247.0	103.2	6	19.5	2	1	0	22.45	0	100.0	0	unl
