setname	event	sample	origin	run	subrun	g1_shower	g2_shower	g1_E	g2_E	g1_E_noMarks	g2_E_noMarks	g1_marks_delta	g2_marks_delta	g1_orphan_delta	g2_orphan_delta	vertex_how	mass_axis	mass_vertex	theta_axis	theta_vertex	backproject_geom	n_reco_groups	reco_pair_same	reco_pio_mass	reco_pio_type	kine_pio_flag	kine_pio_mass	kine_pio_E1	kine_pio_E2	g1_marked	g1_qcomp	g1_qpur	g2_marked	g2_qcomp	g2_qpur	em_verdict	confidence	bucket	bucket_pi0	scan_note	note
98	21073	ncpi0	ncpi0	18259	1	60081	63100	756.1829868020344	104.74523736203732	680.2019868020344	104.74523736203732	75.981	0.0	0	0	main_vertex	201.83219224627797	218.5235697237694	42.02539920692488	45.68866411276755	handscan	2	partial	127.22361465874042		1	207.25440979003906	680.2019653320312	104.7452392578125	1	0.8848	1.0	0	1.0	1.0			1 under-clustered	3 pi0, vertex usable		
98	47212	mcp2k	ncpi0	18259	1	109100	70038	221.87663874376508	65.08557691544152	221.87663874376508	65.08557691544152	0.0	0.0	0	0	manual	131.4102586155196	132.75811026491846	66.2907893835199	67.06000664529512	handscan	1	none			1	691.490234375	614.3821411132812	221.8766326904297	0	1.0	1.0	1	1.0	1.0			2 over-clustered	3 pi0, vertex usable		
98	54332	mcp2k	ncpi0	18255	1	122091	27025	182.47963998274528	64.98761138185174	182.47963998274528	64.98761138185174	52.5	0.0	0	0	manual	147.0509219562497	111.93802654558117	84.93521910381945	61.855272027496085	handscan	1	partial	118.84682492021537		1	118.8468246459961	139.5740203857422	88.822265625	1	0.5762	1.0	0	1.0	1.0			2 over-clustered	4 pi0, vertex not usable		overclustering a track ... 16014, also nu vertex is wrong ...
98	64591	mcp1k	ncpi0	18255	1	83044	78025	298.0613777958991	50.73698264335545	298.0613777958991	50.73698264335545	4.1	0.0			manual	173.98104698528056	149.5837856118518	90.04534112160701	74.91750182833542	handscan	1	exact	149.58381909893959		1	149.5838165283203	50.73698425292969	298.0613708496094	1	0.9821	1.0	0	1.0	1.0	correct		1 under-clustered	4 pi0, vertex not usable		
98	71372	ncpi0	ncpi0	18259	1	94132	97140	120.67209102006233	65.83699551840684	120.67209102006233	65.83699551840684	0.0	0.0	0	0	main_vertex	140.04418054760515	139.23263424509608	103.5507937269045	102.71157590776677	handscan	1	exact	134.79416157120772		1	134.79415893554688	118.05685424804688	65.83699798583984	0	1.0	1.0	0	1.0	1.0			scanned, no clustering correction	3 pi0, vertex usable		
98	76346	mcp2k	ncpi0	18255	1	14059	40030	246.68474490080212	5.0279759283026335	246.68474490080212	5.0279759283026335	-9.405000000000008	98.947	0	0	backproject	40.76047560570244	40.77003833325798	70.71607646943221	70.73515349944488	handscan	1	partial	130.4597511309566		1	130.45974731445312	30.12504768371582	167.89877319335938	1	0.6196	1.0	1	0.0	0.0			1+2 both	4 pi0, vertex not usable		
98	99838	mcp2k	ncpi0	18255	1	48024	58038	118.34892915199543	108.77714624544122	118.34892915199543	108.77714624544122	0.0	0.0	0	0	main_vertex	111.9880365050334	125.75048735293461	59.142295498443566	67.30461423353086	handscan	1	exact	125.75048735293458		1	125.75048828125	118.34893035888672	108.77714538574219	0	1.0	1.0	0	1.0	1.0			scanned, no clustering correction	3 pi0, vertex usable		
98	105946	ncpi0	ncpi0	18259	1	55063	56056	604.2653459885644	60.317807266969794	494.09734598856437	47.12980726696979	110.168	13.188	0	0	main_vertex	226.3411786014171	133.8210096912716	72.70973304476489	41.03280568373009	handscan	1	partial	105.82208963183201		1	105.82209014892578	97.71452331542969	494.09735107421875	1	0.8299	1.0	1	0.8106	1.0			1 under-clustered	3 pi0, vertex usable		
98	166870	mcp1k	ncpi0	18259	1	87058	85045	173.78146127271324	38.59043627073054	173.78146127271324	38.59043627073054	2.402	0.0			main_vertex	116.12680535768705	116.29154311507344	90.31111618438763	90.4746785648293	handscan	1	partial	128.75340544264833		1	329.6585388183594	173.78146362304688	167.3546905517578	1	0.9852	1.0	0	1.0	1.0			1 under-clustered	3 pi0, vertex usable		85045 should be an EM shower, part of pi0 ...
98	169356	mcp1k	ncpi0	18259	1	68034	67030	100.23417927633484	84.87703760672385	100.23417927633484	84.87703760672385	0.0	0.0	0	0	main_vertex	155.91090960725785	138.08985754498488	115.38006318037867	96.93222677672962	handscan	1	exact	138.0898575449849		1	138.08985900878906	84.87703704833984	100.23417663574219	0	1.0	1.0	0	1.0	1.0		certain	scanned, no clustering correction	3 pi0, vertex usable		
