event	shower	seg	q	cls	site	owner	angle_v1	angle_v2	pair_dis
21073	60081	28020	25415.2	REJECTED	pass4_angle_early	-1	47.1	48.9	56.7
21073	60081	29021	35455.3	REJECTED	pass4_angle_early	-1	37.1	37.9	95.9
21073	60081	31023	84077.5	REJECTED	pass4_angle_early	-1	49.0	52.2	35.0
21073	60081	31024	108099.5	REJECTED	pass4_angle_early	-1	49.0	52.2	35.0
21073	60081	33026	180253.3	REJECTED	pass4_angle_early	-1	48.5	51.0	43.7
21073	60081	34027	38659.3	REJECTED	pass4_angle_early	-1	44.8	47.1	42.8
21073	60081	47040	31696.0	REJECTED	pass4_angle_early	-1	39.5	41.7	40.0
21073	60081	52045	44785.7	REJECTED	pass4_angle_early	-1	47.1	49.3	47.1
21073	60081	57049	661575.6	REJECTED	pass4_angle_early	-1	49.5	52.0	46.4
21073	60081	64108	119333.5	REJECTED	pass4_angle_early	-1	52.1	53.5	82.2
21073	60081	64109	231387.9	REJECTED	pass4_angle_early	-1	50.8	52.3	79.5
105946	55063	32006	49194.6	REJECTED	pass4_angle_early	-1	27.4	52.8	93.0
105946	55063	35009	45144.4	REJECTED	pass4_angle_early	-1	16.9	40.8	82.9
105946	55063	38012	140783.1	REJECTED	pass4_angle_early	-1	37.8	72.9	81.3
105946	55063	53029	722260.8	REJECTED	pass4_angle_early	-1	18.4	51.6	71.8
105946	55063	53030	257026.1	REJECTED	pass4_angle_early	-1	24.4	64.3	69.1
105946	55063	53031	210598.0	REJECTED	pass4_angle_early	-1	28.5	64.0	76.1
105946	55063	54032	152006.2	REJECTED	pass4_angle_early	-1	14.7	52.4	64.6
105946	56056	39013	142836.3	OWNED	pass4_angle	40064			
122660	9110	30032	220058.1	ABSENT		-1			
122660	9110	36038	202007.9	ABSENT		-1			
122660	9110	39041	84103.1	ABSENT		-1			
122660	9110	47049	1456027.0	ABSENT		-1			
122660	9110	47050	513138.1	ABSENT		-1			
122660	9110	53068	640648.0	ABSENT		-1			
122660	9110	53069	414478.8	ABSENT		-1			
122660	9110	53070	371275.5	ABSENT		-1			
122660	9110	54071	1275237.1	ABSENT		-1			
122660	9110	55073	1155005.4	ABSENT		-1			
122660	9110	60104	390676.0	ABSENT		-1			
181050	15006	54014	58953.2	ABSENT		-1			
181050	15006	57017	29956.4	ABSENT		-1			
181050	15006	58018	89284.8	ABSENT		-1			
181050	15006	61021	272169.8	ABSENT		-1			
181050	15006	68031	299605.2	ABSENT		-1			
181050	15006	68032	90657.3	ABSENT		-1			
181050	15006	68034	130079.4	ABSENT		-1			
181050	15006	69039	827239.0	ABSENT		-1			
342199	25109	74101	116378.7	REJECTED	pass4_angle_early	-1	38.0	124.5	98.4
342199	25109	74106	932179.4	REJECTED	pass4_angle_early	-1	36.0	121.7	91.1
342199	25109	74107	290932.1	REJECTED	pass4_angle_early	-1	37.7	122.9	97.6
463565	13001	48040	27705.9	ABSENT		-1			
463565	13001	49041	39063.0	ABSENT		-1			
463565	13001	50042	38894.2	ABSENT		-1			
463565	13001	51043	26750.3	ABSENT		-1			
463565	13001	59051	125008.9	ABSENT		-1			
463565	13001	72064	271839.7	ABSENT		-1			
463565	13001	73065	74181.2	ABSENT		-1			
463565	13001	75067	199048.5	ABSENT		-1			
463565	13001	109073	558621.1	ABSENT		-1			
463565	13001	109074	408865.9	ABSENT		-1			
463565	13001	110075	183178.5	ABSENT		-1			
463565	13001	111079	515923.3	ABSENT		-1			
463565	13001	112080	124114.0	ABSENT		-1			
463565	13001	113081	42806.4	ABSENT		-1			
463565	13001	114084	151690.8	ABSENT		-1			
463565	13001	114086	292455.5	ABSENT		-1			
463565	13001	115088	732470.2	ABSENT		-1			
463565	13001	115090	171384.6	ABSENT		-1			
463565	13001	115092	73442.3	ABSENT		-1			
463565	13001	115094	31916.8	ABSENT		-1			
463565	13001	115099	353856.3	ABSENT		-1			
463565	13001	115100	944192.4	ABSENT		-1			
463565	13001	115101	185032.3	ABSENT		-1			
463565	13001	115102	225739.0	ABSENT		-1			
463565	13001	115103	417500.1	ABSENT		-1			
463565	13001	115106	519785.0	ABSENT		-1			
469665	15003	32007	23124.8	ABSENT		-1			
469665	15003	35010	26919.5	ABSENT		-1			
469665	15003	37012	17942.1	ABSENT		-1			
469665	15003	62073	391486.5	ABSENT		-1			
469665	15003	62074	21307.4	ABSENT		-1			
469665	15003	66042	369011.3	ABSENT		-1			
469665	15003	66047	190619.5	ABSENT		-1			
469665	15003	66048	327944.4	ABSENT		-1			
469665	15003	68052	329554.0	ABSENT		-1			
469665	15003	68053	212961.0	ABSENT		-1			
469665	15003	68059	168053.7	ABSENT		-1			
