setname	sample	event	labelsrc	gamma	e_lab	e_sh	ratio	e_sibs	nsibs	klass
98	ncpi0	21073	base	1	756.2	656.0	0.87	0.0	0	OK
98	ncpi0	21073	base	2	104.7	99.8	0.95	0.0	0	OK
98	ncpi0	37112	overlay	1	797.3	759.4	0.95	3.4	2	OK
98	ncpi0	37112	overlay	2	183.9	175.2	0.95	0.0	0	OK
98	mcp2k	47212	base	1	221.9	221.9	1.0	0.0	0	OK
98	mcp2k	47212	base	2	65.1	82.3	1.26	0.0	0	OVER
98	mcp2k	54332	base	1	182.5	214.4	1.17	0.0	0	OK
98	mcp2k	54332	base	2	65.0	65.7	1.01	0.0	0	OK
98	ncpi0	56982	overlay	1	533.4	508.0	0.95	0.0	0	OK
98	ncpi0	56982	overlay	2	149.4	142.3	0.95	6.6	1	OK
98	mcp1k	64591	base	1	298.1	288.9	0.97	0.0	0	OK
98	mcp1k	64591	base	2	50.7	50.4	0.99	0.0	0	OK
98	ncpi0	71372	base	1	120.7	113.9	0.94	0.0	0	OK
98	ncpi0	71372	base	2	65.8	80.7	1.23	0.0	0	OK
98	mcp2k	76346	base	1	246.7	243.8	0.99	0.0	0	OK
98	mcp2k	76346	base	2	5.0	-1	-1	0	0	ABSENT
98	mcp2k	99838	base	1	118.3	166.8	1.41	0.0	0	OVER
98	mcp2k	99838	base	2	108.8	103.6	0.95	0.0	0	OK
98	ncpi0	105946	base	1	604.3	489.6	0.81	149.3	2	OK
98	ncpi0	105946	base	2	60.3	44.9	0.74	0.0	0	UNDER-nosibs
98	ncpi0	142421	overlay	1	706.5	672.8	0.95	14.6	2	OK
98	ncpi0	142421	overlay	2	583.7	555.9	0.95	0.0	0	OK
98	mcp2k	165157	overlay	1	167.6	159.6	0.95	2.9	1	OK
98	mcp2k	165157	overlay	2	127.4	192.3	1.51	0.0	0	OVER
98	mcp1k	166870	base	1	173.8	179.6	1.03	0.0	0	OK
98	mcp1k	166870	base	2	38.6	38.6	1.0	0.0	0	OK
98	mcp1k	169356	base	1	100.2	95.5	0.95	0.0	0	OK
98	mcp1k	169356	base	2	84.9	84.3	0.99	0.0	0	OK
98	mcp1k	169626	base	1	537.1	511.5	0.95	22.5	2	OK
98	mcp1k	169626	base	2	107.9	102.7	0.95	0.0	0	OK
98	mcp2k	173093	base	1	261.2	213.5	0.82	39.6	1	OK
98	mcp2k	173093	base	2	38.5	37.0	0.96	0.0	0	OK
98	mcp2k	176986	overlay	1	176.5	168.1	0.95	0.0	0	OK
98	mcp2k	176986	overlay	2	120.1	114.4	0.95	0.0	0	OK
98	ncpi0	259542	overlay	1	993.0	949.7	0.96	2.8	1	OK
98	ncpi0	259542	overlay	2	138.7	132.1	0.95	1041.9	3	OK
98	nuecc48	269774	base	1	916.1	882.8	0.96	0.0	0	OK
98	nuecc48	269774	base	2	250.8	244.9	0.98	0.0	0	OK
98	mcp1k	278794	base	1	200.4	196.0	0.98	0.0	0	OK
98	mcp1k	278794	base	2	39.2	38.7	0.99	0.0	0	OK
98	mcp2k	281165	base	1	159.6	166.8	1.05	0.0	0	OK
98	mcp2k	281165	base	2	81.7	78.0	0.95	0.0	0	OK
98	mcp1k	281485	base	1	73.4	69.9	0.95	0.0	0	OK
98	mcp1k	281485	base	2	29.2	27.9	0.95	0.0	0	OK
98	mcp1k	281639	base	1	149.7	143.6	0.96	0.0	0	OK
98	mcp1k	281639	base	2	144.5	140.4	0.97	0.0	0	OK
98	mcp1k	284235	base	1	133.6	141.5	1.06	0.0	0	OK
98	mcp1k	284235	base	2	87.7	99.4	1.13	0.0	0	OK
98	ncpi0	285567	base	1	86.6	82.5	0.95	0.0	0	OK
98	ncpi0	285567	base	2	102.1	106.8	1.05	0.0	0	OK
