setname	sample	event	labelsrc	gamma	e_lab	e_sh	ratio	e_sibs	nsibs	klass
98	ncpi0	21073	base	1	756.2	632.7	0.84	8.0	1	OK
98	ncpi0	21073	base	2	104.7	97.4	0.93	0.0	0	OK
98	ncpi0	37112	overlay	1	797.3	741.7	0.93	3.4	2	OK
98	ncpi0	37112	overlay	2	183.9	171.1	0.93	0.0	0	OK
98	mcp2k	47212	base	1	221.9	221.9	1.0	0.0	0	OK
98	mcp2k	47212	base	2	65.1	65.1	1.0	0.0	0	OK
98	mcp2k	54332	base	1	182.5	185.9	1.02	24.1	1	OK
98	mcp2k	54332	base	2	65.0	60.5	0.93	3.8	1	OK
98	ncpi0	56982	overlay	1	533.4	496.2	0.93	0.0	0	OK
98	ncpi0	56982	overlay	2	149.4	139.0	0.93	6.6	1	OK
98	mcp1k	64591	base	1	298.1	282.2	0.95	0.0	0	OK
98	mcp1k	64591	base	2	50.7	49.2	0.97	0.0	0	OK
98	ncpi0	71372	base	1	120.7	109.8	0.91	1.5	1	OK
98	ncpi0	71372	base	2	65.8	75.7	1.15	0.0	0	OK
98	mcp2k	76346	base	1	246.7	238.1	0.97	0.0	0	OK
98	mcp2k	76346	base	2	5.0	-1	-1	0	0	ABSENT
98	mcp2k	99838	base	1	118.3	162.9	1.38	0.0	0	OVER
98	mcp2k	99838	base	2	108.8	101.2	0.93	0.0	0	OK
98	ncpi0	105946	base	1	604.3	466.8	0.77	139.7	7	UNDER+SIBS
98	ncpi0	105946	base	2	60.3	43.8	0.73	0.0	0	UNDER-nosibs
98	ncpi0	142421	overlay	1	706.5	657.2	0.93	14.4	2	OK
98	ncpi0	142421	overlay	2	583.7	542.9	0.93	0.0	0	OK
98	mcp2k	165157	overlay	1	167.6	155.9	0.93	2.9	1	OK
98	mcp2k	165157	overlay	2	127.4	187.9	1.48	0.0	0	OVER
98	mcp1k	166870	base	1	173.8	164.8	0.95	0.0	0	OK
98	mcp1k	166870	base	2	38.6	38.6	1.0	0.0	0	OK
98	mcp1k	169356	base	1	100.2	93.2	0.93	0.0	0	OK
98	mcp1k	169356	base	2	84.9	82.4	0.97	0.0	0	OK
98	mcp1k	169626	base	1	537.1	499.6	0.93	22.0	2	OK
98	mcp1k	169626	base	2	107.9	100.3	0.93	0.0	0	OK
98	mcp2k	173093	base	1	261.2	208.5	0.8	38.7	1	UNDER+SIBS
98	mcp2k	173093	base	2	38.5	36.1	0.94	0.0	0	OK
98	mcp2k	176986	overlay	1	176.5	164.2	0.93	0.0	0	OK
98	mcp2k	176986	overlay	2	120.1	111.8	0.93	0.0	0	OK
