setname	sample	event	labelsrc	theta_deg	e1_lab	e2_lab	e1_prod	e2_prod	ratio1	ratio2	m_lab	m_prod	origin	ledger_clean	accepted
98	ncpi0	21073	base	45.689	756.2	104.7	632.7	97.4	0.837	0.93	218.5	192.8	ncpi0	1	0
98	mcp2k	47212	base	67.06	221.9	65.1	221.9	65.1	1.0	1.0	132.8	132.8	ncpi0	1	1
98	mcp2k	54332	base	61.855	182.5	65.0	185.9	60.5	1.018	0.93	111.9	109.0	ncpi0	1	0
98	mcp1k	64591	base	74.918	298.1	50.7	282.2	49.2	0.947	0.971	149.6	143.4	ncpi0	1	0
98	ncpi0	71372	base	102.712	120.7	65.8	109.8	75.7	0.91	1.149	139.2	142.4	ncpi0	1	1
98	mcp2k	99838	base	67.305	118.3	108.8	162.9	101.2	1.376	0.93	125.8	142.3	ncpi0	0	1
98	ncpi0	105946	base	41.033	604.3	60.3	466.8	43.8	0.773	0.727	133.8	100.3	ncpi0	0	1
98	ncpi0	142421	overlay	23.329	706.5	583.7	657.2	542.9	0.93	0.93	259.6	241.5	ncpi0	1	0
98	mcp2k	165157	overlay	52.771	167.6	127.4	155.9	187.9	0.93	1.475	129.9	152.1	ncpi0	0	0
98	mcp1k	166870	base	90.475	173.8	38.6	164.8	38.6	0.948	1.0	116.3	113.3	ncpi0	1	1
98	mcp1k	169356	base	96.932	100.2	84.9	93.2	82.4	0.93	0.971	138.1	131.2	ncpi0	1	1
98	mcp1k	169626	base	35.172	537.1	107.9	499.6	100.3	0.93	0.93	145.4	135.3	owner	1	1
98	mcp2k	173093	base	95.983	261.2	38.5	208.5	36.1	0.798	0.939	149.0	129.0	ncpi0	0	1
98	mcp2k	176986	overlay	46.008	176.5	120.1	164.2	111.8	0.93	0.93	113.8	105.9	ncpi0	1	0
98	ncpi0	259542	overlay	27.524	993.0	138.7	923.7	129.0	0.93	0.93	176.5	164.2	ncpi0	1	0
98	nuecc48	269774	base	18.528	916.1	250.8	862.3	239.2	0.941	0.954	154.3	146.2	nuecc	1	0
98	mcp1k	278794	base	127.532	200.4	39.2	191.4	37.8	0.955	0.964	159.1	152.6	ncpi0	1	1
98	mcp2k	281165	base	80.853	159.6	81.7	154.3	76.2	0.967	0.932	148.1	140.6	ncpi0	1	1
98	mcp1k	281485	base	93.022	73.4	29.2	68.3	27.2	0.93	0.93	67.2	62.5	ncpi0	1	0
98	mcp1k	281639	base	51.627	149.7	144.5	140.3	137.1	0.937	0.949	128.1	120.8	ncpi0	1	1
98	mcp1k	284235	base	85.151	133.6	87.7	138.2	82.6	1.035	0.942	146.5	144.6	ncpi0	1	1
98	ncpi0	314838	overlay	26.32	693.4	118.6	645.0	110.3	0.93	0.93	130.6	121.4	ncpi0	1	1
98	nuecc48	342199	base	103.576	74.7	126.7	55.4	62.7	0.742	0.495	152.9	92.6	nuecc	0	0
98	mcp1k	347129	base	86.033	143.2	64.5	133.2	60.0	0.93	0.93	131.1	122.0	owner	1	0
98	ncpi0	359980	base	29.208	596.3	163.3	556.0	156.6	0.932	0.959	157.4	148.8	ncpi0	1	0
98	mcp2k	396222	overlay	37.992	2857.4	162.7	2658.1	151.3	0.93	0.93	443.9	412.9	ncpi0	1	0
98	mcp1k	399052	base	43.029	399.5	117.7	372.0	109.5	0.931	0.93	159.0	148.0	ncpi0	1	1
98	mcp1k	409634	base	59.567	180.6	39.1	167.2	36.3	0.926	0.93	83.4	77.4	ncpi0	1	0
98	ncpi0	506114	base	33.32	1715.0	44.8	1638.5	49.6	0.955	1.107	158.9	163.4	ncpi0	1	0
141	mcp1k	54341	base	46.528	341.1	47.6	274.6	23.7	0.805	0.498	100.7	63.7	other_em	0	0
141	mcp1k	56243	base	91.222	120.1	112.2	121.0	104.4	1.007	0.93	165.9	160.6	numucc_em	1	0
141	mcp2k	57709	base	68.15	211.6	98.5	181.5	91.6	0.858	0.93	161.8	144.5	other_em	1	1
141	mcp1k	71178	base	17.986	106.7	63.1	99.3	58.9	0.93	0.934	25.6	23.9	other_em	1	0
141	mcp2k	71872	base	106.506	200.6	19.9	194.8	23.0	0.971	1.158	101.1	107.3	numucc_em	1	0
141	mcp2k	74123	base	98.068	159.6	63.1	148.4	56.1	0.93	0.888	151.6	137.8	numucc_em	1	1
141	mcp2k	91917	base	81.462	213.4	54.5	178.5	50.7	0.837	0.93	140.7	124.2	numucc_em	1	1
141	mcp2k	99782	base	104.091	156.6	64.8	147.5	61.3	0.942	0.946	158.8	150.0	numucc_em	1	1
141	mcp2k	103798	base	38.159	133.0	97.6	125.4	96.8	0.943	0.991	74.5	72.0	other_em	1	1
141	mcp1k	168432	base	18.427	259.1	143.0	241.0	115.8	0.93	0.81	61.6	53.5	numucc_em	1	0
141	mcp2k	242726	base	98.572	116.1	67.8	108.0	63.1	0.93	0.93	134.5	125.1	numucc_em	1	1
141	mcp2k	280159	base	44.14	78.1	129.6	74.1	129.3	0.949	0.998	75.6	73.6	numucc_em	1	0
141	mcp1k	280972	overlay	17.141	625.6	127.3	582.0	118.4	0.93	0.93	84.1	78.2	numucc_em	1	0
141	mcp1k	283713	base	90.565	163.9	27.1	152.5	25.2	0.93	0.93	94.8	88.2	numucc_em	1	0
141	mcp1k	285443	base	104.434	281.3	37.1	262.5	34.5	0.933	0.93	161.5	150.5	numucc_em	1	1
141	mcp1k	286655	overlay	67.783	236.7	201.3	220.2	187.3	0.93	0.93	243.5	226.5	nuecc	1	0
141	mcp1k	292027	base	72.838	259.1	65.5	253.8	60.9	0.98	0.93	154.7	147.7	numucc_em	1	1
141	mcp2k	292524	base	61.313	329.8	38.1	284.0	37.7	0.861	0.99	114.3	105.5	numucc_em	1	1
141	mcp1k	348691	overlay	100.761	324.2	115.1	301.6	107.1	0.93	0.93	297.6	276.9	numucc_em	1	0
141	mcp2k	392901	overlay	55.964	196.6	106.1	182.9	98.7	0.93	0.93	135.5	126.1	other_em	1	1
141	mcp2k	397630	overlay	27.702	128.7	114.0	119.7	106.0	0.93	0.93	58.0	54.0	numucc_em	1	0
141	mcp1k	399118	base	113.043	130.5	55.5	133.5	52.2	1.023	0.942	141.9	139.3	numucc_em	1	1
141	mcp1k	400504	base	91.415	153.5	63.9	142.8	62.9	0.93	0.985	141.8	135.7	numucc_em	1	1
141	mcp2k	403023	base	90.292	131.0	96.8	121.8	93.0	0.93	0.961	159.6	150.9	numucc_em	1	1
141	mcp1k	486907	overlay	37.597	457.7	154.9	425.8	144.1	0.93	0.93	171.6	159.6	other_em	1	0
141	mcp1k	489327	base	77.136	237.2	46.4	337.0	43.1	1.421	0.93	130.8	150.3	numucc_em	0	1
141	mcp2k	499577	base	133.298	103.7	40.8	97.5	38.0	0.94	0.93	119.5	111.7	numucc_em	1	1
