event	sample	labelsrc	theta_deg	e1	e2	depth1_cm	depth2_cm	f1	f2	axis_vs_vtx1_deg	axis_vs_vtx2_deg	geom_suspect	e1_true	e2_true	R_prod	R_leakcorr	m_prod	m_leakcorr	impossible	healed_by_leakage
21073	ncpi0	base	45.689	632.7	97.4	139.8	154.7	0.943	0.992	16.0	27.7	0	671.0	98.2	2.1	2.212	192.8	199.3	0	0
47212	mcp2k	base	67.06	221.9	65.1	336.1	281.1	1.0	1.0	2.6	27.3	0	221.9	65.1	1.174	1.174	132.8	132.8	0	0
54332	mcp2k	base	61.855	185.9	60.5	180.4	322.6	0.994	1.0	6.6	26.3	0	187.0	60.5	0.938	0.942	109.0	109.3	1	0
64591	mcp1k	base	74.918	282.2	49.2	124.0	336.7	0.947	1.0	30.8	35.3	1	298.1	49.2	1.493	1.565	143.4	147.4	0	0
71372	ncpi0	base	102.712	109.8	75.7	75.2	108.1	0.868	0.97	63.5	40.5	1	126.5	78.0	1.073	1.183	142.4	155.2	0	0
99838	mcp2k	base	67.305	162.9	101.2	253.2	296.1	1.0	1.0	2.8	4.4	0	163.0	101.2	1.084	1.084	142.3	142.3	0	0
105946	ncpi0	base	41.033	466.8	43.8	116.1	171.4	0.906	0.998	4.1	22.8	0	515.5	43.9	1.326	1.453	100.3	105.5	0	0
142421	ncpi0	overlay	23.329	657.2	542.9	369.1	390.0	1.0	1.0	3.0	17.2	0	657.2	542.9	1.798	1.798	241.5	241.5	0	0
165157	mcp2k	overlay	52.771	155.9	187.9	106.9	116.2	0.941	0.95	120.0	4.0	1	165.7	197.8	1.132	1.197	152.1	160.9	0	0
166870	mcp1k	base	90.475	164.8	38.6	154.7	73.9	0.987	0.925	16.8	9.2	0	167.0	41.7	1.07	1.098	113.3	118.5	0	0
169356	mcp1k	base	96.932	93.2	82.4	41.3	371.6	0.612	1.0	8.1	88.3	1	152.4	82.4	0.974	1.302	131.2	167.7	1	1
169626	mcp1k	base	35.172	499.6	100.3	186.6	371.1	0.988	1.0	10.9	10.5	0	505.6	100.3	1.343	1.356	135.3	136.1	0	0
173093	mcp2k	base	95.983	208.5	36.1	208.6	220.7	0.997	1.0	12.7	44.0	1	209.1	36.1	1.347	1.35	129.0	129.2	0	0
176986	mcp2k	overlay	46.008	164.2	111.8	199.9	172.8	0.997	0.995	46.4	84.6	1	164.7	112.3	0.799	0.802	105.9	106.3	1	0
