set	sample	event	shower	matched	sites	had_cone_seat	conn	seg	seg_cluster	seg_is_main	q	verdict	cur_owner	detail
98	ncpi0	21073	60081	60081	from_vertices	1	2	31023	31	0	84077.5	REJECT	31023	site=pass4_angle_early angle_v2=52.2 dis=35.0
98	ncpi0	21073	60081	60081	from_vertices	1	2	31024	31	0	108099.5	REJECT	31023	site=pass4_angle_early angle_v2=52.2 dis=35.0
98	ncpi0	21073	60081	60081	from_vertices	1	2	33026	33	0	180253.3	REJECT	31023	site=pass4_angle_early angle_v2=51.0 dis=43.7
98	ncpi0	21073	60081	60081	from_vertices	1	2	34027	34	0	38659.3	REJECT	31023	site=pass4_angle_early angle_v2=47.1 dis=42.8
98	ncpi0	21073	60081	60081	from_vertices	1	2	57049	57	0	661575.6	REJECT	31023	site=pass4_angle_early angle_v2=52.0 dis=46.4
98	ncpi0	21073	60081	60081	from_vertices	1	2	64108	64	0	119333.5	REJECT	31023	site=pass4_angle_early angle_v2=53.5 dis=82.2
98	ncpi0	21073	60081	60081	from_vertices	1	2	64109	64	0	231387.9	REJECT	31023	site=pass4_angle_early angle_v2=52.3 dis=79.5
98	mcp2k	54332	16014	16017	-	0	3	97060	97	0	89825.8	NO_SEAT	97060	
98	mcp2k	54332	16014	16017	-	0	3	97062	97	0	250921.4	NO_SEAT	97060	
98	mcp2k	54332	16014	16017	-	0	3	97063	97	0	215744.5	NO_SEAT	97060	
98	mcp2k	54332	16014	16017	-	0	3	97064	97	0	125384.2	NO_SEAT	97060	
98	mcp2k	54332	16014	16017	-	0	3	98066	98	0	707833.7	NO_SEAT	97060	
98	mcp2k	54332	16014	16017	-	0	3	98067	98	0	301466.6	NO_SEAT	97060	
98	mcp2k	54332	16014	16017	-	0	3	98068	98	0	209141.4	NO_SEAT	97060	
98	mcp2k	54332	16014	16017	-	0	3	99069	99	0	95828.4	NO_SEAT	97060	
98	mcp2k	54332	16014	16017	-	0	3	129113	129	0	72877.7	NO_SEAT	97060	
98	mcp2k	54332	122091	122091	from_vertices	1	2	80042	80	0	35251.5	REJECT	80042	site=pass4_angle_cone angle_v2=8.6 dis=164.1
98	mcp2k	54332	122091	122091	from_vertices	1	2	81043	81	0	122806.0	REJECT	81043	site=pass4_angle_cone angle_v2=9.2 dis=171.5
98	mcp2k	54332	122091	122091	from_vertices	1	2	123098	123	0	723323.8	ABSENT	123098	
98	mcp2k	54332	122091	122091	from_vertices	1	2	123099	123	0	119609.7	ABSENT	123098	
