setname	sample	event	labelsrc	origin	theta_deg	e1_prod	e2_prod	m_prod	R_prod	A_prod	mark_in1	mark_out1	mark_in2	mark_out2	d1_arm	d2_arm	m_marks	R_marks	in_window	in_window_marks	has_marks	accepted
98	ncpi0	21073	base	ncpi0	45.689	634.5	168.1	253.6	2.309	0.814	76.0	0	0	0	70.7	0.0	267.4	2.512	0	0	1	0
98	mcp2k	47212	base	ncpi0	67.06	221.9	65.1	132.8	1.174	0.838	0	0	0	0	0.0	0.0	132.8	1.174	1	1	0	1
98	mcp2k	54332	base	ncpi0	61.855	187.1	60.5	109.3	0.942	0.859	52.5	0	0	0	48.8	0.0	122.8	1.128	1	1	1	1
98	mcp1k	64591	base	ncpi0	74.918	282.2	49.2	143.4	1.493	0.711	4.1	0	0	0	3.8	0.0	144.4	1.511	1	1	1	0
98	ncpi0	71372	base	ncpi0	102.712	109.8	75.7	142.4	1.073	0.983	0	0	0	0	0.0	0.0	142.4	1.073	1	1	0	1
98	mcp2k	99838	base	ncpi0	67.305	162.9	101.2	142.3	1.084	0.972	0	0	0	0	0.0	0.0	142.3	1.084	1	1	0	1
98	ncpi0	105946	base	ncpi0	41.033	593.0	42.1	110.7	1.649	0.498	110.2	0	13.2	0	102.5	12.3	136.3	1.947	1	1	1	1
98	mcp2k	165157	overlay	ncpi0	52.771	155.9	187.9	152.1	1.132	0.996	0	0	0	0	0.0	0.0	152.1	1.132	1	1	0	0
98	mcp1k	166870	base	ncpi0	90.475	175.7	38.6	116.9	1.127	0.768	2.4	0	0	0	2.2	0.0	117.7	1.139	1	1	1	1
98	mcp1k	169356	base	ncpi0	96.932	93.2	79.0	128.5	0.955	0.997	0	0	0	0	0.0	0.0	128.5	0.955	1	1	0	1
98	mcp1k	169626	base	owner	35.172	499.6	100.3	135.3	1.343	0.746	23.6	0	0	0	22.0	0.0	138.2	1.392	1	1	1	1
98	mcp2k	173093	base	ncpi0	95.983	208.5	36.1	129.0	1.347	0.71	39.4	0	0	0	36.6	0.0	139.8	1.548	1	1	1	1
98	mcp2k	176986	overlay	ncpi0	46.008	164.2	113.1	106.5	0.803	0.983	0	0	0	0	0.0	0.0	106.5	0.803	1	1	0	0
98	nuecc48	269774	base	nuecc	18.528	802.2	296.9	157.1	1.311	0.888	0	77.9	90.3	0	-72.5	84.0	169.7	1.325	1	0	1	0
98	mcp1k	278794	base	ncpi0	127.532	191.4	37.8	152.6	1.523	0.742	0	0	0	0	0.0	0.0	152.6	1.523	1	1	0	1
98	mcp2k	281165	base	ncpi0	80.853	119.5	76.2	123.8	0.94	0.975	0	0	0	0	0.0	0.0	123.8	0.94	1	1	0	1
98	mcp1k	281639	base	ncpi0	51.627	140.3	137.1	120.8	0.895	1.0	0	0	0	0	0.0	0.0	120.8	0.895	1	1	0	1
98	mcp1k	284235	base	ncpi0	85.151	138.2	82.6	144.6	1.107	0.968	1.6	0	16.7	0	1.5	15.5	158.5	1.193	1	1	1	1
98	ncpi0	314838	overlay	ncpi0	26.32	181.8	594.9	149.8	1.31	0.847	0	0	0	0	0.0	0.0	149.8	1.31	1	1	0	1
98	nuecc48	342199	base	nuecc	103.576	55.4	62.7	92.6	0.688	0.998	0	0	59.3	0	0.0	55.2	127.0	1.009	0	1	1	0
98	mcp1k	347129	base	owner	86.033	133.2	60.0	122.0	0.976	0.926	0	0	0	0	0.0	0.0	122.0	0.976	1	1	0	0
98	ncpi0	359980	base	ncpi0	29.208	556.0	156.6	148.8	1.331	0.828	0	0	0	0	0.0	0.0	148.8	1.331	1	1	0	0
98	mcp1k	399052	base	ncpi0	43.029	372.0	109.5	148.0	1.308	0.838	0	0	0	0	0.0	0.0	148.0	1.308	1	1	0	1
