event	node	owner_verdict	owner_k	cxx_fired	b_cm	cxx_k	boundary_agree	p11_refuses
10550	7036	KEEP	1	0	2.53			0
54332	122091	KEEP	1	1	39.72			0
64409	8022	KEEP	1	0	1.75			0
67394	58035	SPLIT2	2	1	13.12	2	1.000	0
76350	12098	KEEP	1	0	4.37			0
84229	69134	SPLIT2	2	1	7.44	2	1.000	0
98844	6013	SPLIT2	2	1	7.34	2	0.945	0
99838	14004	KEEP	1	0	3.90			0
122660	9110	KEEP	1	0	10.53			0
122660	54071	KEEP	1	0	66.47			0
165157	9000	KEEP	1	1	13.05			1
174771	87065	KEEP	1	1	102.10			0
174771	91075	SPLIT2	2	1	10.39	2	0.876	0
175896	17044	SPLIT2	2	1	0.44	2	1.000	0
176502	109141	KEEP	1	0	6.21			0
179611	10001	KEEP	1	0	2.03			0
269774	13237	SPLIT2	2	1	1.67	2	0.899	0
278420	61027	KEEP	1	1	26.78			0
281325	42039	SPLIT2	2	1	0.31	2	1.000	0
281485	89095	SPLIT2	2	1	23.67	2	1.000	1
286681	72040	KEEP	1	0	20.29			0
292524	9018	KEEP	1	0	2.18			0
294174	16004	SPLIT2	2	1	209.39	2	1.000	0
294174	71067	SPLIT2	2	1	75.20	2	1.000	0
314838	110088	SPLIT2	2	1	8.32	2	1.000	0
317939	30022	KEEP	1	0	2.66			0
350354	18092	SPLIT2	2	1	3.11	2	1.000	1
386948	16002	KEEP	1	0	47.89			0
389538	19021	KEEP	1	0	152.52			0
393505	63025	KEEP	1	1	62.82			0
396037	69026	SPLIT2	2	1	16.71	2	1.000	0
396222	9059	SPLIT4+	7	1	22.15	2	0.572	0
406125	38021	SPLIT2	2	1	26.35	2	1.000	0
415278	23012	SPLIT3	3	1	15.42	2	0.920	0
415278	23037	SPLIT4+	5	1	6.69	2	0.801	0
415278	83139	SPLIT2	2	1	48.46	2	1.000	0
463565	13001	SPLIT3	3	1	3.02	2	0.906	0
499577	13009	KEEP	1	0	23.64			0
521075	18007	KEEP	1	0	1.44			0
