event	node	fired	veto	b_cxx_cm	b_offline_cm
166870	10074	0	0	1.690	1.691
166870	85045	0	0	1.800	1.803
166870	87058	0	0	6.820	6.824
168432	22006	0	0	5.150	5.154
168432	49028	0	0	7.010	7.007
169356	67030	1	0	6.480	6.480
169626	22034	0	0	1.090	5.164
169626	53069	0	0	36.590	7.199
170808	60025	0	0	1.240	1.240
172266	40019	0	0	25.750	25.750
172942	4002	0	0	4.230	4.226
172942	71022	0	0	20.240	20.241
175896	17044	1	0	0.440	0.439
175896	17043	0	0	0.420	0.420
175896	63019	0	0	1.130	1.127
277298	17026	0	0	11.170	11.174
278420	18002	0	0	1.980	1.981
278420	61027	1	1	26.780	26.776
278794	49030	0	0	1.180	1.179
280972	7040	0	0	3.040	3.037
280972	75099	0	0	5.520	5.517
280972	79136	1	0	9.030	9.030
281485	15036	0	0	11.990	11.988
281485	87078	0	0	15.600	15.603
281485	88090	0	0	0.420	0.419
281485	89095	1	1	23.670	23.669
281485	91112	0	0	5.450	5.452
281639	23001	0	0	2.770	2.766
281639	91023	0	0	6.670	6.667
282979	14003	0	0	5.820	5.824
282979	41018	0	0	90.970	90.974
283515	24014	0	0	37.040	37.037
283515	66036	0	0	30.320	30.318
283713	17007	0	0	2.870	2.874
283713	23011	0	0	7.770	7.774
283713	67051	0	0	39.130	39.135
284200	6013	1	1	30.320	30.316
284235	6004	0	0	6.130	6.132
284235	74027	0	0	9.020	9.020
284791	37016	0	0	4.810	4.813
285443	49035	0	0	1.960	1.958
286655	19006	0	0	14.830	14.831
286655	80055	0	0	15.240	15.244
286681	3012	0	0	56.180	56.185
286681	72040	0	0	20.290	20.292
287007	22001	0	0	104.820	104.823
287654	12003	0	0	51.900	51.901
287654	88015	0	0	57.610	57.611
287830	20036	0	0	79.790	79.788
287830	21042	1	1	79.960	79.955
292005	18005	0	0	2.390	2.389
292005	46017	0	0	47.940	47.943
292027	12005	0	0	3.290	3.292
292027	56038	0	0	1.580	1.585
292643	25015	1	1	30.350	30.347
293149	4001	0	0	2.670	2.670
313781	9012	1	0	2.300	2.301
317939	26001	0	0	1.520	1.521
317939	30022	0	0	2.660	2.659
321767	45019	0	0	20.080	20.084
347085	72066	0	0	1.570	1.572
347129	53021	0	0	1.720	1.718
348471	60026	0	0	6.940	6.942
348691	49046	0	0	0.430	0.434
348691	50073	0	0	1.270	1.274
348691	52089	0	0	24.700	24.699
349549	12092	0	0	3.860	3.858
349549	19032	0	0	15.370	15.375
350121	2011	0	0	1.240	1.245
386442	16008	0	0	4.410	4.409
386948	16002	0	0	47.890	47.891
386948	91060	0	0	38.850	38.850
386948	92076	0	0	18.750	18.754
390182	4008	0	0	5.590	5.594
393212	6009	1	1	15.220	15.216
394532	8003	0	0	2.720	2.715
399052	15032	0	0	3.120	3.117
399052	64067	0	0	2.690	2.690
399118	15009	0	0	17.130	17.129
400504	62014	0	0	1.810	1.808
400504	63024	0	0	5.780	5.781
401450	23018	0	0	3.300	3.302
401450	25060	0	0	98.660	98.657
401450	93106	0	0	359.690	359.687
407918	17010	0	0	13.250	13.246
409634	21002	0	0	8.200	8.202
409634	27015	0	0	12.680	12.685
410008	20001	0	0	173.320	173.320
410008	98035	0	0	169.570	169.566
486247	18014	0	0	10.550	10.550
486687	103067	0	0	4.190	4.189
486907	22004	0	0	3.420	3.425
486907	24002	0	0	10.810	10.814
487853	13000	1	0	11.660	11.659
489327	19005	0	0	1.200	1.202
54341	101041	0	0	5.550	5.550
56243	69032	1	0	10.920	10.915
56243	71044	0	0	1.980	1.978
58755	30003	1	0	2.190	2.191
59085	3007	0	0	1.460	1.459
64409	8022	0	0	1.750	1.746
64591	83044	0	0	115.890	115.894
65053	139020	0	0	9.410	9.406
67394	58035	1	1	13.120	13.117
71178	10013	0	0	26.400	26.397
100135	14025	0	0	2.740	2.736
100222	67054	0	0	65.660	65.661
100222	75062	0	0	130.060	130.062
100222	113236	0	0	15.550	15.553
103798	89037	0	0	6.020	6.022
103798	92061	0	0	7.590	7.588
165157	9000	1	1	13.050	13.047
165157	62049	0	0	5.790	5.790
167612	27016	0	0	208.260	208.263
167612	100074	0	0	193.870	193.875
167612	101086	0	0	185.860	185.857
170098	70030	0	0	14.340	14.345
170098	78064	0	0	4.750	4.753
170761	8026	1	0	11.340	11.340
171143	8032	0	0	3.210	3.214
171143	69027	0	0	7.710	7.706
171729	9005	0	0	1.600	1.603
173093	12007	0	0	6.590	6.588
173495	26021	0	0	133.560	133.563
174771	15018	0	0	5.400	5.396
