event	bucket	shower	matched	n_target	n_actual	n_inter	n_miss	n_extra	comp	pur	q_comp	q_pur	q_f1	q_target	q_actual	q_miss	q_extra	drift	miss	extra
21073	1 under-clustered	60081	60081	45	48	43	2	5	0.9556	0.8958	0.9846	0.9847	0.9846	12441016.8068	12438655.4333	192176.9922	189815.6186	10	31023,31024	28020,29021,47040,52045,53046
47212	2 over-clustered	2103	105072	24	24	24	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	7507818.6517	7507818.6517	0	0	1		
47212	2 over-clustered	70038	70038	1	1	1	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	1217628.4290	1217628.4290	0	0	0		
54332	2 over-clustered	16014	16017	13	5	4	9	1	0.3077	0.8000	0.5727	0.9817	0.7234	4842458.8211	2825207.9597	2069023.6073	51772.7459	2	97060,97062,97063,97064,98066,98067,98068,99069,129113	85047
54332	2 over-clustered	122091	122091	15	5	5	10	0	0.3333	1.0000	0.5762	1.0000	0.7312	3725980.9917	2147031.0339	1578949.9578	0	2	76038,77039,78040,79041,80042,81043,92054,121084,123098,123099	
64591	1 under-clustered	83044	83044	18	19	18	0	1	1.0000	0.9474	1.0000	0.9949	0.9975	4362255.9749	4384430.4459	0	22174.4710	2		67016
76346	1+2 both	14059	14059	15	15	15	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	3630265.0580	3630265.0580	0	0	14		
76346	1+2 both	40030	49048	5	5	5	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	1463341.2251	1463341.2251	0	0	6		
84229	2 over-clustered	69134	9034	51	34	34	17	0	0.6667	1.0000	0.6406	1.0000	0.7809	17154348.3388	10988622.5550	6165725.7838	0	18	43074,48079,61095,63097,67102,67107,67108,68109,69134,69135,69136,69137,69140,69149,69150,69151,69154	
105946	1 under-clustered	55063	55063	21	28	20	1	8	0.9524	0.7143	0.9742	0.9086	0.9402	8162144.4533	8751846.9693	210597.9569	800300.4729	12	53031	32006,33007,36010,37011,38012,40014,47022,50025
105946	1 under-clustered	56056	56056	5	2	2	3	0	0.4000	1.0000	0.9011	1.0000	0.9480	868554.6207	782649.1505	85905.4702	0	1	39013,42016,50025	
122660	1 under-clustered	9110	9110	47	43	38	9	5	0.8085	0.8837	0.7483	0.8085	0.7772	23378822.7646	21639746.4732	5884006.7420	4144930.4506	6	30032,39041,47049,47050,53069,53070,54071,55073,60104	29031,31033,32034,38040,50052
142421	2 over-clustered	7010	108104	34	47	34	0	13	1.0000	0.7234	1.0000	0.8103	0.8952	12971689.9131	16009460.7054	0	3037770.7923	46		48024,50026,51027,56032,64040,72048,79055,107100,107101,108104,108105,108106,108107
166870	1 under-clustered	87058	87058	11	14	11	0	3	1.0000	0.7857	1.0000	0.9490	0.9738	3148129.5546	3317469.0699	0	169339.5153	4		42030,47035,51039
168596	1 under-clustered	14153	14153	61	68	61	0	7	1.0000	0.8971	1.0000	0.9846	0.9922	24949937.2671	25340701.4767	0	390764.2096	27		66088,68090,72094,75097,76098,84106,87109
169626	1 under-clustered	53069	53069	34	30	30	4	0	0.8824	1.0000	0.7981	1.0000	0.8877	10650288.6322	8500522.1853	2149766.4469	0	0	39039,42042,43043,53070	
173093	1 under-clustered	12007	12007	16	15	13	3	2	0.8125	0.8667	0.8188	0.9787	0.8917	4179170.4948	3496267.0945	757261.9368	74358.5365	2	53024,58029,61040	50021,57028
173093	1 under-clustered	18017	18017	6	7	6	0	1	1.0000	0.8571	1.0000	0.9728	0.9862	906198.7955	931494.1223	0	25295.3268	1		69048
269774	1+2 both	13237	13237	43	43	43	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	12457935.4202	12457935.4202	0	0	5		
269774	1+2 both	97197	97197	16	16	15	1	1	0.9375	0.9375	0.9829	0.9769	0.9799	4700077.9877	4729233.8137	80182.3798	109338.2059	10	62074	31043
281485	1 under-clustered	88090	88090	7	4	4	3	0	0.5714	1.0000	0.7119	1.0000	0.8317	2007385.7920	1429030.7992	578354.9927	0	2	62041,90104,90105	
284235	1 under-clustered	6004	6004	8	10	8	0	2	1.0000	0.8000	1.0000	0.9643	0.9818	2572504.0730	2667623.9806	0	95119.9076	3		26007,29010
284235	1 under-clustered	74027	74027	8	7	7	1	0	0.8750	1.0000	0.8756	1.0000	0.9337	1927295.6948	1687595.4199	239700.2748	0	1	38019	
314838	2 over-clustered	110088	13010	30	29	28	2	1	0.9333	0.9655	0.9868	0.9965	0.9916	10949864.2973	10843786.6710	144418.0746	38340.4484	17	87031,91035	88032
342199	1 under-clustered	74101	74101	10	3	3	7	0	0.3000	1.0000	0.5037	1.0000	0.6700	2659116.9499	1339490.1639	1319626.7860	0	0	25035,25037,25038,25108,25109,72098,73099	
347129	1 under-clustered	11000	11000	10	1	1	9	0	0.1000	1.0000	0.7974	1.0000	0.8873	1582853.4206	1262240.8327	320612.5879	0	0	36002,37003,38004,39005,40032,40033,41007,42008,43009	
