workdir	cluster	raw	stm	tf	nseg	win	cov	d50	ghost	gap50	drop
pr_evt10550	7	1615	0	220	16	16	nan	nan	0.02727272727272727	0.5996517322579876	1/211
pr_evt10550	16	12	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	17	20	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	18	9	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	19	13	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	27	32	0	7	1	1	nan	nan	0.0	0.0	
pr_evt10550	28	7	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	29	11	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	30	16	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	31	13	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	32	22	0	5	1	1	nan	nan	0.0	0.0	
pr_evt10550	33	18	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	34	22	0	6	1	1	nan	nan	0.0	0.0	
pr_evt10550	35	10	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	36	9	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	37	10	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	38	13	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	39	17	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	40	15	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	41	30	0	6	1	1	nan	nan	0.0	0.0	
pr_evt10550	42	12	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	43	15	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	44	54	0	6	1	1	nan	nan	0.0	0.0	
pr_evt10550	45	16	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	46	26	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	47	15	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	48	80	0	9	1	1	nan	nan	0.0	0.599299132320415	
pr_evt10550	49	364	0	49	5	4	nan	nan	0.0	0.5994867304619934	
pr_evt10550	50	85	0	19	2	2	nan	nan	0.0	0.5995291569223481	
pr_evt10550	51	18	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	52	39	0	8	1	1	nan	nan	0.0	0.29997456975550535	
pr_evt10550	58	42	0	7	1	1	nan	nan	0.0	0.0	
pr_evt10550	59	7	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	60	11	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	61	8	0	4	1	0	nan	nan	0.0	0.0	
pr_evt10550	63	27	0	6	1	1	nan	nan	0.0	0.0	
pr_evt10550	64	194	0	31	3	3	nan	nan	0.0	0.5408197111792348	
pr_evt10550	65	61	0	15	2	2	nan	nan	0.0	0.42356686603180227	
pr_evt111412	18	6332	0	283	12	12	nan	nan	0.0	0.599666082082329	
pr_evt111412	25	16	0	4	1	0	nan	nan	0.0	0.0	
pr_evt111412	48	15	0	5	1	1	nan	nan	0.0	0.0	
pr_evt111412	49	12	0	4	1	0	nan	nan	0.0	0.0	
pr_evt111412	50	8	0	4	1	0	nan	nan	0.0	0.0	
pr_evt111412	51	9	0	4	1	0	nan	nan	0.0	0.0	
pr_evt111412	52	18	0	7	1	1	nan	nan	0.0	0.0	
