event	flagged	admitted	admitted_info	convicted	verdict_unknown	dropped	sel_main_off	sel_main_on	sel_L_off	sel_L_on	n_assoc_off	n_assoc_on	label_off	label_on
48301	8	5	5	0	0	0							cosmic-tagged	cosmic-tagged
48367	6	1	1	0	0	0	19	19	168.2	168.2	22	22	nu-candidate	nu-candidate
48565	8	0		0	0	0							no-bundle	no-bundle
48895	6	2	2	0	0	0							cosmic-tagged	cosmic-tagged
49445	2	0		0	0	0							cosmic-tagged	cosmic-tagged
49467	5	0		0	0	0							cosmic-tagged	cosmic-tagged
49511	3	0		0	0	0							no-beam-flash	no-beam-flash
49709	3	0		0	0	0							no-beam-flash	no-beam-flash
49885	6	0		0	0	0							no-beam-flash	no-beam-flash
49951	6	1	1	0	0	0	16	16	61.3	61.3	12	12	nu-candidate	nu-candidate
50017	13	0		0	0	0							no-beam-flash	no-beam-flash
50303	8	4	4	0	0	0	12	12	44.2	44.2	10	10	nu-candidate	nu-candidate
50523	5	2	2	0	0	0							cosmic-tagged	cosmic-tagged
50743	10	2	2	0	0	0	17	17	2.7	2.7	5	5	nu-candidate	nu-candidate
50765	8	1	1	0	0	0							cosmic-tagged	cosmic-tagged
50787	4	1	1	0	0	0	6	6	49.2	49.2	1	1	nu-candidate	nu-candidate
50809	5	0		0	0	0							no-beam-flash	no-beam-flash
50831	10	1	1	0	0	0	14	14	18.7	18.7	10	10	nu-candidate	nu-candidate
50919	8	2	2	0	0	0							nu-candidate	nu-candidate
51051	9	2	2	0	0	0	19	19	253.1	253.1	4	4	nu-candidate	nu-candidate
51469	4	0		0	0	0							cosmic-tagged	cosmic-tagged
51513	7	2	2	0	0	0	16	16	74.5	74.5	5	5	nu-candidate	nu-candidate
51865	10	5	5	0	0	0	8	8	2.8	2.8	7	7	nu-candidate	nu-candidate
52085	9	0		0	0	0	6	6	139.9	139.9	6	6	nu-candidate	nu-candidate
52195	10	1	1	0	0	0							cosmic-tagged	cosmic-tagged
52613	7	0		0	0	0	2	2	15.2	15.2	31	31	nu-candidate	nu-candidate
52657	6	1	1	0	0	0	23	23	101.0	101.0	5	5	nu-candidate	nu-candidate
52723	6	0		0	0	0	7	7	61.6	61.6	3	3	nu-candidate	nu-candidate
53361	3	2	2	0	0	0	27	27	124.4	124.4	4	4	nu-candidate	nu-candidate
53427	3	0		0	0	0	14	14	195.5	195.5	3	3	nu-candidate	nu-candidate
53493	11	0		0	0	0							no-bundle	no-bundle
53581	8	0		0	0	0							no-bundle	no-bundle
53713	5	3	3	0	0	0	15	15	2.3	2.3	9	9	nu-candidate	nu-candidate
53779	8	0		0	0	0							no-beam-flash	no-beam-flash
53955	9	0		0	0	0							cosmic-tagged	cosmic-tagged
54175	8	1	1	0	0	0	18	18	187.1	187.1	17	17	nu-candidate	nu-candidate
54209	8	0		0	0	0							no-beam-flash	no-beam-flash
54285	10	0		0	0	0							no-beam-flash	no-beam-flash
54341	19	5	5	0	0	0	18	18	80.4	80.4	14	14	nu-candidate	nu-candidate
54351	7	1	1	0	0	0	17	17	68.2	68.2	5	5	nu-candidate	nu-candidate
54505	3	0		0	0	0							no-beam-flash	no-beam-flash
54527	4	0		0	0	0							no-beam-flash	no-beam-flash
55231	9	0		0	0	0							cosmic-tagged	cosmic-tagged
55539	5	2	2	0	0	0	18	18	196.0	196.0	2	2	nu-candidate	nu-candidate
55583	10	1	1	0	0	0							nu-candidate	nu-candidate
55595	9	2	2	0	0	0	8	8	190.4	190.4	6	6	nu-candidate	nu-candidate
55627	8	1	1	0	0	0	22	22	191.7	191.7	5	5	nu-candidate	nu-candidate
55693	5	0		0	0	0							no-bundle	no-bundle
55715	8	3	3	0	0	0	15	15	31.8	31.8	8	8	nu-candidate	nu-candidate
55925	7	1	1	0	0	0							nu-candidate	nu-candidate
55957	13	0		0	0	0	13	13	2.2	2.2	2	2	nu-candidate	nu-candidate
56211	13	0		0	0	0	11	11	23.1	23.1	3	3	nu-candidate	nu-candidate
56243	8	0		0	0	0	9	9	117.2	117.2	25	25	nu-candidate	nu-candidate
56299	10	0		0	0	0							no-beam-flash	no-beam-flash
56353	12	2	2	0	0	0							cosmic-tagged	cosmic-tagged
56387	9	3	3	0	0	0							cosmic-tagged	cosmic-tagged
56463	9	1	1	0	0	0	14	14	429.3	429.3	17	17	no-bundle	no-bundle
56519	6	0		0	0	0							no-bundle	no-bundle
57245	9	0		0	0	0							nu-candidate	nu-candidate
57311	3	0		0	0	0							no-bundle	no-bundle
57333	7	0		0	0	0							no-bundle	no-bundle
57355	7	0		0	0	0							cosmic-tagged	cosmic-tagged
57441	5	1	1	0	0	0	20	20	102.0	102.0	9	9	nu-candidate	nu-candidate
57485	9	4	4	0	0	0	16	16	80.8	80.8	4	4	nu-candidate	nu-candidate
57487	1	0		0	0	0							nu-candidate	nu-candidate
57575	12	0		0	0	0	12	12	285.1	285.1	6	6	nu-candidate	nu-candidate
57661	9	6	6	0	0	0	18	18	122.3	122.3	7	7	nu-candidate	nu-candidate
57883	11	2	2	0	0	0	16	16	97.4	97.4	2	2	nu-candidate	nu-candidate
57903	10	4	4	0	0	0	14	14	97.3	97.3	4	4	nu-candidate	nu-candidate
57949	6	0		0	0	0							no-bundle	no-bundle
58169	13	1	1	0	0	0							nu-candidate	nu-candidate
58211	4	1	1	0	0	0							nu-candidate	nu-candidate
58255	8	2	2	0	0	0							cosmic-tagged	cosmic-tagged
58321	5	0		0	0	0	19	19	177.8	177.8	2	2	nu-candidate	nu-candidate
58343	10	4	4	0	0	0	2	2	1.2	1.2	0	0	cosmic-tagged	cosmic-tagged
58345	5	0		0	0	0	7	7	47.7	47.7	3	3	nu-candidate	nu-candidate
58433	5	0		0	0	0							nu-candidate	nu-candidate
58519	10	0		0	0	0							no-beam-flash	no-beam-flash
58543	8	0		0	0	0							cosmic-tagged	cosmic-tagged
58607	15	2	2	0	0	0	23	23	15.7	15.7	8	8	nu-candidate	nu-candidate
58653	6	0		0	0	0	4	4	94.3	94.3	7	7	nu-candidate	nu-candidate
58667	7	0		0	0	0							nu-candidate	nu-candidate
58711	2	1	1	0	0	0							cosmic-tagged	cosmic-tagged
58717	9	2	2	0	0	0	21	21	21.4	21.4	4	4	nu-candidate	nu-candidate
58755	11	2	2	0	0	0							cosmic-tagged	cosmic-tagged
58777	10	0		0	0	0							no-beam-flash	no-beam-flash
58821	6	2	2	0	0	0							cosmic-tagged	cosmic-tagged
58997	12	0		0	0	0							no-beam-flash	no-beam-flash
59003	8	1	1	1	0	1	19	19	298.4	298.4	4	3	nu-candidate	nu-candidate
59019	9	0		0	0	0							no-beam-flash	no-beam-flash
59025	5	1	1	0	0	0	19	19	299.7	299.7	4	4	nu-candidate	nu-candidate
59047	10	0		0	0	0	2	2	1.1	1.1	0	0	cosmic-tagged	cosmic-tagged
59063	8	1	1	0	0	0							cosmic-tagged	cosmic-tagged
59069	6	0		0	0	0							no-bundle	no-bundle
59085	3	0		0	0	0	3	3	27.1	27.1	2	2	nu-candidate	nu-candidate
59093	4	1	1	0	0	0	15	15	120.1	120.1	14	14	nu-candidate	nu-candidate
59179	5	1	1	0	0	0	15	15	168.6	168.6	4	4	nu-candidate	nu-candidate
59247	7	1	1	0	0	0	15	15	159.4	159.4	2	2	nu-candidate	nu-candidate
