# doc pr/55 case catalogue -- arm=production
case_id	evt	family	kind	label	material	owner_pt	owner_pt_d_cm	cid	seg	run	n_pts	L_cm	fit_len_cm	d_max_cm	d_glob_min_cm	d_own_med_cm	d_own_max_cm	d_glob_med_cm	cov_med_cm	cov_p90_cm	cov_max_cm	uncov_frac3	bbox_diag_cm	spread	dead_frac	q_ratio	q_med	cid_a	cid_b	bridges_clusters	foreign_frac	foreign_cids	kill_base	kill_s5	kill_any	max_ghost_run	strict_dis_cm	branch	nearest_dup_seg	nearest_dup_d_cm	frac_covered_any_asc	attribution	assoc_shower	assoc_track	fit_pts	fit_pts_own_seg	centroid	p_first	p_last
142421-G1	142421	A	ghost_run	IMG-ELSEWHERE			23.6	7	7010	1	38	22.2		10.77	1.03										0.13	12.91		7	7	False	0.03	[53]	True	False	True	20	21.57	prolonged-W										(np.float64(108.3), np.float64(-57.0), np.float64(249.4))	(np.float64(92.9), np.float64(-71.3), np.float64(248.4))
142421-G2	142421	A	ghost_run	DEAD-BRIDGE		shower-no-track+high-dQdx-connector	10.1	7	7010	2	9	7.2		2.67	1.14										0.89	0.78		7	7	False	0.0	[]	True	False	True	0	7.55	prolonged-V										(np.float64(84.0), np.float64(-75.8), np.float64(249.9))	(np.float64(78.6), np.float64(-77.9), np.float64(253.7))
142421-G3	142421	A	ghost_run	IMG-ELSEWHERE			36.5	103	103068	1	6	3.17		1.96	1.18										0.0	nan		103	103	False	0.0	[]	True	False	True	2	2.96	strong										(np.float64(68.5), np.float64(-84.3), np.float64(269.9))	(np.float64(67.8), np.float64(-83.5), np.float64(272.6))
142421-U1	142421	B	uncovered_shower			shower-no-track+high-dQdx-connector	7.1	7	7010	0	3372		64.03						6.6	14.93	18.15	0.8	67.29	1.05																			0	3372	913	104	(np.float64(89.3), np.float64(-76.6), np.float64(246.4))		
142421-U3	142421	B	uncovered_shower				63.5	53	53031	0	377		1.38						55.7	77.9	81.14	0.95	83.32	60.47																			377	0	5	3	(np.float64(49.2), np.float64(-80.1), np.float64(291.7))		
142421-U4	142421	B	uncovered_shower				37.8	51	104083	0	124		10.77						30.76	35.62	37.19	0.88	38.9	3.61																			124	0	4	19	(np.float64(107.0), np.float64(-79.0), np.float64(211.4))		
142421-U2	142421	B	uncovered_shower				19.6	43	104092	0	927		13.06						12.67	58.12	65.74	0.95	104.13	7.97																			927	0	5	23	(np.float64(79.9), np.float64(-80.1), np.float64(257.5))		
142421-P2	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	True		178.1	7	7011	0	35		20.54			0.41	0.77	0.41							0.06		7979.0												7018	7.01	1.0	MISATTRIBUTED-SHOWER-ID(seg=7109)					(np.float64(98.4), np.float64(-112.0), np.float64(416.5))		
142421-P5	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		172.7	7	7018	0	14		7.91			0.37	0.61	0.37							0.0		0.0												7011	7.01	1.0	MISATTRIBUTED-SHOWER-ID(seg=7109)					(np.float64(98.5), np.float64(-116.2), np.float64(409.9))		
142421-P1	142421	C	phantom_segment	PAINT-ONLY	True		52.2	7	7020	0	109		64.89			0.25	0.47	0.25							0.08		1912.0												7019	23.75	0.08	PARTIALLY-COVERED(seg=7019)					(np.float64(137.4), np.float64(-54.7), np.float64(229.7))		
142421-P7	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		42.1	7	7110	0	11		6.08			0.4	0.5	0.4							0.0		1869.0												104108	4.45	1.0	MISATTRIBUTED-SHOWER-ID(seg=7109)					(np.float64(117.8), np.float64(-70.3), np.float64(212.5))		
142421-P22	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		32.5	43	43021	0	3		1.18			0.31	0.42	0.31							0.0		3543.0												102062	2.94	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(71.5), np.float64(-86.7), np.float64(265.0))		
142421-P30	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		25.5	45	45023	0	2		0.65			0.42	0.64	0.42							0.0		275.0												103064	5.38	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(74.8), np.float64(-79.1), np.float64(262.5))		
142421-P31	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		33.2	46	46024	0	2		0.74			0.25	0.26	0.25							1.0		1729.0												102062	6.69	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(77.7), np.float64(-87.0), np.float64(269.6))		
142421-P32	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		215.9	47	47025	0	2		0.83			0.23	0.27	0.23							0.0		3267.0												54032	33.49	1.0	MISATTRIBUTED-SHOWER-ID(seg=7109)					(np.float64(79.2), np.float64(-153.8), np.float64(442.4))		
142421-P33	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		34.4	48	48026	0	2		0.16			0.31	0.32	0.31							0.0		717.0												50028	9.11	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(80.9), np.float64(-99.6), np.float64(259.0))		
142421-P15	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False	shower-no-track+high-dQdx-connector	14.9	49	49027	0	5		2.2			0.26	0.31	0.26							0.8		2859.0												77055	13.51	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(83.9), np.float64(-82.3), np.float64(250.0))		
142421-P34	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		30.4	50	50028	0	2		0.67			0.12	0.17	0.12							0.0		1133.0												79057	6.19	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(87.0), np.float64(-93.8), np.float64(262.5))		
142421-P35	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		53.9	51	51029	0	2		0.46			0.34	0.37	0.34							0.0		1470.0												104083	32.6	1.0	MISATTRIBUTED-SHOWER-ID(seg=104083)					(np.float64(89.6), np.float64(-95.1), np.float64(196.0))		
142421-P36	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		21.0	52	52030	0	2		0.83			0.28	0.3	0.28							0.0		2099.0												53031	11.46	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(89.8), np.float64(-72.4), np.float64(264.6))		
142421-P37	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		197.5	54	54032	0	2		0.54			0.25	0.29	0.25							0.0		1384.0												7011	21.86	1.0	MISATTRIBUTED-SHOWER-ID(seg=7109)					(np.float64(92.9), np.float64(-124.4), np.float64(433.5))		
142421-P23	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		173.2	55	55033	0	3		1.35			0.0	0.48	0.0							0.0		972.0												7011	23.07	1.0	MISATTRIBUTED-SHOWER-ID(seg=7109)					(np.float64(94.4), np.float64(-89.1), np.float64(415.8))		
142421-P38	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		21.6	56	56034	0	2		0.21			0.21	0.29	0.21							0.0		602.0												104092	12.81	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(101.1), np.float64(-79.8), np.float64(228.3))		
142421-P24	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		140.1	57	57035	0	3		0.98			0.17	0.18	0.17							0.0		456.0												74052	24.07	1.0	MISATTRIBUTED-SHOWER-ID(seg=7109)					(np.float64(105.6), np.float64(-98.3), np.float64(380.0))		
142421-P25	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		44.6	59	59037	0	3		1.1			0.26	0.27	0.26							0.0		2974.0												102062	10.84	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(63.2), np.float64(-95.5), np.float64(269.2))		
142421-P18	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		46.4	60	60038	0	4		2.05			0.42	0.57	0.42							0.0		1390.0												82060	9.88	1.0	MISATTRIBUTED-SHOWER-ID(seg=53031)					(np.float64(63.9), np.float64(-77.0), np.float64(281.7))		
142421-P39	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		37.0	61	61039	0	2		0.27			0.26	0.27	0.26							0.0		264.0												78056	6.02	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(59.7), np.float64(-78.3), np.float64(264.0))		
142421-P40	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		55.5	62	62040	0	2		0.17			0.22	0.26	0.22							0.0		1153.0												105093	6.57	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(56.4), np.float64(-83.0), np.float64(286.3))		
142421-P41	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		56.5	65	65043	0	2		0.76			0.34	0.37	0.34							0.0		821.0												62040	6.59	1.0	MISATTRIBUTED-SHOWER-ID(seg=53031)					(np.float64(50.8), np.float64(-83.0), np.float64(282.8))		
142421-P42	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		64.9	68	68046	0	2		0.45			0.15	0.22	0.15							0.0		392.0												70048	7.06	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(45.0), np.float64(-87.1), np.float64(287.8))		
142421-P43	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		218.7	69	69047	0	2		0.46			0.3	0.31	0.3							0.0		1851.0												67045	47.34	1.0	MISATTRIBUTED-SHOWER-ID(seg=7109)					(np.float64(138.1), np.float64(-134.6), np.float64(446.9))		
142421-P44	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		69.5	70	70048	0	2		0.91			0.31	0.4	0.31							0.0		3507.0												68046	7.06	1.0	MISATTRIBUTED-SHOWER-ID(seg=53031)					(np.float64(39.1), np.float64(-83.5), np.float64(289.6))		
142421-P45	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		164.0	74	74052	0	2		0.34			0.29	0.31	0.29							0.0		1279.0												7018	21.51	1.0	MISATTRIBUTED-SHOWER-ID(seg=7109)					(np.float64(112.2), np.float64(-101.0), np.float64(403.1))		
142421-P26	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		44.1	76	76054	0	3		1.11			0.0	0.3	0.0							0.0		434.0												82060	10.55	1.0	MISATTRIBUTED-SHOWER-ID(seg=53031)					(np.float64(67.3), np.float64(-65.4), np.float64(281.5))		
142421-P27	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		20.4	77	77055	0	3		0.98			0.17	0.32	0.17							0.0		865.0												45023	10.41	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(72.2), np.float64(-75.5), np.float64(253.1))		
142421-P46	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		35.7	78	78056	0	2		0.67			0.28	0.3	0.28							0.0		436.0												61039	6.02	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(58.2), np.float64(-73.6), np.float64(260.5))		
142421-P47	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		31.9	79	79057	0	2		0.24			0.15	0.16	0.15							0.0		0.0												50028	6.19	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(88.2), np.float64(-90.8), np.float64(267.9))		
142421-P28	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		53.2	82	82060	0	3		1.03			0.42	0.44	0.42							0.0		1428.0												60038	9.88	1.0	MISATTRIBUTED-SHOWER-ID(seg=53031)					(np.float64(62.2), np.float64(-70.6), np.float64(289.3))		
142421-P19	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		69.0	83	83061	0	4		1.56			0.37	0.47	0.37							0.0		3760.0												105093	8.89	1.0	MISATTRIBUTED-SHOWER-ID(seg=53031)					(np.float64(47.7), np.float64(-78.4), np.float64(298.0))		
142421-P29	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		35.3	102	102062	0	3		1.28			0.38	0.47	0.38							0.0		1285.0												43021	2.94	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(71.2), np.float64(-88.2), np.float64(267.8))		
142421-P8	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		30.9	103	103064	0	10		5.57			0.4	0.53	0.4							0.0		3159.0												103066	2.36	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(70.6), np.float64(-80.2), np.float64(265.9))		
142421-P11	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		34.5	103	103066	0	7		3.87			0.41	0.44	0.41							0.0		349.0												103068	2.28	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(68.6), np.float64(-83.0), np.float64(267.9))		
142421-P9	142421	C	phantom_segment	PAINT-ONLY	False		36.9	103	103068	0	9		4.97			1.32	1.96	1.32							0.0		0.0												103070	2.23	0.56	PARTIALLY-COVERED(seg=104092)					(np.float64(68.2), np.float64(-84.0), np.float64(270.4))		
142421-P16	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		38.3	103	103070	0	5		2.45			0.67	1.18	0.67							0.0		2075.0												103071	1.25	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(67.1), np.float64(-82.8), np.float64(272.0))		
142421-P20	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		39.2	103	103071	0	4		2.12			0.23	0.42	0.23							0.0		4589.0												103070	1.25	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(66.1), np.float64(-82.6), np.float64(272.5))		
142421-P14	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		38.7	103	103073	0	6		2.74			0.31	0.49	0.31							0.0		3876.0												103070	1.34	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(65.2), np.float64(-82.5), np.float64(271.1))		
142421-P12	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		36.3	103	103074	0	7		3.4			0.34	0.6	0.34							0.0		0.0												103076	2.31	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(67.4), np.float64(-80.3), np.float64(270.6))		
142421-P10	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		34.4	103	103076	0	9		4.64			0.38	0.48	0.38							0.0		2070.0												103077	2.24	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(69.4), np.float64(-78.7), np.float64(270.2))		
142421-P13	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		31.0	103	103077	0	7		3.83			0.3	0.45	0.3							0.0		982.0												103076	2.24	1.0	MISATTRIBUTED-SHOWER-ID(seg=104092)					(np.float64(70.9), np.float64(-77.1), np.float64(267.4))		
142421-P4	142421	C	phantom_segment	MISATTRIBUTED-SHOWER-ID	False		61.4	105	105093	0	15		8.69			0.34	0.43	0.34							0.0		3477.0												62040	6.57	1.0	MISATTRIBUTED-SHOWER-ID(seg=53031)					(np.float64(50.9), np.float64(-81.5), np.float64(290.1))		
