# L_cm	f_tab_uB	f_emp_uB	g	f_tab_sbnd	f_target_sbnd	f_fit_sbnd
# fit: c0=0.882622 c1=1.058689 pivot=18.0 power=0.474500 rms=1.458e-03
# norms: uB 43000 e/cm, SBND 48000 e/cm (placeholder)
4.000	2.04331	2.68879	1.31590	2.31316	3.04387	3.04394
4.057	2.03158	2.67796	1.31817	2.29703	3.02788	3.02939
4.115	2.03158	2.66720	1.31287	2.29703	3.01571	3.01494
4.174	2.01984	2.65650	1.31521	2.28091	2.99987	3.00059
4.234	2.01984	2.64587	1.30994	2.28091	2.98786	2.98634
4.295	2.00810	2.63530	1.31234	2.26479	2.97216	2.97218
4.357	1.99636	2.62480	1.31479	2.24866	2.95652	2.95812
4.419	1.99636	2.61436	1.30956	2.24866	2.94476	2.94415
4.482	1.98462	2.60398	1.31208	2.23254	2.92926	2.93028
4.547	1.98462	2.59366	1.30688	2.23254	2.91765	2.91650
4.612	1.97289	2.58340	1.30945	2.21641	2.90229	2.90281
4.678	1.96115	2.57321	1.31209	2.20029	2.88699	2.88921
4.745	1.96115	2.56308	1.30693	2.20029	2.87562	2.87571
4.813	1.94941	2.55301	1.30963	2.18417	2.86045	2.86230
4.882	1.93767	2.54300	1.31240	2.16804	2.84534	2.84897
4.952	1.92834	2.53305	1.31359	2.15534	2.83122	2.83574
5.023	1.92834	2.52316	1.30846	2.15534	2.82016	2.82260
5.095	1.91902	2.51333	1.30969	2.14263	2.80619	2.80954
5.168	1.91210	2.50355	1.30932	2.13333	2.79322	2.79657
5.242	1.91210	2.49384	1.30424	2.13333	2.78238	2.78369
5.317	1.90518	2.48418	1.30391	2.12404	2.76956	2.77090
5.393	1.89826	2.47459	1.30361	2.11475	2.75680	2.75819
5.471	1.89134	2.46505	1.30333	2.10546	2.74411	2.74557
5.549	1.89134	2.45557	1.29832	2.10546	2.73355	2.73303
5.628	1.88443	2.44614	1.29808	2.09616	2.72099	2.72058
5.709	1.87751	2.43677	1.29788	2.08687	2.70850	2.70821
5.791	1.87059	2.42746	1.29770	2.07758	2.69607	2.69592
5.874	1.86367	2.41820	1.29755	2.06828	2.68370	2.68372
5.958	1.85676	2.40900	1.29743	2.05899	2.67139	2.67160
6.044	1.85676	2.39986	1.29250	2.05899	2.66125	2.65956
6.130	1.84984	2.39077	1.29242	2.04970	2.64907	2.64760
6.218	1.84292	2.38173	1.29237	2.04041	2.63696	2.63572
6.307	1.83600	2.37275	1.29235	2.03111	2.62490	2.62392
6.398	1.82908	2.36382	1.29235	2.02182	2.61291	2.61221
6.489	1.82217	2.35495	1.29239	2.01253	2.60097	2.60057
6.582	1.81525	2.34613	1.29246	2.00323	2.58909	2.58900
6.677	1.80833	2.33736	1.29255	1.99394	2.57727	2.57752
6.772	1.80141	2.32864	1.29268	1.98465	2.56551	2.56611
6.869	1.79449	2.31998	1.29283	1.97536	2.55381	2.55479
6.968	1.78865	2.31137	1.29224	1.96755	2.54256	2.54353
7.068	1.78280	2.30281	1.29168	1.95975	2.53137	2.53235
7.169	1.77803	2.29430	1.29036	1.95343	2.52064	2.52125
7.272	1.77326	2.28585	1.28907	1.94711	2.50996	2.51022
7.376	1.76848	2.27744	1.28779	1.94080	2.49935	2.49927
7.482	1.76371	2.26909	1.28654	1.93448	2.48879	2.48839
7.589	1.75894	2.26078	1.28531	1.92816	2.47829	2.47758
7.698	1.75416	2.25253	1.28410	1.92185	2.46785	2.46685
7.808	1.74939	2.24432	1.28292	1.91553	2.45747	2.45619
7.920	1.74462	2.23616	1.28175	1.90922	2.44714	2.44560
8.033	1.73984	2.22806	1.28061	1.90290	2.43687	2.43508
8.149	1.73507	2.22000	1.27949	1.89658	2.42665	2.42463
8.265	1.72552	2.21199	1.28192	1.88395	2.41508	2.41425
8.384	1.72075	2.20403	1.28085	1.87763	2.40497	2.40395
8.504	1.71598	2.19611	1.27980	1.87132	2.39492	2.39371
8.626	1.71120	2.18825	1.27878	1.86500	2.38492	2.38354
8.750	1.70643	2.18043	1.27777	1.85868	2.37497	2.37344
8.875	1.69688	2.17265	1.28038	1.84605	2.36365	2.36341
