# per-point sample; dqdx in e/cm, rr/x/y/z/dx in cm
# drift_cm = 202.05 - |x| (anode at |x|=202.05); drift_us = drift_cm / 0.1563
particle	event	block	rr	dqdx	dx	x	y	z	drift_cm	drift_us
proton	59377	70	25.975	106831.9	0.5671	-141.89	-102.44	3.30	60.16	384.9
proton	59377	70	25.441	102611.2	0.5341	-141.95	-102.19	3.76	60.10	384.5
proton	59377	70	24.907	113595.8	0.5420	-142.01	-101.93	4.23	60.04	384.1
proton	59377	70	24.357	125919.8	0.6081	-142.08	-101.69	4.72	59.97	383.7
proton	59377	70	23.690	111491.4	0.5995	-142.08	-101.38	5.31	59.97	383.7
proton	59377	70	23.158	111761.7	0.5328	-142.20	-101.16	5.78	59.85	382.9
proton	59377	70	22.625	117079.9	0.5113	-142.31	-100.94	6.25	59.74	382.2
proton	59377	70	22.135	137697.2	0.5351	-142.36	-100.69	6.67	59.69	381.9
proton	59377	70	21.555	140735.2	0.5373	-142.38	-100.47	7.20	59.67	381.8
proton	59377	70	21.060	129460.7	0.6128	-142.51	-100.37	7.67	59.54	381.0
proton	59377	70	20.329	110812.0	0.6954	-142.58	-100.04	8.32	59.47	380.5
proton	59377	70	19.670	118719.9	0.7185	-142.66	-99.73	8.90	59.39	380.0
proton	59377	70	18.892	111651.3	0.6387	-142.66	-99.38	9.59	59.39	380.0
proton	59377	70	18.392	125182.7	0.4998	-142.77	-99.19	10.04	59.28	379.2
proton	59377	70	17.892	139121.2	0.4951	-142.89	-99.01	10.49	59.16	378.5
proton	59377	70	17.402	142232.1	0.4904	-142.94	-98.77	10.92	59.11	378.2
proton	59377	70	16.912	137795.7	0.5801	-143.00	-98.54	11.34	59.05	377.8
proton	59377	70	16.242	125483.6	0.6032	-142.96	-98.28	11.96	59.09	378.1
proton	59377	70	15.705	125721.3	0.5366	-143.09	-98.09	12.45	58.96	377.3
proton	59377	70	15.168	123066.9	0.5402	-143.22	-97.91	12.93	58.83	376.4
proton	59377	70	14.625	133117.4	0.5920	-143.26	-97.63	13.39	58.79	376.1
proton	59377	70	13.984	132862.8	0.6287	-143.31	-97.35	13.97	58.74	375.8
proton	59377	70	13.367	138953.6	0.5920	-143.34	-97.02	14.49	58.71	375.6
proton	59377	70	12.800	133256.7	0.6614	-143.50	-96.82	14.99	58.55	374.6
proton	59377	70	12.045	128751.6	0.7098	-143.55	-96.43	15.64	58.50	374.3
proton	59377	70	11.381	139364.0	0.7323	-143.58	-96.06	16.19	58.47	374.1
proton	59377	70	10.580	145919.5	0.7822	-143.71	-95.78	16.93	58.34	373.2
proton	59377	70	9.816	143326.2	0.7735	-143.85	-95.41	17.59	58.20	372.4
proton	59377	70	9.033	147477.4	0.7552	-143.91	-95.02	18.26	58.14	372.0
proton	59377	70	8.306	153431.3	0.6585	-143.95	-94.71	18.92	58.10	371.7
proton	59377	70	7.716	157477.8	0.5552	-144.13	-94.45	19.42	57.92	370.5
proton	59377	70	7.196	155701.7	0.5205	-144.16	-94.18	19.86	57.89	370.4
proton	59377	70	6.675	151198.1	0.6199	-144.19	-93.91	20.30	57.86	370.2
proton	59377	70	5.956	147121.4	0.7980	-144.20	-93.61	20.96	57.85	370.1
proton	59377	70	5.079	175282.7	0.7200	-144.45	-93.39	21.77	57.60	368.5
proton	59377	70	4.516	187404.5	0.5887	-144.53	-93.17	22.28	57.52	368.0
proton	59377	70	3.902	179604.3	0.5509	-144.53	-92.86	22.81	57.52	368.0
proton	59377	70	3.414	187383.1	0.4878	-144.66	-92.65	23.23	57.39	367.2
proton	59377	70	2.926	198375.1	0.4996	-144.79	-92.44	23.65	57.26	366.3
proton	59377	70	2.415	211142.7	0.5115	-144.86	-92.20	24.10	57.19	365.9
proton	59377	70	1.903	214939.2	0.5165	-144.93	-91.96	24.54	57.12	365.4
proton	59377	70	1.382	219211.4	0.5692	-144.95	-91.73	25.01	57.10	365.3
proton	59377	70	0.765	245125.7	0.6909	-145.04	-91.42	25.54	57.01	364.7
proton	59377	70	0.000	306751.6	0.6824	-145.05	-91.08	26.22	57.00	364.7
proton	61313	180	39.804	52983.0	0.6721	-201.43	77.88	126.36	0.62	4.0
proton	61313	180	39.060	51798.7	0.6489	-201.40	77.44	126.96	0.65	4.2
proton	61313	180	38.506	120166.7	0.6774	-201.31	77.07	127.37	0.74	4.7
proton	61313	180	37.705	126811.1	0.6875	-201.03	76.62	127.97	1.02	6.5
proton	61313	180	37.131	131818.1	0.5425	-200.79	76.27	128.35	1.26	8.1
proton	61313	180	36.620	115425.9	0.5133	-200.61	75.92	128.67	1.44	9.2
proton	61313	180	36.105	136429.7	0.5082	-200.35	75.68	129.06	1.70	10.8
proton	61313	180	35.604	136722.2	0.5019	-200.16	75.39	129.41	1.89	12.1
proton	61313	180	35.101	144005.6	0.6015	-199.99	75.05	129.74	2.06	13.2
proton	61313	180	34.401	106224.4	0.5972	-199.65	74.67	130.22	2.40	15.4
proton	61313	180	33.907	74643.0	0.4942	-199.44	74.26	130.39	2.61	16.7
proton	61313	180	33.412	75227.9	0.5685	-199.23	73.85	130.57	2.82	18.1
proton	61313	180	32.770	130347.7	0.6840	-199.14	73.65	131.17	2.91	18.6
proton	61313	180	32.044	103000.2	0.6222	-198.90	73.05	131.51	3.15	20.2
proton	61313	180	31.525	146475.2	0.5380	-198.65	72.82	131.91	3.40	21.8
proton	61313	180	30.968	139735.9	0.6442	-198.41	72.54	132.32	3.64	23.3
proton	61313	180	30.237	135463.5	0.7073	-198.09	72.10	132.81	3.96	25.3
proton	61313	180	29.554	41437.0	0.6901	-198.13	71.60	133.27	3.92	25.1
proton	61313	180	28.857	15712.2	0.6416	-198.06	71.25	133.87	3.99	25.6
proton	61313	180	28.271	36704.7	0.7576	-197.58	70.98	134.09	4.47	28.6
proton	61313	180	27.341	139949.9	0.8889	-196.97	70.50	134.59	5.08	32.5
proton	61313	180	26.493	149752.1	0.7368	-196.64	70.06	135.24	5.41	34.6
proton	61313	180	25.868	113019.5	0.6504	-196.40	69.66	135.65	5.65	36.2
proton	61313	180	25.192	123261.3	0.6065	-196.19	69.12	136.00	5.86	37.5
proton	61313	180	24.655	135286.0	0.5273	-195.98	68.80	136.38	6.07	38.8
proton	61313	180	24.138	86345.9	0.6229	-195.72	68.51	136.72	6.33	40.5
proton	61313	180	23.409	122978.8	0.8419	-195.61	67.84	136.97	6.44	41.2
proton	61313	180	22.454	147590.8	0.7814	-195.14	67.76	137.80	6.91	44.2
proton	61313	180	21.846	121797.8	0.6388	-194.98	67.29	138.15	7.07	45.2
proton	61313	180	21.176	113538.4	0.6993	-194.72	66.78	138.49	7.33	46.9
proton	61313	180	20.448	103166.8	0.6697	-194.45	66.32	138.99	7.60	48.6
proton	61313	180	19.837	119677.2	0.5555	-194.22	65.94	139.41	7.83	50.1
proton	61313	180	19.337	161534.7	0.5313	-194.05	65.59	139.73	8.00	51.2
proton	61313	180	18.774	145424.5	0.6003	-193.78	65.19	140.01	8.27	52.9
proton	61313	180	18.136	133490.4	0.5598	-193.60	64.76	140.45	8.45	54.1
proton	61313	180	17.655	135218.3	0.5176	-193.38	64.47	140.76	8.67	55.5
proton	61313	180	17.101	139433.5	0.5327	-193.11	64.14	141.12	8.94	57.2
proton	61313	180	16.589	137878.2	0.7274	-192.95	63.81	141.48	9.10	58.2
proton	61313	180	15.646	159050.7	0.7377	-192.54	63.28	142.14	9.51	60.8
proton	61313	180	15.114	127666.1	0.6028	-192.34	62.94	142.50	9.71	62.2
proton	61313	180	14.440	128442.5	0.5797	-192.10	62.44	142.88	9.95	63.6
proton	61313	180	13.955	146276.5	0.4858	-191.89	62.21	143.25	10.16	65.0
proton	61313	180	13.469	158221.6	0.6012	-191.68	61.98	143.62	10.37	66.3
proton	61313	180	12.752	142637.1	0.8091	-191.48	61.51	144.12	10.57	67.6
proton	61313	180	11.851	129688.3	0.7756	-191.05	61.00	144.73	11.00	70.4
proton	61313	180	11.201	158574.6	0.5837	-190.87	60.52	145.13	11.18	71.6
proton	61313	180	10.683	155907.9	0.6408	-190.70	60.21	145.50	11.35	72.6
proton	61313	180	9.919	81174.5	0.7198	-190.41	59.69	145.99	11.64	74.5
proton	61313	180	9.244	172607.3	0.6680	-190.15	59.34	146.50	11.90	76.1
proton	61313	180	8.583	159158.2	0.6383	-189.92	58.92	146.95	12.13	77.6
proton	61313	180	7.967	152192.6	0.5622	-189.69	58.50	147.35	12.36	79.1
proton	61313	180	7.459	163526.3	0.5283	-189.44	58.28	147.73	12.61	80.7
proton	61313	180	6.911	170988.5	0.5485	-189.24	57.89	148.07	12.81	81.9
proton	61313	180	6.362	167112.3	0.7498	-189.05	57.51	148.41	13.00	83.2
proton	61313	180	5.411	178206.2	0.7628	-188.63	56.98	149.08	13.42	85.9
proton	61313	180	4.836	187790.9	0.5578	-188.44	56.58	149.45	13.61	87.1
proton	61313	180	4.295	169172.7	0.5685	-188.17	56.30	149.82	13.88	88.8
proton	61313	180	3.699	185541.6	0.6189	-187.93	55.88	150.17	14.12	90.3
proton	61313	180	3.057	204265.9	0.6669	-187.67	55.49	150.61	14.38	92.0
proton	61313	180	2.366	223926.2	0.6349	-187.39	55.11	151.12	14.66	93.8
proton	61313	180	1.788	241556.4	0.5779	-187.16	54.75	151.49	14.89	95.3
proton	61313	180	1.210	237383.4	0.6095	-186.92	54.38	151.87	15.13	96.8
proton	61313	180	0.569	254750.0	0.6049	-186.65	54.00	152.32	15.40	98.5
proton	61313	180	0.000	289821.0	0.5844	-186.41	53.76	152.77	15.64	100.1
proton	72828	70	9.745	65324.4	0.7491	-201.09	-186.26	32.32	0.96	6.1
proton	72828	70	8.847	112734.6	0.7238	-201.08	-185.84	33.12	0.97	6.2
proton	72828	70	8.298	168841.5	0.5495	-200.78	-185.65	33.54	1.27	8.1
proton	72828	70	7.748	179016.0	0.5695	-200.48	-185.46	33.96	1.57	10.0
proton	72828	70	7.159	174915.0	0.7184	-200.15	-185.21	34.38	1.90	12.1
proton	72828	70	6.311	170504.1	0.6676	-199.70	-184.88	35.01	2.35	15.0
proton	72828	70	5.823	204245.9	0.4879	-199.42	-184.72	35.38	2.63	16.8
proton	72828	70	5.336	186128.6	0.5586	-199.14	-184.57	35.75	2.91	18.6
proton	72828	70	4.706	215813.6	0.6432	-198.77	-184.32	36.19	3.28	21.0
proton	72828	70	4.049	206701.0	0.6069	-198.41	-184.09	36.69	3.64	23.3
proton	72828	70	3.493	207646.7	0.6185	-198.07	-183.93	37.11	3.98	25.5
proton	72828	70	2.812	219398.7	0.5947	-197.75	-183.66	37.64	4.30	27.5
proton	72828	70	2.303	249491.2	0.5090	-197.47	-183.50	38.03	4.58	29.3
proton	72828	70	1.794	238292.0	0.6108	-197.18	-183.33	38.42	4.87	31.1
proton	72828	70	1.082	260063.0	0.6467	-196.91	-182.95	38.95	5.14	32.9
proton	72828	70	0.501	276311.3	0.5408	-196.59	-182.81	39.42	5.46	34.9
proton	72828	70	0.000	231475.0	0.5504	-196.32	-182.67	39.82	5.73	36.7
proton	168388	60	12.262	139131.5	0.7183	-183.35	28.10	1.02	18.70	119.6
proton	168388	60	11.426	134368.4	0.6778	-182.95	28.43	1.67	19.10	122.2
proton	168388	60	10.907	148428.8	0.5597	-182.68	28.59	2.09	19.37	123.9
proton	168388	60	10.306	150105.6	0.5570	-182.41	28.77	2.59	19.64	125.7
