# clean stopping-track dQ/dx-vs-rr sample, MCP2025C reco1
# roots: work-stmcamp-d66old
# cuts: npts>=40 nbin>=6 rrmin<=2.0 rrmax>=22.0 contrast>=2.0 chi2<=2.5 shape_rms<=0.1
# k_<h> = free scale needed against hypothesis h; rms_<h> = shape residual after taking k out
particle	root	event	block	status	npts	L_cm	contrast	chi2	k_muon	rms_muon	k_proton	rms_proton	mean_absx_cm
muon	work-stmcamp-d66old	167200	160	0	74	46.0	2.03	1.33	1.067	8.1	0.641	6.6	104.1
muon	work-stmcamp-d66old	167398	30	0	289	180.3	2.12	1.19	1.053	9.6	0.635	9.0	152.4
muon	work-stmcamp-d66old	169598	180	2	151	92.5	2.63	1.17	1.061	6.1	0.638	8.6	125.5
muon	work-stmcamp-d66old	171050	40	0	168	105.4	2.39	2.15	0.996	9.3	0.602	5.7	147.4
muon	work-stmcamp-d66old	172788	260	0	463	293.5	2.92	2.06	1.099	8.3	0.663	7.4	173.2
muon	work-stmcamp-d66old	174422	130	0	618	392.2	2.32	1.38	1.047	8.5	0.632	5.8	40.5
muon	work-stmcamp-d66old	278794	70	7	313	197.1	2.86	1.19	1.047	2.1	0.633	5.8	130.3
muon	work-stmcamp-d66old	281095	200	0	736	469.4	2.37	1.51	1.028	6.1	0.618	5.1	31.8
muon	work-stmcamp-d66old	281148	130	0	54	32.5	2.28	1.47	1.033	3.5	0.611	5.0	8.2
muon	work-stmcamp-d66old	281857	190	0	177	112.8	2.30	1.49	1.044	8.4	0.630	9.0	113.6
muon	work-stmcamp-d66old	282033	130	0	300	185.0	2.58	2.32	1.019	8.7	0.615	4.8	179.1
muon	work-stmcamp-d66old	283817	140	0	185	117.8	2.47	1.69	1.031	6.4	0.621	7.8	76.5
muon	work-stmcamp-d66old	283905	40	0	179	112.4	2.36	1.61	0.997	7.1	0.601	5.6	171.3
muon	work-stmcamp-d66old	283969	220	0	610	394.6	2.46	1.47	1.010	10.0	0.609	6.9	113.7
muon	work-stmcamp-d66old	284367	40	0	68	42.9	2.21	2.11	1.056	8.0	0.633	11.5	77.8
muon	work-stmcamp-d66old	285080	190	0	519	328.5	3.00	1.49	0.988	8.1	0.596	8.4	90.8
muon	work-stmcamp-d66old	285999	220	0	42	26.5	2.55	1.36	1.009	6.9	0.594	8.7	189.2
muon	work-stmcamp-d66old	286065	30	0	394	249.5	2.66	1.79	1.011	8.4	0.610	7.6	153.0
muon	work-stmcamp-d66old	286631	70	0	326	207.8	2.45	1.31	1.022	7.7	0.616	5.4	159.6
muon	work-stmcamp-d66old	287007	120	0	159	101.1	2.54	1.52	0.989	6.9	0.597	4.6	165.5
muon	work-stmcamp-d66old	287181	140	0	96	60.4	2.82	1.31	1.031	6.5	0.619	5.7	149.1
muon	work-stmcamp-d66old	288358	70	0	456	291.4	2.27	1.57	1.001	5.4	0.603	5.3	119.4
muon	work-stmcamp-d66old	288639	80	2	225	142.4	2.26	1.63	1.013	8.6	0.610	5.1	166.8
muon	work-stmcamp-d66old	289647	90	0	189	121.7	2.36	1.97	0.992	7.6	0.598	4.4	181.2
muon	work-stmcamp-d66old	290844	30	0	326	210.3	2.50	1.20	1.047	6.9	0.631	5.0	29.1
muon	work-stmcamp-d66old	350781	80	0	263	166.3	2.52	1.26	1.036	7.1	0.625	4.2	127.3
muon	work-stmcamp-d66old	351815	250	0	86	54.0	2.51	1.86	1.005	5.6	0.605	5.4	121.9
muon	work-stmcamp-d66old	353729	230	0	297	192.4	2.32	1.55	1.106	8.4	0.666	5.9	164.5
