# doc 55 section 11: the d55ton MUONS + the doc-62 OWNER-identified PROTONS (d59k)
# muon rows are copied verbatim from sample_points.tsv; its single proton
# (289343 blk 90) is dropped there and re-read from d59k, so it is counted once.
# per-point sample; dqdx in e/cm, rr/x/y/z/dx in cm
# drift_cm = 202.05 - |x|; drift_us = drift_cm / 0.1563
particle	event	block	rr	dqdx	dx	x	y	z	drift_cm	drift_us
muon	285999	90	392.307	24993.3	0.5735	-103.64	199.24	286.19	98.41	629.6
muon	285999	90	391.760	41375.6	0.6572	-103.80	198.72	286.21	98.25	628.6
muon	285999	90	390.993	69395.9	0.6834	-103.82	197.95	286.22	98.23	628.5
muon	285999	90	390.393	88309.1	0.5994	-103.74	197.37	286.33	98.31	629.0
muon	285999	90	389.794	91769.7	0.5616	-103.65	196.79	286.44	98.40	629.6
muon	285999	90	389.270	84818.9	0.6293	-103.79	196.35	286.18	98.26	628.7
muon	285999	90	388.535	64505.0	0.6960	-103.81	195.62	286.20	98.24	628.6
muon	285999	90	387.878	45663.9	0.6413	-103.80	194.96	286.21	98.25	628.6
muon	285999	90	387.253	24052.0	0.6007	-103.80	194.34	286.21	98.25	628.6
muon	285999	90	386.677	23872.6	0.5542	-103.76	193.76	286.18	98.29	628.9
muon	285999	90	386.144	30928.5	0.5524	-103.65	193.24	286.17	98.40	629.5
muon	285999	90	385.572	36458.4	0.5415	-103.51	192.71	286.03	98.54	630.5
muon	285999	90	385.061	29829.6	0.5236	-103.50	192.20	285.96	98.55	630.5
muon	285999	90	384.525	21569.3	0.5365	-103.46	191.67	285.87	98.59	630.8
muon	285999	90	383.988	24632.2	0.5168	-103.41	191.15	285.79	98.64	631.1
muon	285999	90	383.491	33827.9	0.5536	-103.28	190.69	285.63	98.77	631.9
muon	285999	90	382.881	41446.0	0.6937	-103.10	190.18	285.36	98.95	633.1
muon	285999	90	382.104	37886.2	0.6835	-102.95	189.44	285.15	99.10	634.0
muon	285999	90	381.514	42255.5	0.5644	-102.84	188.88	285.04	99.21	634.7
muon	285999	90	380.975	42541.9	0.5146	-102.84	188.34	285.00	99.21	634.7
muon	285999	90	380.485	37615.6	0.5726	-102.79	187.85	284.94	99.26	635.0
muon	285999	90	379.830	35123.0	0.5942	-102.63	187.24	284.76	99.42	636.1
muon	285999	90	379.296	44272.7	0.6092	-102.55	186.73	284.66	99.50	636.6
muon	285999	90	378.611	62359.7	0.7952	-102.46	186.05	284.56	99.59	637.2
muon	285999	90	377.706	49169.8	0.9084	-102.36	185.16	284.45	99.69	637.8
muon	285999	90	376.794	44975.6	0.7755	-102.26	184.27	284.32	99.79	638.5
muon	285999	90	376.155	54876.8	0.6512	-102.14	183.65	284.19	99.91	639.2
muon	285999	90	375.492	43955.5	0.6952	-102.13	182.99	284.19	99.92	639.3
muon	285999	90	374.764	37670.3	0.6745	-102.04	182.28	284.05	100.01	639.9
muon	285999	90	374.143	50939.9	0.6002	-101.93	181.69	283.90	100.12	640.6
muon	285999	90	373.564	46954.6	0.5790	-101.80	181.14	283.76	100.25	641.4
muon	285999	90	372.985	45133.7	0.5369	-101.67	180.59	283.63	100.38	642.3
muon	285999	90	372.490	41105.4	0.5512	-101.53	180.14	283.47	100.52	643.1
muon	285999	90	371.883	40107.6	0.5767	-101.45	179.55	283.36	100.60	643.6
muon	285999	90	371.337	39904.0	0.5141	-101.46	179.01	283.38	100.59	643.6
muon	285999	90	370.854	41820.3	0.5127	-101.47	178.53	283.39	100.58	643.5
muon	285999	90	370.312	44181.9	0.5962	-101.32	178.04	283.21	100.73	644.4
muon	285999	90	369.662	41660.1	0.6662	-101.11	177.47	282.98	100.94	645.8
muon	285999	90	368.979	46705.7	0.6993	-101.01	176.79	282.92	101.04	646.4
muon	285999	90	368.263	47098.8	0.6498	-100.98	176.08	282.88	101.07	646.7
muon	285999	90	367.680	48497.5	0.6330	-100.83	175.55	282.68	101.22	647.6
muon	285999	90	366.997	49885.9	0.5994	-100.72	174.91	282.48	101.33	648.3
muon	285999	90	366.481	50062.0	0.5252	-100.62	174.41	282.39	101.43	649.0
muon	285999	90	365.947	49045.4	0.6552	-100.50	173.91	282.26	101.55	649.7
muon	285999	90	365.171	47177.9	0.7099	-100.52	173.13	282.31	101.53	649.6
muon	285999	90	364.527	56405.5	0.6389	-100.26	172.65	281.97	101.79	651.2
muon	285999	90	363.893	45463.5	0.6350	-100.27	172.02	281.97	101.78	651.2
muon	285999	90	363.257	36165.9	0.6368	-100.24	171.38	281.92	101.81	651.4
muon	285999	90	362.619	25106.6	0.6096	-100.11	170.77	281.80	101.94	652.2
muon	285999	90	362.038	35828.1	0.5571	-99.91	170.29	281.54	102.14	653.5
muon	285999	90	361.505	50967.2	0.5331	-99.81	169.78	281.42	102.24	654.1
muon	285999	90	360.972	58147.2	0.6629	-99.72	169.27	281.31	102.33	654.7
muon	285999	90	360.179	57089.3	0.6734	-99.54	168.52	281.13	102.51	655.9
muon	285999	90	359.625	44229.9	0.5207	-99.50	167.97	281.07	102.55	656.1
muon	285999	90	359.138	36370.3	0.5420	-99.44	167.49	281.02	102.61	656.5
muon	285999	90	358.541	40198.5	0.6813	-99.30	166.94	280.84	102.75	657.4
muon	285999	90	357.775	47997.4	0.6426	-99.14	166.24	280.57	102.91	658.4
muon	285999	90	357.256	46095.2	0.5192	-99.03	165.74	280.46	103.02	659.1
muon	285999	90	356.737	42472.1	0.6110	-98.91	165.25	280.35	103.14	659.9
muon	285999	90	356.034	44288.5	0.6905	-98.77	164.58	280.20	103.28	660.8
muon	285999	90	355.356	50188.0	0.6342	-98.68	163.92	280.09	103.37	661.4
muon	285999	90	354.766	52920.2	0.6079	-98.56	163.36	279.92	103.49	662.1
muon	285999	90	354.140	46339.5	0.6627	-98.40	162.81	279.69	103.65	663.2
muon	285999	90	353.440	39037.9	0.6400	-98.34	162.11	279.59	103.71	663.5
muon	285999	90	352.860	41909.3	0.6230	-98.22	161.57	279.45	103.83	664.3
muon	285999	90	352.194	40793.3	0.6620	-98.05	160.95	279.26	104.00	665.4
muon	285999	90	351.536	39460.3	0.7137	-98.00	160.30	279.18	104.05	665.7
muon	285999	90	350.767	42299.3	0.7984	-97.72	159.68	278.81	104.33	667.5
muon	285999	90	349.939	55713.0	0.6989	-97.55	158.91	278.58	104.50	668.6
muon	285999	90	349.369	66999.9	0.5804	-97.55	158.34	278.60	104.50	668.6
muon	285999	90	348.779	55760.0	0.6700	-97.47	157.76	278.50	104.58	669.1
muon	285999	90	348.029	56245.1	0.6795	-97.32	157.05	278.32	104.73	670.1
muon	285999	90	347.420	54100.9	0.6195	-97.15	156.51	278.11	104.90	671.2
muon	285999	90	346.790	48605.7	0.5798	-97.12	155.88	278.08	104.93	671.3
muon	285999	90	346.260	45421.9	0.5087	-96.98	155.40	277.89	105.07	672.2
muon	285999	90	345.773	47604.0	0.5138	-96.83	154.98	277.69	105.22	673.2
muon	285999	90	345.233	46722.2	0.6318	-96.73	154.48	277.52	105.32	673.8
muon	285999	90	344.509	46798.5	0.6320	-96.68	153.77	277.42	105.37	674.2
muon	285999	90	343.969	45768.2	0.6696	-96.43	153.33	277.22	105.62	675.8
muon	285999	90	343.170	41732.6	0.7727	-96.30	152.56	277.08	105.75	676.6
muon	285999	90	342.423	43206.2	0.7916	-96.10	151.87	276.85	105.95	677.8
muon	285999	90	341.587	48115.3	0.7036	-95.98	151.06	276.69	106.07	678.7
muon	285999	90	341.016	43849.9	0.5706	-95.89	150.51	276.57	106.16	679.2
muon	285999	90	340.446	42955.8	0.6584	-95.80	149.96	276.45	106.25	679.8
muon	285999	90	339.699	64356.6	0.8082	-95.65	149.24	276.33	106.40	680.7
muon	285999	90	338.829	49639.0	0.7564	-95.38	148.47	276.03	106.67	682.5
muon	285999	90	338.187	44672.3	0.6386	-95.34	147.83	275.99	106.71	682.8
muon	285999	90	337.552	43978.2	0.6746	-95.25	147.22	275.83	106.80	683.3
muon	285999	90	336.837	43381.2	0.8247	-94.99	146.61	275.57	107.06	685.0
muon	285999	90	335.903	43205.9	0.7613	-94.93	145.68	275.49	107.12	685.4
muon	285999	90	335.315	40790.7	0.5660	-94.88	145.09	275.45	107.17	685.7
muon	285999	90	334.771	43934.6	0.5441	-94.73	144.60	275.28	107.32	686.6
muon	285999	90	334.227	48399.1	0.6325	-94.59	144.10	275.11	107.46	687.5
muon	285999	90	333.506	54724.2	0.6200	-94.40	143.44	274.88	107.65	688.7
muon	285999	90	332.986	54648.0	0.5053	-94.35	142.93	274.87	107.70	689.0
muon	285999	90	332.495	50348.0	0.5540	-94.28	142.46	274.75	107.77	689.5
muon	285999	90	331.878	51550.6	0.6571	-94.10	141.91	274.54	107.95	690.6
muon	285999	90	331.181	55716.8	0.6330	-93.98	141.23	274.39	108.07	691.4
muon	285999	90	330.613	57877.6	0.6000	-93.83	140.71	274.22	108.22	692.4
muon	285999	90	329.981	51417.0	0.6305	-93.76	140.09	274.14	108.29	692.8
muon	285999	90	329.352	46980.9	0.5830	-93.67	139.48	274.02	108.38	693.4
muon	285999	90	328.815	46902.2	0.5383	-93.61	138.96	273.92	108.44	693.8
muon	285999	90	328.275	51983.7	0.6505	-93.35	138.56	273.66	108.70	695.5
muon	285999	90	327.514	54522.5	0.6934	-93.13	137.88	273.41	108.92	696.9
muon	285999	90	326.888	49189.7	0.6988	-93.04	137.27	273.30	109.01	697.5
muon	285999	90	326.116	46126.7	0.6775	-92.96	136.50	273.22	109.09	697.9
muon	285999	90	325.533	50244.8	0.5435	-92.83	135.97	273.03	109.22	698.8
muon	285999	90	325.029	52290.1	0.6122	-92.71	135.50	272.91	109.34	699.6
muon	285999	90	324.309	47078.0	0.6987	-92.64	134.78	272.83	109.41	700.0
muon	285999	90	323.631	46761.4	0.7754	-92.52	134.14	272.68	109.53	700.8
muon	285999	90	322.758	47431.4	0.7223	-92.40	133.29	272.50	109.65	701.5
muon	285999	90	322.187	47378.0	0.7449	-92.28	132.75	272.36	109.77	702.3
muon	285999	90	321.268	51138.3	0.7006	-91.98	131.92	272.10	110.07	704.3
muon	285999	90	320.786	47712.6	0.4824	-91.87	131.47	271.97	110.18	704.9
muon	285999	90	320.303	44494.6	0.6567	-91.76	131.02	271.84	110.29	705.6
muon	285999	90	319.472	50815.7	0.8277	-91.55	130.24	271.65	110.50	707.0
muon	285999	90	318.648	53038.8	0.6898	-91.48	129.42	271.57	110.57	707.4
muon	285999	90	318.093	58619.9	0.5551	-91.30	128.92	271.40	110.75	708.6
muon	285999	90	317.538	57205.5	0.5875	-91.12	128.42	271.23	110.93	709.7
muon	285999	90	316.918	56881.8	0.5974	-91.17	127.81	271.31	110.88	709.4
muon	285999	90	316.343	56976.6	0.5685	-91.01	127.26	271.24	111.04	710.4
muon	285999	90	315.781	46502.1	0.5817	-90.95	126.71	271.11	111.10	710.8
muon	285999	90	315.179	42581.0	0.6012	-90.77	126.18	270.90	111.28	712.0
muon	285999	90	314.578	43968.1	0.5833	-90.59	125.65	270.70	111.46	713.1
