sample	run	subrun	event	dump
mcp2k	18259	1	47212	work-pr124r1-onC98-mcp2k/pr_evt47212/calib-pr-evt47212.json
mcp2k	18255	1	54332	work-pr124r1-onC98-mcp2k/pr_evt54332/calib-pr-evt54332.json
mcp2k	18255	1	76346	work-pr124r1-onC98-mcp2k/pr_evt76346/calib-pr-evt76346.json
mcp2k	18255	1	76350	work-pr124r1-onC98-mcp2k/pr_evt76350/calib-pr-evt76350.json
mcp2k	18255	1	99838	work-pr124r1-onC98-mcp2k/pr_evt99838/calib-pr-evt99838.json
mcp2k	18259	1	165157	work-pr124r1-onC98-mcp2k/pr_evt165157/calib-pr-evt165157.json
mcp2k	18259	1	173093	work-pr124r1-onC98-mcp2k/pr_evt173093/calib-pr-evt173093.json
mcp2k	18259	1	176502	work-pr124r1-onC98-mcp2k/pr_evt176502/calib-pr-evt176502.json
mcp2k	18259	1	176986	work-pr124r1-onC98-mcp2k/pr_evt176986/calib-pr-evt176986.json
mcp2k	18255	1	281165	work-pr124r1-onC98-mcp2k/pr_evt281165/calib-pr-evt281165.json
mcp2k	18255	1	281567	work-pr124r1-onC98-mcp2k/pr_evt281567/calib-pr-evt281567.json
mcp2k	18255	1	281781	work-pr124r1-onC98-mcp2k/pr_evt281781/calib-pr-evt281781.json
mcp2k	18255	1	282909	work-pr124r1-onC98-mcp2k/pr_evt282909/calib-pr-evt282909.json
mcp2k	18255	1	396222	work-pr124r1-onC98-mcp2k/pr_evt396222/calib-pr-evt396222.json
mcp2k	18255	1	409888	work-pr124r1-onC98-mcp2k/pr_evt409888/calib-pr-evt409888.json
mcp2k	18255	1	415278	work-pr124r1-onC98-mcp2k/pr_evt415278/calib-pr-evt415278.json
mcp2k	18255	1	475096	work-pr124r1-onC98-mcp2k/pr_evt475096/calib-pr-evt475096.json
