sample	run	subrun	event	dump
nuecc48	18255	1	388	work-pr132-r2p2-nuecc48/pr_evt388/calib-pr-evt388.json
nuecc48	18255	1	10550	work-pr132-r2p2-nuecc48/pr_evt10550/calib-pr-evt10550.json
ncpi0	18259	1	18625	work-pr132-r2p2-ncpi0/pr_evt18625/calib-pr-evt18625.json
ncpi0	18345	1	21073	work-pr132-r2p2-ncpi0/pr_evt21073/calib-pr-evt21073.json
nuecc48	18342	1	30504	work-pr132-r2p2-nuecc48/pr_evt30504/calib-pr-evt30504.json
ncpi0	18259	1	37112	work-pr132-r2p2-ncpi0/pr_evt37112/calib-pr-evt37112.json
nuecc48	18304	1	38856	work-pr132-r2p2-nuecc48/pr_evt38856/calib-pr-evt38856.json
nuecc48	18259	1	42280	work-pr132-r2p2-nuecc48/pr_evt42280/calib-pr-evt42280.json
nuecc48	18255	1	46363	work-pr132-r2p2-nuecc48/pr_evt46363/calib-pr-evt46363.json
mcp2k	18259	1	47212	work-pr132-r2p2-mcp2k/pr_evt47212/calib-pr-evt47212.json
nuecc48	18259	1	52672	work-pr132-r2p2-nuecc48/pr_evt52672/calib-pr-evt52672.json
nuecc48	18259	1	54095	work-pr132-r2p2-nuecc48/pr_evt54095/calib-pr-evt54095.json
mcp2k	18255	1	54332	work-pr132-r2p2-mcp2k/pr_evt54332/calib-pr-evt54332.json
ncpi0	18255	1	56982	work-pr132-r2p2-ncpi0/pr_evt56982/calib-pr-evt56982.json
mcp1k	18255	1	64591	work-pr132-r2p2-mcp1k/pr_evt64591/calib-pr-evt64591.json
nuecc48	18255	1	69314	work-pr132-r2p2-nuecc48/pr_evt69314/calib-pr-evt69314.json
ncpi0	18255	1	71372	work-pr132-r2p2-ncpi0/pr_evt71372/calib-pr-evt71372.json
nuecc48	18259	1	74544	work-pr132-r2p2-nuecc48/pr_evt74544/calib-pr-evt74544.json
mcp2k	18255	1	76346	work-pr132-r2p2-mcp2k/pr_evt76346/calib-pr-evt76346.json
mcp2k	18255	1	76350	work-pr132-r2p2-mcp2k/pr_evt76350/calib-pr-evt76350.json
nuecc48	18313	1	81597	work-pr132-r2p2-nuecc48/pr_evt81597/calib-pr-evt81597.json
