# SBND PMT non-linearity per-channel params, conditions DB tag v3r1
# table pds_calibration: nonlinearity_pesat / nonlinearity_alpha; pesat=alpha=0 -> nonlinearity off
opch,pesat,alpha
6,220.0,2.1
7,280.0,2.2
8,160.0,1.5
9,280.0,2.1
10,220.0,2.0
11,250.0,1.9
12,280.0,2.2
13,160.0,1.5
14,190.0,1.5
15,190.0,1.9
16,250.0,1.8
17,280.0,1.5
36,269.0,1.84
37,269.0,1.84
38,269.0,1.84
39,0.0,0.0
40,269.0,1.84
41,269.0,1.84
60,370.0,2.2
61,280.0,2.2
62,220.0,1.8
63,190.0,1.8
64,250.0,1.5
65,250.0,2.1
66,0.0,0.0
67,269.0,1.84
68,400.0,2.2
69,220.0,1.7
70,280.0,1.9
71,0.0,0.0
84,280.0,2.2
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,220.0,2.0
89,250.0,1.9
90,280.0,2.2
91,250.0,2.0
92,269.0,1.84
93,280.0,2.2
94,190.0,1.8
95,250.0,2.0
114,269.0,1.84
115,0.0,0.0
116,269.0,1.84
117,269.0,1.84
118,269.0,1.84
119,269.0,1.84
138,0.0,0.0
139,220.0,2.2
140,220.0,1.6
141,0.0,0.0
142,130.0,1.5
143,190.0,1.8
144,250.0,2.1
145,280.0,2.2
146,220.0,2.0
147,160.0,1.5
148,220.0,2.0
149,310.0,2.0
162,220.0,2.1
163,190.0,1.9
164,190.0,1.8
165,160.0,1.7
166,190.0,1.6
167,250.0,1.9
168,280.0,2.2
169,310.0,2.2
170,269.0,1.84
171,280.0,2.2
172,250.0,2.0
173,160.0,2.2
192,269.0,1.84
193,269.0,1.84
194,269.0,1.84
195,269.0,1.84
196,269.0,1.84
197,0.0,0.0
216,220.0,2.0
217,0.0,0.0
218,269.0,1.84
219,250.0,2.0
220,190.0,1.9
221,0.0,0.0
222,0.0,0.0
223,269.0,1.84
224,280.0,2.1
225,310.0,2.2
226,0.0,0.0
227,370.0,2.2
240,220.0,2.0
241,220.0,2.0
242,190.0,1.5
243,310.0,2.1
244,220.0,2.1
245,0.0,0.0
246,220.0,2.1
247,310.0,2.2
248,269.0,1.84
249,269.0,1.84
250,160.0,1.5
251,280.0,2.2
270,269.0,1.84
271,269.0,1.84
272,269.0,1.84
273,269.0,1.84
274,269.0,1.84
275,269.0,1.84
294,220.0,2.0
295,310.0,2.2
296,220.0,1.8
297,190.0,2.0
298,370.0,2.2
299,190.0,1.9
300,250.0,2.1
301,130.0,1.5
302,0.0,0.0
303,220.0,1.8
304,160.0,1.6
305,160.0,1.7
