run	subrun	event	row	nu_index	gid	cluster_id	sel_cluster_id	cid_relation	n_act	sel_demoted	sel_fc	sel_length_cm	bundle_has_vetoed	n_vetoed	nu_x	nu_y	nu_z	vertex_default	reco_Enu	numu_score	nue_score	neutrino_type	nt_cosmic	nt_numucc	nt_nc	nt_nue	cosmict_flag	n_truth	t_idx	t_flav	t_mode	t_ccnc	t_Etot	t_Edep	t_T	t_dist_cm	mc_reco_Enu	flash_time_us	flash_pe	flash_tpc	flash_group	has_vertex	vertex_moved_cluster	br_filled	mip_filled	n_act_all_roles	n_companion
291	3	3746	0	0	1000002	15	15	same	1	0	1	111.8	0	0	39.93	18.22	72.76	0	800.5	-0.0931	9.0606	40	0	0	1	1	0	2	0	nue	RES	CC	2163.5	1331.4	0.08	1.35		0.2163	24380.6	1	8	1	0	1	1	37	36
291	3	6540	0	0	1000000	12	12	same	2	0	0	53.1	0	0	180.16	-35.60	197.92	0	1279.2	0.3050	4.9070	8	0	0	1	0	0	1	0	nue	RES	CC	1263.5	1093.7	0.617	0.31		0.7513	51080.6	1	1000000	1	0	1	1	37	35
291	3	7221	0	0	0	4	4	same	2	0	0	57.4	0	0	-200.87	-132.08	241.06	0	840.6	-0.9414	-15.0000	10	1	0	1	0	1	2	1	nue	QE	CC	1876.2	897.6	1.335	26.84		1.4704	46108.1	0	0	1	0	0	0	33	31
291	3	8498	0	0	1000000	9	9	same	2	0	0	78.5	0	0	33.41	-122.32	421.44	0	1697.6	-1.4819	11.3031	40	0	0	1	1	0	1	0	nue	RES	CC	2912.1	1893.9	1.264	1.02		1.3999	29853.2	1	6	1	0	1	1	45	43
291	3	9313	0	0	5	60	8	not_in_act	1	0	1	41.2	0	0	-27.50	86.75	304.83	0	607.2	-0.7161	-7.2523	8	0	0	1	0	0	2	1	nue	RES	CC	813.5	668.4	0.527	23.46		0.6625	14446.1	0	5	1	1	1	1	17	16
291	3	11934	0	0	0	4	4	same	1	0	0	26.8	0	0	-157.83	-43.78	486.12	0	244.7	0.3951	-15.0000	8	0	0	1	0	0	1	0	nue	RES	CC	1499.0	435.8	0.457	0.42		0.5903	16640.6	0	0	1	0	0	0	4	3
291	3	12273	0	0	0	6	6	same	1	0	1	84.3	0	0	-103.99	-30.98	333.75	0	1443.7	-0.2287	10.4710	40	0	0	1	1	0	2	1	nue	QE	CC	1392.2	1306.4	0.621	2.19		0.7561	38435.6	0	0	1	0	1	1	50	49
291	14	761	0	0	1	24	18	in_act_not_selected	28	0	1	193.0	0	0	-176.75	160.30	70.51	0	1582.8	-0.7788	15.3525	40	0	0	1	1	0	2	0	nue	RES	CC	1687.8	1334.2	0.802	0.31		0.9344	48912.4	0	1	1	1	1	1	35	7
291	14	761	1	1	1000004	82	11	not_in_act	2	0	1	17.8	0	0	12.76	22.80	212.66	0	398.9	-0.4728	-10.7166	8	0	0	1	0	0	2	1	numu	RES	CC	1080.9	844.9	0.541	28.37		0.6759	10966.9	1	1000004	1	1	1	1	10	8
291	14	3143	0	0	1000002	11	11	same	1	0	0	59.2	0	0	117.15	-187.90	449.77	0	841.2	1.1829	15.6536	36	0	1	0	1	0	3	0	nue	QE	CC	1410.5	704.1	0.716	0.83		0.8525	16908.6	1	1000002	1	0	1	1	21	20
291	14	3812	0	0	0	3	3	same	1	0	0	46.4	0	0	-173.27	17.26	209.69	0	1011.3	-0.4911	-1.4830	8	0	0	1	0	0	1	0	nue	QE	CC	1260.4	1027.6	0.993	28.51		1.1261	43783.2	0	0	1	0	1	1	30	29
291	14	6248	0	0	0	7	7	same	2	0	1	139.0	0	0	-136.26	-109.33	25.86	0	2608.0	0.1863	2.0348	4	0	1	0	0	0	1	0	nue	RES	CC	3398.6	3358.7	1.423	7.67		1.5574	72904.5	0	0	1	0	1	1	93	91
291	14	10406	0	0	1000002	27	27	same	1	0	1	123.8	0	0	11.89	-110.76	292.55	0	1618.5	0.0229	14.6993	36	0	1	0	1	0	1	0	nue	RES	CC	2069.3	1678.6	1.414	1.22		1.5488	27627.3	1	6	1	0	1	1	43	42
291	14	11963	0	0	1	8	8	same	1	0	1	39.2	0	0	-119.38	-166.41	46.21	0	865.9	-0.2167	-1.4049	40	0	0	1	1	0	1	0	nue	MEC	CC	1005.3	907.3	0.839	15.77		0.9739	15421.6	0	1	1	0	1	1	37	36
291	18	1601	0	0	1000001	15	15	same	1	0	0	80.8	0	0	169.27	178.32	322.52	0	1472.3	1.5909	4.3513	8	0	0	1	0	0	1	0	nue	QE	CC	1639.1	1448.3	0.335	25.18		0.4669	52185.2	1	1000001	1	0	1	1	28	27
