run	subrun	event	row	nu_index	gid	cluster_id	sel_cluster_id	cid_relation	n_act	sel_demoted	sel_fc	sel_length_cm	bundle_has_vetoed	n_vetoed	nu_x	nu_y	nu_z	vertex_default	reco_Enu	numu_score	nue_score	neutrino_type	nt_cosmic	nt_numucc	nt_nc	nt_nue	cosmict_flag	n_truth	t_idx	t_flav	t_mode	t_ccnc	t_Etot	t_Edep	t_T	t_dist_cm	mc_reco_Enu	flash_time_us	flash_pe	flash_tpc	flash_group	has_vertex	vertex_moved_cluster	br_filled	mip_filled	n_act_all_roles	n_companion
711	20	2	0	0	8	2	2	same	1	0	0	97.3	0	0	-132.17	131.95	440.66	0	649.9	2.7840	-15.0000	4	0	1	0	0	0	4	1	numu	RES	CC	1515.5	395.9	1.154	0.13		1.2891	6512.0	0	8	1	0	0	0	1	0
711	20	5	0	0	1	5	5	same	1	0	0	282.8	0	0	-126.20	81.23	226.65	0	797.7	3.7533	-15.0000	4	0	1	0	0	0	1	0	numu	QE	CC	1618.4	657.9	0.561	0.41		0.6998	15180.6	0	1	1	0	0	0	13	12
711	20	13	0	0	0	61	12	not_in_act	1	0	1	168.1	0	0	-30.19	49.56	346.03	0	652.4	0.3759	-15.0000	8	0	0	1	0	0	2	1	numu	MEC	CC	1262.3	1059.5	1.322	0.40		1.4581	18293.4	0	0	1	1	0	0	10	9
711	20	25	0	0	3	8	8	same	1	0	1	34.5	0	0	-158.92	152.83	351.62	0	735.8	0.5213	-15.0000	8	0	0	1	0	0	1	0	numu	DIS	CC	811.6	553.8	0.113	0.32		0.2486	12236.3	0	3	1	0	0	0	7	6
711	20	28	0	0	5	4	4	same	2	0	0	34.4	0	0	-196.42	-103.25	454.16	0	354.1	-0.4035	-15.0000	8	0	0	1	0	0	2	1	numu	RES	CC	1165.4	239.7	1.228	20.73		1.3593	25595.8	0	5	1	0	0	0	3	1
711	20	42	0	0	9	18	18	same	4	0	0	19.0	0	0	-45.69	192.82	93.03	0	482.3	-1.7128	-15.0000	6	1	1	0	0	1	2	0	numu	DIS	CC	1072.7	40.4	0.211	219.34		0.3471	2042.1	0	9	1	0	0	0	30	26
711	60	5	0	0	1000001	12	12	same	2	0	0	155.4	0	0	156.40	-76.29	359.89	0	1250.7	1.6270	-15.0000	4	0	1	0	0	0	1	0	numu	DIS	NC	5328.7	1285.5	0.695	61.19		0.8301	47066.7	1	1000001	1	0	0	0	30	28
711	79	6	0	0	1000006	9	9	same	2	0	1	16.7	0	0	2.95	-0.95	237.48	0	426.9	-0.8333	-15.0000	8	0	0	1	0	0	1	0	numu	RES	CC	496.6	261.7	0.37	1.17		0.5038	4504.1	1	8	1	0	0	0	4	2
711	79	7	0	0	8	14	14	same	2	0	0	84.0	0	0	-49.30	130.93	417.81	0	332.6	2.2715	-15.0000	4	0	1	0	0	0	1	0	numu	QE	CC	2049.0	281.0	0.738	1.05		0.8761	4522.4	0	8	1	0	0	0	4	2
711	79	10	0	0	1000000	13	13	same	2	0	0	61.8	0	0	112.17	44.33	455.27	0	1029.6	2.6022	-15.0000	4	0	1	0	0	0	1	0	numu	DIS	CC	3630.9	1048.2	0.587	2.11		0.7250	25781.1	1	15	1	0	0	0	15	13
711	79	13	0	0	1000010	15	15	same	2	0	1	102.8	0	0	56.53	-87.11	450.70	0	370.9	0.4033	-15.0000	6	1	1	0	0	1	1	0	numu	RES	CC	1813.1	979.3	0.244	606.23		0.5952	4792.0	1	1000010	1	0	0	0	3	1
711	79	16	0	0	1000000	60	18	not_in_act	1	0	1	83.2	0	0	137.12	55.79	104.41	0	571.7	-0.4167	-15.0000	8	0	0	1	0	0	3	0	numu	RES	NC	2262.9	828.3	1.047	79.41		1.1839	16902.5	1	11	1	1	0	0	19	18
711	79	24	0	0	1000006	26	26	same	14	0	1	136.3	0	0	45.03	48.82	238.34	0	692.5	2.9235	-10.8004	4	0	1	0	0	0	2	1	numu	RES	CC	875.5	626.7	0.75	0.87		0.8859	8443.8	1	11	1	0	1	1	15	1
711	79	27	0	0	1000000	5	5	same	1	0	0	147.9	0	0	177.75	-20.46	354.77	0	490.5	2.2062	-15.0000	4	0	1	0	0	0	1	0	numu	QE	CC	1952.7	455.8	0.564	0.22		0.7011	13060.9	1	1000000	1	0	0	0	4	3
711	79	44	0	0	0	5	5	same	2	0	0	148.7	0	0	-188.58	93.81	158.17	0	2609.8	1.9025	-15.0000	4	0	1	0	0	0	1	0	numu	DIS	CC	4373.4	2546.4	1.486	0.39		1.6179	91217.7	0	0	1	0	0	0	64	62
