run	subrun	event	row	nu_index	gid	cluster_id	sel_cluster_id	cid_relation	n_act	sel_demoted	sel_fc	sel_length_cm	bundle_has_vetoed	n_vetoed	nu_x	nu_y	nu_z	vertex_default	reco_Enu	numu_score	nue_score	neutrino_type	nt_cosmic	nt_numucc	nt_nc	nt_nue	cosmict_flag	n_truth	t_idx	t_flav	t_mode	t_ccnc	t_Etot	t_Edep	t_T	t_dist_cm	mc_reco_Enu	flash_time_us	flash_pe	flash_tpc	flash_group	has_vertex	vertex_moved_cluster	br_filled	mip_filled	n_act_all_roles	n_companion
291	3	3746	0	0	1000002	15	15	same	1	0	1	111.8	0	0	39.96	18.25	72.75	0	794.5	0.8732	12.0443	40	0	0	1	1	0	2	0	nue	RES	CC	2163.5	1331.4	0.08	1.33		0.2163	24380.6	1	8	1	0	1	1	37	36
291	3	6540	0	0	1000000	12	12	same	2	0	0	53.1	0	0	182.00	-35.79	198.15	0	1371.2	1.1480	4.2234	8	0	0	1	0	0	1	0	nue	RES	CC	1263.5	1093.7	0.617	2.15		0.7513	51080.6	1	1000000	1	0	1	1	37	35
291	3	7221	0	0	0	4	4	same	2	0	0	57.4	0	0	-200.65	-132.66	240.24	0	891.2	-0.1366	-15.0000	10	1	0	1	0	1	2	1	nue	QE	CC	1876.2	897.6	1.335	26.11		1.4704	46108.1	0	0	1	0	0	0	33	31
291	3	8498	0	0	1000000	9	9	same	2	0	0	78.5	0	0	33.47	-123.53	423.76	0	1807.5	0.7259	1.7546	40	0	0	1	1	0	1	0	nue	RES	CC	2912.1	1893.9	1.264	1.80		1.3999	29853.2	1	6	1	0	1	1	45	43
291	3	9313	0	0	5	8	8	same	1	0	1	41.2	0	0	-63.81	82.37	309.99	0	732.8	-0.5340	-7.2974	8	0	0	1	0	0	2	1	nue	RES	CC	813.5	668.4	0.527	33.49		0.6625	14446.1	0	5	1	0	1	1	17	16
291	3	11934	0	0	0	4	4	same	1	0	0	26.8	0	0	-157.72	-44.06	486.17	0	361.1	0.7312	-15.0000	8	0	0	1	0	0	1	0	nue	RES	CC	1499.0	435.8	0.457	0.22		0.5903	16640.6	0	0	1	0	0	0	4	3
291	3	12273	0	0	0	6	6	same	1	0	1	84.3	0	0	-102.92	-30.60	331.61	0	1447.5	-1.8080	10.0238	40	0	0	1	1	0	2	1	nue	QE	CC	1392.2	1306.4	0.621	0.73		0.7561	38435.6	0	0	1	0	1	1	50	49
291	14	761	0	0	1	24	18	in_act_not_selected	28	0	1	193.0	0	0	-176.82	160.26	70.45	0	1590.8	0.0338	14.7505	40	0	0	1	1	0	2	0	nue	RES	CC	1687.8	1334.2	0.802	0.31		0.9344	48912.4	0	1	1	1	1	1	35	7
291	14	761	1	1	1000004	11	11	same	2	0	1	17.8	0	0	13.47	23.92	213.20	0	394.2	-2.4124	-15.0000	8	0	0	1	0	0	2	1	numu	RES	CC	1080.9	844.9	0.541	26.99		0.6759	10966.9	1	1000004	1	0	0	0	10	8
291	14	3143	0	0	1000002	11	11	same	1	0	0	59.2	0	0	117.16	-187.88	449.75	0	841.4	1.6766	13.3092	36	0	1	0	1	0	3	0	nue	QE	CC	1410.5	704.1	0.716	0.86		0.8525	16908.6	1	1000002	1	0	1	1	21	20
