run	subrun	event	row	nu_index	gid	cluster_id	sel_cluster_id	cid_relation	n_act	sel_demoted	sel_fc	sel_length_cm	bundle_has_vetoed	n_vetoed	nu_x	nu_y	nu_z	vertex_default	reco_Enu	numu_score	nue_score	neutrino_type	nt_cosmic	nt_numucc	nt_nc	nt_nue	cosmict_flag	n_truth	t_idx	t_flav	t_mode	t_ccnc	t_Etot	t_Edep	t_T	t_dist_cm	mc_reco_Enu	flash_time_us	flash_pe	flash_tpc	flash_group	has_vertex	vertex_moved_cluster	br_filled	mip_filled	n_act_all_roles	n_companion
291	3	3746	0	0	1000002	15	15	same	1	0	1	111.8	0	0	39.97	18.37	72.71	0	675.8	2.3242	8.5293	8	0	0	1	0	0	2	0	nue	RES	CC	2163.5	1331.4	0.08	1.30		0.2163	24380.6	1	8	1	0	1	1	37	36
291	3	6540	0	0	1000000	12	12	same	2	0	0	53.1	0	0	179.68	-35.64	198.13	0	1325.0	2.1086	8.9929	40	0	0	1	1	0	1	0	nue	RES	CC	1263.5	1093.7	0.617	0.31		0.7513	51080.6	1	1000000	1	0	1	1	37	35
291	3	7221	0	0	0	4	4	same	2	0	0	57.4	0	0	-199.65	-128.06	216.50	0	878.9	-1.3989	3.4468	10	1	0	1	0	1	2	1	nue	QE	CC	1876.2	897.6	1.335	2.01		1.4704	46108.1	0	0	1	0	1	1	33	31
291	3	8498	0	0	1000000	9	9	same	2	0	0	78.5	0	0	81.92	-111.77	567.93	0	1679.2	-0.2218	-1.0520	8	0	0	1	0	0	1	0	nue	RES	CC	2912.1	1893.9	1.264	154.13		1.3999	29853.2	1	6	1	0	1	1	45	43
291	3	9313	0	0	5	8	8	same	1	0	1	41.2	0	0	-53.50	85.85	297.77	0	882.0	-0.3354	-5.5143	4	0	1	0	0	0	2	1	nue	RES	CC	813.5	668.4	0.527	17.18		0.6625	14446.1	0	5	1	0	1	1	17	16
291	3	11934	0	0	0	4	4	same	1	0	0	26.8	0	0	-158.00	-44.08	486.30	0	397.6	0.8266	-7.4612	8	0	0	1	0	0	1	0	nue	RES	CC	1499.0	435.8	0.457	0.24		0.5903	16640.6	0	0	1	0	1	1	4	3
291	3	12273	0	0	0	6	6	same	1	0	1	84.3	0	0	-103.22	-30.85	331.47	0	1444.6	-0.7761	9.9181	40	0	0	1	1	0	2	1	nue	QE	CC	1392.2	1306.4	0.621	0.43		0.7561	38435.6	0	0	1	0	1	1	50	49
291	14	761	0	0	1	24	18	in_act_not_selected	28	0	1	193.0	0	0	-176.67	160.11	70.44	0	1435.8	0.6872	12.0878	40	0	0	1	1	0	2	0	nue	RES	CC	1687.8	1334.2	0.802	0.14		0.9344	48912.4	0	1	1	1	1	1	35	7
291	14	761	1	1	1000004	11	11	same	2	0	1	17.8	0	0	18.11	44.39	220.32	0	176.1	-1.5119	-1.6286	8	0	0	1	0	0	2	1	numu	RES	CC	1080.9	844.9	0.541	4.95		0.6759	10966.9	1	1000004	1	0	1	1	10	8
291	14	3143	0	0	1000002	11	11	same	1	0	0	59.2	0	0	117.11	-187.81	449.75	0	919.3	1.6832	12.0241	4	0	1	0	0	0	3	0	nue	QE	CC	1410.5	704.1	0.716	0.92		0.8525	16908.6	1	1000002	1	0	1	1	21	20
291	14	3812	0	0	0	3	3	same	1	0	0	46.4	0	0	-178.39	17.97	217.34	0	1244.5	1.2324	-8.4927	8	0	0	1	0	0	1	0	nue	QE	CC	1260.4	1027.6	0.993	37.59		1.1261	43783.2	0	0	1	0	1	1	30	29
291	14	6248	0	0	0	7	7	same	2	0	1	139.0	0	0	-136.39	-107.11	25.11	0	2900.8	0.0817	-15.0000	4	0	1	0	0	0	1	0	nue	RES	CC	3398.6	3358.7	1.423	9.59		1.5574	72904.5	0	0	1	0	0	0	93	91
291	14	10406	0	0	1000002	27	27	same	1	0	1	123.8	0	0	11.88	-110.72	292.51	0	916.1	0.8752	1.5829	4	0	1	0	0	0	1	0	nue	RES	CC	2069.3	1678.6	1.414	1.26		1.5488	27627.3	1	6	1	0	1	1	43	42
291	14	11963	0	0	1	8	8	same	1	0	1	39.2	0	0	-117.82	-167.40	50.20	0	841.4	-0.7016	0.7592	40	0	0	1	1	0	1	0	nue	MEC	CC	1005.3	907.3	0.839	11.40		0.9739	15421.6	0	1	1	0	1	1	37	36
291	18	1601	0	0	1000001	15	15	same	1	0	0	80.8	0	0	170.53	170.89	301.95	0	1494.7	0.1258	4.5249	40	0	0	1	1	0	1	0	nue	QE	CC	1639.1	1448.3	0.335	3.58		0.4669	52185.2	1	1000001	1	0	1	1	28	27
291	18	2019	0	0	1	15	15	same	16	0	1	64.3	0	0	-42.13	86.04	375.50	0	1766.9	0.8885	6.8317	36	0	1	0	1	0	2	0	nue	RES	CC	2367.7	1561.1	0.433	0.35		0.5683	27535.2	0	1	1	0	1	1	68	52
291	18	3179	0	0	1000001	10	10	same	1	0	1	57.7	0	0	168.64	-148.37	47.14	0	1301.0	0.2551	0.5525	8	0	0	1	0	0	1	0	nue	QE	CC	1052.5	1053.7	1.575	37.14		1.7113	27107.2	1	1000001	1	0	1	1	40	39
291	18	5657	0	0	1000004	6	6	same	1	0	1	33.5	0	0	48.94	-179.48	216.72	0	452.0	-0.6735	-15.0000	8	0	0	1	0	0	2	0	nue	QE	CC	379.1	327.8	1.109	35.71		1.2504	5514.1	1	16	1	0	0	0	14	13
291	18	7087	0	0	1	4	4	same	1	0	1	106.8	0	0	-170.00	83.78	92.19	0	1673.8	0.1240	11.1064	8	0	0	1	0	0	1	0	nue	MEC	CC	1666.8	1641.2	1.484	0.71		1.6197	45754.3	0	1	1	0	1	1	42	41
291	18	7098	0	0	1000003	9	9	same	1	0	0	37.8	0	0	64.33	186.10	449.33	0	518.7	-1.3917	-15.0000	10	1	0	1	0	1	2	1	nue	RES	CC	1990.3	359.6	0.452	14.80		0.5885	5732.3	1	22	1	0	0	0	19	18
291	18	8573	0	0	1000001	54	9	not_in_act	1	0	1	62.8	0	0	115.42	21.12	122.29	0	1634.9	-1.1512	7.7548	40	0	0	1	1	0	1	0	nue	QE	CC	1563.4	1514.7	0.615	2.02		0.7520	49593.4	1	1000001	1	1	1	1	42	41
