run	subrun	event	row	nu_index	gid	cluster_id	sel_cluster_id	cid_relation	n_act	sel_demoted	sel_fc	sel_length_cm	bundle_has_vetoed	n_vetoed	nu_x	nu_y	nu_z	vertex_default	reco_Enu	numu_score	nue_score	neutrino_type	nt_cosmic	nt_numucc	nt_nc	nt_nue	cosmict_flag	n_truth	t_idx	t_flav	t_mode	t_ccnc	t_Etot	t_Edep	t_T	t_dist_cm	mc_reco_Enu	flash_time_us	flash_pe	flash_tpc	flash_group	has_vertex	vertex_moved_cluster	br_filled	mip_filled	n_act_all_roles	n_companion
18255	1	49415	0	0	1000004	19	19	same	3	0	1	11.3	0	0	152.10	101.24	367.98	0	126.9	-2.7245	-15.0000	8	0	0	1	0	0	0	-1				-1	-1	-1	-1		0.6721	4474.0	1	1000004	1	0	0	0	4	1
18255	1	49745	0	0	3	3	3	same	1	0	1	46.2	0	0	-61.13	-88.23	311.21	0	340.7	0.1525	-15.0000	10	1	0	1	0	1	0	-1				-1	-1	-1	-1		1.8395	18757.0	0	3	1	0	0	0	3	2
18255	1	49767	0	0	8	13	13	same	1	0	0	1.1	0	0	0.00	0.00	0.00	1	0.0	-1.9417	-15.0000	0	0	0	0	0	0	0	-1				-1	-1	-1	-1		1.9221	11894.3	0	8	0	0	0	0	1	0
18255	1	49877	0	0	12	1	1	same	1	0	0	1.4	0	0	0.00	0.00	0.00	1	0.0	-1.9417	-15.0000	0	0	0	0	0	0	0	-1				-1	-1	-1	-1		1.3050	204.2	0	12	0	0	0	0	1	0
18255	1	49987	0	0	3	8	8	same	3	0	0	217.9	0	0	-107.87	180.54	338.35	0	622.2	2.9237	-15.0000	6	1	1	0	0	1	0	-1				-1	-1	-1	-1		0.6331	6791.4	0	3	1	0	0	0	7	4
18255	1	50801	0	0	3	20	20	same	20	1	1	49.7	1	1	-148.97	-31.25	302.54	0	501.6	-0.3913	-15.0000	4	0	1	0	0	0	0	-1				-1	-1	-1	-1		2.0135	18289.9	0	3	1	0	0	0	28	8
18255	1	51219	0	0	1	12	12	same	5	0	1	186.0	0	0	-84.41	-109.60	14.97	0	881.5	3.6049	-15.0000	4	0	1	0	0	0	0	-1				-1	-1	-1	-1		1.8565	14113.4	0	1	1	0	0	0	14	9
18255	1	51868	0	0	1000002	7	7	same	9	0	1	158.5	0	0	12.08	-23.01	211.18	0	577.3	1.2000	-15.0000	6	1	1	0	0	1	0	-1				-1	-1	-1	-1		1.4400	10862.8	1	3	1	0	0	0	12	3
18255	1	51890	0	0	1000002	15	15	same	3	0	1	289.9	0	0	56.99	128.86	33.92	0	1395.0	4.7344	-15.0000	4	0	1	0	0	0	0	-1				-1	-1	-1	-1		0.6184	9763.2	1	7	1	0	0	0	7	4
18255	1	52044	0	0	3	18	18	same	12	0	1	107.9	1	1	-84.60	-118.13	240.60	0	640.5	2.6989	-15.0000	4	0	1	0	0	0	0	-1				-1	-1	-1	-1		1.9744	18629.6	0	3	1	0	0	0	23	11
18255	1	52121	0	0	4	11	11	same	2	0	0	83.6	0	0	-28.82	-151.64	60.10	0	427.6	5.5616	-15.0000	4	0	1	0	0	0	0	-1				-1	-1	-1	-1		1.9853	5920.9	0	4	1	0	0	0	4	2
18255	1	52220	0	0	3	14	14	same	3	0	0	164.0	0	0	-126.53	-80.27	123.82	0	521.1	3.7628	-15.0000	4	0	1	0	0	0	0	-1				-1	-1	-1	-1		1.8010	17183.8	0	3	1	0	0	0	9	6
18255	1	52286	0	0	1000009	21	21	same	3	0	1	26.1	0	0	29.21	-52.10	76.19	0	366.5	-1.3480	-15.0000	8	0	0	1	0	0	0	-1				-1	-1	-1	-1		1.2055	11154.5	1	18	1	0	0	0	8	5
18255	1	52352	0	0	5	17	17	same	8	0	1	5.4	0	0	-102.60	43.45	338.36	0	107.7	-1.3440	-15.0000	8	0	0	1	0	0	0	-1				-1	-1	-1	-1		0.5980	2979.2	0	5	1	0	0	0	11	3
18255	1	52605	0	0	5	11	11	same	2	0	1	17.7	0	0	-152.05	52.21	313.54	0	502.2	-1.3959	-8.8239	4	0	1	0	0	0	0	-1				-1	-1	-1	-1		1.0803	12669.5	0	5	1	0	1	1	9	7
18255	1	52638	0	0	1000011	14	14	same	1	0	0	1.5	0	0	0.00	0.00	0.00	1	0.0	-1.9417	-15.0000	0	0	0	0	0	0	0	-1				-1	-1	-1	-1		1.8430	2157.5	1	7	0	0	0	0	1	0
18255	1	52693	0	0	5	18	18	same	11	0	0	198.1	0	0	96.36	-45.19	34.67	0	1010.9	-0.2231	-15.0000	6	1	1	0	0	1	0	-1				-1	-1	-1	-1		1.4591	3469.8	0	5	1	0	0	0	17	6
18255	1	52759	0	0	1000002	16	16	same	6	0	1	19.5	0	0	55.87	-121.26	369.70	0	305.9	-2.1230	-15.0000	8	0	0	1	0	0	0	-1				-1	-1	-1	-1		1.7499	5148.6	1	10	1	0	0	0	7	1
18255	1	53793	0	0	3	37	12	not_in_act	1	0	1	247.6	0	0	84.61	-22.83	117.58	0	1464.6	5.1882	-15.0000	4	0	1	0	0	0	0	-1				-1	-1	-1	-1		1.1019	13876.8	0	3	1	1	0	0	6	5
18255	1	53881	0	0	1000003	12	12	same	1	0	1	79.5	0	0	90.40	62.29	414.60	0	498.2	-0.3424	-15.0000	8	0	0	1	0	0	0	-1				-1	-1	-1	-1		0.9567	7439.0	1	1000003	1	0	0	0	5	4
18255	1	54332	0	0	1000000	16	16	same	9	0	1	88.7	1	1	58.96	-34.04	89.30	0	1346.5	0.3607	-15.0000	8	0	0	1	0	0	0	-1				-1	-1	-1	-1		1.9685	45477.9	1	6	1	0	0	0	48	39
18255	1	54453	0	0	3	22	22	same	34	1	1	40.6	1	1	-108.39	-92.64	234.05	0	650.6	-0.3103	-15.0000	4	0	1	0	0	0	0	-1				-1	-1	-1	-1		1.8342	18808.3	0	3	1	0	0	0	40	6
