run	subrun	event	row	nu_index	gid	cluster_id	sel_cluster_id	cid_relation	n_act	sel_demoted	sel_fc	sel_length_cm	bundle_has_vetoed	n_vetoed	nu_x	nu_y	nu_z	vertex_default	reco_Enu	numu_score	nue_score	neutrino_type	nt_cosmic	nt_numucc	nt_nc	nt_nue	cosmict_flag	n_truth	t_idx	t_flav	t_mode	t_ccnc	t_Etot	t_Edep	t_T	t_dist_cm	mc_reco_Enu	flash_time_us	flash_pe	flash_tpc	flash_group	has_vertex	vertex_moved_cluster	br_filled	mip_filled	n_act_all_roles	n_companion
18253	1	172230	0	0	11	3	3	same	1	0	1	65.4	0	0	-55.25	-87.62	19.71	0	1505.5	-1.4029	10.6166	40	0	0	1	1	0	0	-1				-1	-1	-1	-1		1.6708	28009.2	0	11	1	0	1	1	37	36
18253	1	444187	0	0	1000012	16	16	same	1	0	1	170.5	0	0	39.58	-12.17	166.32	0	1197.6	0.4852	10.3482	40	0	0	1	1	0	0	-1				-1	-1	-1	-1		1.5835	30904.4	1	1000012	1	0	1	1	6	5
18255	1	388	0	0	8	8	8	same	2	0	0	86.3	0	0	-163.21	31.45	426.29	0	2419.0	-1.7713	13.0181	40	0	0	1	1	0	0	-1				-1	-1	-1	-1		1.6558	70110.7	0	8	1	0	1	1	49	47
18255	1	10550	0	0	1000007	9	9	same	12	0	1	56.9	1	1	89.94	55.05	128.66	0	882.9	-0.3746	13.2320	8	0	0	1	0	0	0	-1				-1	-1	-1	-1		1.2032	20195.8	1	6	1	0	1	1	43	31
18255	1	46363	0	0	7	19	19	same	3	0	1	110.9	1	1	-78.24	16.50	297.85	0	1713.9	-0.8104	9.5455	40	0	0	1	1	0	0	-1				-1	-1	-1	-1		0.8478	43607.8	0	7	1	0	1	1	45	42
18255	1	69314	0	0	11	4	4	same	1	0	1	171.1	0	0	-111.81	-18.53	164.63	0	1380.3	2.9639	-15.0000	4	0	1	0	0	0	0	-1				-1	-1	-1	-1		1.2898	53125.6	0	11	1	0	0	0	28	27
18255	1	90055	0	0	1000006	11	11	same	4	0	1	91.6	0	0	129.17	24.75	202.43	0	2366.4	-0.7341	11.2742	40	0	0	1	1	0	0	-1				-1	-1	-1	-1		0.6514	65525.1	1	6	1	0	1	1	66	62
18255	1	122660	0	0	6	13	13	same	4	0	0	49.2	0	0	-99.61	-76.80	391.85	0	1390.7	0.5327	10.3598	40	0	0	1	1	0	0	-1				-1	-1	-1	-1		0.9074	36784.0	0	6	1	0	1	1	42	38
18255	1	138009	0	0	11	15	15	same	2	0	1	73.1	0	0	-103.13	160.11	81.33	0	1348.4	0.1610	10.0253	40	0	0	1	1	0	0	-1				-1	-1	-1	-1		0.7987	24411.9	0	11	1	0	1	1	35	33
18255	1	163543	0	0	6	14	14	same	2	0	1	64.6	0	0	-79.81	-94.63	248.09	0	1175.4	-0.7679	3.2346	4	0	1	0	0	0	0	-1				-1	-1	-1	-1		0.9632	22785.5	0	6	1	0	1	1	49	47
18255	1	168596	0	0	8	15	15	same	3	0	0	87.3	0	0	-189.12	25.55	147.89	0	1707.3	0.3387	-0.2676	4	0	1	0	0	0	0	-1				-1	-1	-1	-1		1.2109	82989.5	0	8	1	0	1	1	56	53
18255	1	174637	0	0	8	10	10	same	2	0	1	77.1	0	0	-166.52	-57.07	297.56	0	972.0	0.8121	10.6665	4	0	1	0	0	0	0	-1				-1	-1	-1	-1		1.3668	36291.3	0	8	1	0	1	1	27	25
18255	1	196649	0	0	7	6	6	same	1	0	1	108.2	0	0	-53.57	-21.46	193.66	0	1495.6	-0.5437	7.9679	40	0	0	1	1	0	0	-1				-1	-1	-1	-1		1.2831	43541.4	0	7	1	0	1	1	23	22
18255	1	219295	0	0	1000007	9	9	same	1	0	1	131.3	0	0	97.48	52.41	95.41	0	1722.0	-1.0836	9.8376	8	0	0	1	0	0	0	-1				-1	-1	-1	-1		1.2689	52200.2	1	6	1	0	1	1	38	37
18255	1	234638	0	0	1000006	12	12	same	11	0	1	114.5	1	1	102.87	-6.04	363.78	0	1424.2	1.4062	7.2294	4	0	1	0	0	0	0	-1				-1	-1	-1	-1		0.9971	34905.1	1	6	1	0	1	1	54	43
18255	1	235435	0	0	8	4	4	same	1	0	0	60.2	0	0	-95.98	192.78	198.25	0	869.1	2.6288	-15.0000	4	0	1	0	0	0	0	-1				-1	-1	-1	-1		1.4461	9333.2	0	8	1	0	0	0	10	9
18255	1	239794	0	0	8	2	2	same	1	0	1	97.2	0	0	-171.73	-26.55	194.74	0	2732.3	-0.5914	13.0472	8	0	0	1	0	0	0	-1				-1	-1	-1	-1		0.5119	119644.6	0	8	1	0	1	1	55	54
