run	subrun	event	row	nu_index	gid	cluster_id	sel_cluster_id	cid_relation	n_act	sel_demoted	sel_fc	sel_length_cm	bundle_has_vetoed	n_vetoed	nu_x	nu_y	nu_z	vertex_default	reco_Enu	numu_score	nue_score	neutrino_type	nt_cosmic	nt_numucc	nt_nc	nt_nue	cosmict_flag	n_truth	t_idx	t_flav	t_mode	t_ccnc	t_Etot	t_Edep	t_T	t_dist_cm	mc_reco_Enu	flash_time_us	flash_pe	flash_tpc	flash_group	has_vertex	vertex_moved_cluster	br_filled	mip_filled	n_act_all_roles	n_companion
711	20	2	0	0	8	2	2	same	1	0	0	97.3	0	0	-132.28	131.90	440.40	0	645.3	3.2825	-15.0000	4	0	1	0	0	0	4	1	numu	RES	CC	1515.5	395.9	1.154	0.34		1.2891	6512.0	0	8	1	0	0	0	1	0
711	20	5	0	0	1	5	5	same	1	0	0	282.8	0	0	-126.20	81.27	226.68	0	804.2	3.7886	-15.0000	4	0	1	0	0	0	1	0	numu	QE	CC	1618.4	657.9	0.561	0.39		0.6998	15180.6	0	1	1	0	0	0	13	12
711	20	13	0	0	0	61	12	not_in_act	1	0	1	168.1	0	0	-30.15	49.59	345.96	0	678.0	0.4264	-15.0000	8	0	0	1	0	0	2	1	numu	MEC	CC	1262.3	1059.5	1.322	0.43		1.4581	18293.4	0	0	1	1	0	0	10	9
711	20	25	0	0	3	8	8	same	1	0	1	34.5	0	0	-158.18	152.62	351.33	0	571.3	-0.4768	-15.0000	8	0	0	1	0	0	1	0	numu	DIS	CC	811.6	553.8	0.113	1.06		0.2486	12236.3	0	3	1	0	0	0	7	6
711	20	28	0	0	5	4	4	same	2	0	0	34.4	0	0	-195.60	-106.65	453.59	0	489.8	-0.0058	-15.0000	4	0	1	0	0	0	2	1	numu	RES	CC	1165.4	239.7	1.228	23.80		1.3593	25595.8	0	5	1	0	0	0	3	1
711	20	42	0	0	9	18	18	same	4	0	0	19.0	0	0	-44.57	192.32	92.45	0	480.8	-1.8108	-15.0000	6	1	1	0	0	1	2	0	numu	DIS	CC	1072.7	40.4	0.211	218.35		0.3471	2042.1	0	9	1	0	0	0	30	26
711	60	5	0	0	1000001	12	12	same	2	0	0	155.4	0	0	156.35	-76.45	359.97	0	1262.5	1.5669	-15.0000	4	0	1	0	0	0	1	0	numu	DIS	NC	5328.7	1285.5	0.695	61.33		0.8301	47066.7	1	1000001	1	0	0	0	30	28
711	79	6	0	0	1000006	9	9	same	2	0	1	16.7	0	0	0.70	-6.24	229.24	0	195.9	-0.8847	-15.0000	8	0	0	1	0	0	1	0	numu	RES	CC	496.6	261.7	0.37	8.99		0.5038	4504.1	1	8	1	0	0	0	4	2
711	79	7	0	0	8	14	14	same	2	0	0	84.0	0	0	-49.42	130.99	417.81	0	329.4	2.8226	-15.0000	4	0	1	0	0	0	1	0	numu	QE	CC	2049.0	281.0	0.738	0.97		0.8761	4522.4	0	8	1	0	0	0	4	2
711	79	10	0	0	1000000	13	13	same	2	0	0	61.8	0	0	111.92	43.50	452.83	0	764.3	1.9736	-0.6201	4	0	1	0	0	0	1	0	numu	DIS	CC	3630.9	1048.2	0.587	0.82		0.7250	25781.1	1	15	1	0	1	1	15	13
711	79	13	0	0	1000010	15	15	same	2	0	1	102.8	0	0	0.64	-14.37	494.66	0	368.2	2.3120	-15.0000	6	1	1	0	0	1	1	0	numu	RES	CC	1813.1	979.3	0.244	636.64		0.5952	4792.0	1	1000010	1	0	0	0	3	1
