sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV	kine_energy_excluded_MeV	kine_energy_excluded_main_MeV	kine_energy_excluded_other_MeV	kine_n_excluded	kine_energy_flagged_MeV
mcp1k	18255	1	48301	0	7.332	0.782	8	318780	0	cosmic-tagged	10	1	1	0	0																		
mcp1k	18255	1	48367	0	17.067	7.903	18	1282192	0	nu-candidate	15	1	1	1	0	1.098	165.2	27	-161.64511	-91.04813	172.39943	2.244109	-15.0	1.0	0.0	0.7	0.0	1033.3729	1.6559687	0.0	1.6559687	1	0.9103349
mcp1k	18255	1	48565	0	7.398	0.936	8	394424	0	no-bundle	12	0	1	0	0																		
mcp1k	18255	1	48895	0	14.632	6.460	15	1217788	0	nu-candidate	12	1	1	1	0	1.442	168.9	7	-164.94785	-165.48453	185.39592	2.8101292	-15.0	1.0	0.0	0.7	0.0	534.05963	2.8431985	0.0	2.8431985	3	3.6234891
mcp1k	18255	1	49445	0	7.555	1.372	8	474728	0	cosmic-tagged	14	1	1	0	0																		
mcp1k	18255	1	49467	0	7.434	1.011	8	401968	0	cosmic-tagged	14	1	1	0	0																		
mcp1k	18255	1	49511	0	7.384	0.943	8	375424	0	no-beam-flash	14	0	0	0	0																		
mcp1k	18255	1	49709	0	7.462	0.972	8	393448	0	no-beam-flash	12	0	0	0	0																		
mcp1k	18255	1	49885	0	7.499	1.012	8	388992	0	no-beam-flash	14	0	0	0	0																		
mcp1k	18255	1	49951	0	15.681	5.887	16	1149360	0	nu-candidate	12	1	1	1	0	1.983	61.3	12	190.93375	173.97835	21.397694	1.7707367	-15.0	1.0	0.0	0.7	0.0	687.41956	2.0730803	0.0	2.0730803	2	15.238843
mcp1k	18255	1	50017	0	6.264	0.774	7	366516	0	no-beam-flash	13	0	0	0	0																		
mcp1k	18255	1	50303	0	15.693	6.018	16	1191224	0	nu-candidate	11	1	1	1	0	1.704	44.2	11	143.39905	35.91676	184.31253	0.24515156	-15.0	1.0	1.0	0.7	0.0	317.4737	5.968326	0.0	5.968326	3	3.3941374
mcp1k	18255	1	50523	0	7.622	1.901	8	488988	0	cosmic-tagged	10	1	1	0	0																		
mcp1k	18255	1	50743	0	14.498	5.203	15	1150532	0	nu-candidate	14	1	1	1	0	1.658	2.7	7	25.992485	79.01986	306.41455	-3.1206186	-15.0	1.0	0.0	0.7	0.0	15.470816	5.9085393	0.0	5.9085393	4	2.9604897
mcp1k	18255	1	50765	0	7.402	1.328	8	406404	0	cosmic-tagged	11	1	1	0	0																		
mcp1k	18255	1	50787	0	6.268	0.794	7	369936	0	cosmic-tagged	7	1	1	0	0																		
mcp1k	18255	1	50809	0	11.484	1.000	12	391980	0	no-beam-flash	13	0	0	0	0																		
mcp1k	18255	1	50831	0	11.064	5.037	12	1209512	0	nu-candidate	12	1	1	1	0	1.904	18.7	10	-137.4899	-124.45726	415.83563	-1.7257667	-15.0	1.0	0.0	0.7	0.0	239.26755	1.8665566	0.0	1.8665566	1	9.767388
mcp1k	18255	1	50919	0	15.874	0.948	16	376808	0	nu-candidate	10	1	1	0	0																		
mcp1k	18255	1	51051	0	24.371	8.107	25	1311456	0	nu-candidate	13	1	1	1	0	1.101	253.1	4	-17.507397	-33.934334	302.15585	4.383867	-15.0	1.0	0.0	0.7	0.0	811.54395	1.5458366	0.0	1.5458366	1	1.3078365
mcp1k	18255	1	51469	0	18.090	1.198	19	413860	0	cosmic-tagged	15	1	1	0	0																		
mcp1k	18255	1	51513	0	19.291	5.527	20	1196860	0	nu-candidate	12	1	1	1	0	1.499	74.5	7	44.788616	46.40826	138.6273	2.35979	-15.0	1.0	1.0	0.7	0.0	473.46866	20.18863	0.0	20.18863	4	4.054314
mcp1k	18255	1	51865	0	19.278	4.998	20	1171360	0	nu-candidate	9	1	1	1	0	1.330	2.8	8	-56.141663	114.45163	272.04486	-1.9582871	-15.0	1.0	0.0	0.7	0.0	107.83938	23.141264	0.0	23.141264	7	0.0
mcp1k	18255	1	52085	0	18.094	5.983	19	1151660	0	nu-candidate	8	1	1	1	0	1.643	139.8	7	-1.0676664	112.55155	81.51011	4.3545127	-15.0	1.0	0.0	0.7	0.0	675.18365	0.0	0.0	0.0	0	4.28959
mcp1k	18255	1	52195	0	16.981	2.188	18	432376	0	cosmic-tagged	12	1	1	0	0																		
mcp1k	18255	1	52613	0	14.631	1.022	16	374784	0	cosmic-tagged	9	1	1	0	0																		
mcp1k	18255	1	52657	0	19.459	5.887	21	1200768	0	nu-candidate	19	1	1	1	0	1.594	101.0	5	-33.34585	-53.777576	257.69824	1.1781224	-15.0	1.0	1.0	0.7	0.0	384.5514	21.189598	0.0	21.189598	2	20.185205
mcp1k	18255	1	52723	0	18.287	5.949	20	1159392	0	nu-candidate	10	1	2	1	0	1.125	61.6	3	92.555046	29.189365	449.27377	3.2018979	-15.0	1.0	0.0	0.7	0.0	397.35168	0.0	0.0	0.0	0	3.6842606
mcp1k	18255	1	53361	0	20.315	6.600	22	1226160	0	nu-candidate	19	1	1	1	0	1.970	120.9	5	-18.313257	-192.85774	168.75177	2.607871	-15.0	1.0	0.0	0.7	0.0	509.93707	2.5335326	0.0	2.5335326	2	79.17205
