evt	cid	stm	length	i	n	len_cm	medQ	lenThr	straight	fx	fy	fz
168432	22	?	0.0	1	3	30.5	4.36	17.3	0.989	-96.9	-176.8	463.7
174422	13	1	385.4	1	1	12.0	1.29	3.9	0.945	72.8	-129.2	348.3
176160	10	1	126.2	1	1	3.3	1.0	0.0	0.928	134.4	139.5	300.0
278640	17	0	130.3	1	1	3.1	1.11	0.0	0.986	-67.8	-80.1	99.1
278684	20	?	0.0	1	1	1.7	0.77	0.0	1.0	28.9	90.7	15.8
282459	10	0	106.8	1	1	20.9	2.28	20.9	0.989	151.6	185.7	90.7
283009	23	0	315.2	1	2	18.1	2.78	15.6	0.924	-178.9	28.6	285.5
283009	23	0	315.2	2	2	4.2	0.72	1.5	0.943	-174.6	43.3	309.9
283529	12	1	120.5	1	1	5.5	0.5	0.7	0.923	-169.1	-18.1	225.5
284145	11	0	270.8	1	2	40.8	1.5	21.5	0.863	198.0	25.6	276.0
286065	3	1	237.8	1	1	11.4	0.94	0.0	0.926	-133.4	-8.2	457.9
288859	9	0	328.1	1	2	42.0	0.6	2.1	0.701	174.6	62.8	279.1
288859	9	0	328.1	2	2	8.1	0.91	0.7	0.963	170.0	47.6	231.2
317543	15	1	149.6	1	1	5.4	1.26	1.3	0.789	-192.1	-50.3	424.5
319809	20	1	73.6	1	1	12.3	0.92	1.3	0.963	56.3	132.2	401.7
321767	15	0	295.6	1	2	8.2	3.33	7.6	0.996	-23.4	88.2	211.0
349241	15	0	137.1	1	1	20.7	0.98	7.6	0.647	-116.6	-134.6	4.5
390028	5	1	23.1	1	1	12.3	1.02	1.1	0.828	-187.8	-135.3	97.4
390864	16	0	174.3	1	1	10.7	0.9	0.6	0.97	-147.1	-132.3	267.9
395148	10	1	533.3	1	1	12.6	1.02	1.9	0.952	28.2	-48.5	448.3
397392	13	1	266.5	1	2	7.1	1.13	1.9	0.947	-76.1	44.6	246.8
397392	13	1	266.5	2	2	6.2	0.89	1.2	0.94	-13.2	27.5	5.7
405432	15	0	111.0	1	1	18.9	2.69	18.9	0.995	162.1	112.6	46.3
407148	15	0	172.1	1	1	80.1	1.61	52.7	0.989	139.0	101.6	104.9
409084	12	1	108.9	1	1	10.5	0.39	0.6	0.912	106.3	-27.6	68.0
411790	13	1	47.6	1	1	7.1	0.94	0.0	0.94	126.8	194.0	77.0
486049	13	1	254.4	1	1	4.1	1.16	1.2	0.952	-106.4	172.2	197.1
486687	20	0	312.5	1	2	29.0	0.98	1.3	0.835	-160.5	122.8	196.2
486907	16	1	174.9	1	1	3.7	1.51	2.1	0.994	-82.9	78.1	453.5
489327	27	?	0.0	1	1	0.8	1.61	0.4	1.0	0.9	197.6	394.5
490361	20	0	94.3	1	2	21.1	2.16	21.1	0.964	-177.9	-124.3	447.3
58755	21	1	401.1	1	1	5.6	0.99	0.6	0.935	-63.3	-93.0	206.7
60559	19	?	0.0	1	1	4.6	0.88	0.6	0.853	-178.2	55.8	36.5
64475	23	1	340.4	1	2	20.0	2.38	20.0	0.894	-134.6	-151.6	42.2
64475	23	1	340.4	2	2	9.0	1.15	1.4	0.719	-123.6	-152.5	27.4
66624	4	1	135.5	1	1	5.2	0.88	0.0	0.979	-88.0	72.4	204.3
100032	9	1	208.6	1	1	6.2	1.17	0.6	0.883	-19.9	-141.8	157.9
100190	22	1	129.2	1	1	2.3	3.48	2.3	0.984	199.9	-20.3	259.9
105074	23	0	442.8	1	2	82.7	1.0	6.4	0.985	-129.7	130.2	118.7
105404	4	1	104.6	1	1	12.5	0.92	3.2	0.708	-122.4	139.6	174.7
157215	18	?	0.0	1	1	1.2	0.5	0.0	1.0	-133.9	8.6	154.5
166908	9	1	333.7	1	1	4.3	0.95	0.6	0.964	174.8	-138.0	345.4
169306	22	?	0.0	1	1	3.6	0.81	0.0	0.936	176.3	-192.9	104.6
172262	31	?	0.0	1	1	1.6	0.57	0.0	0.941	90.7	67.7	125.2
172397	14	1	305.5	1	1	1.4	1.58	0.7	1.0	-199.5	13.0	138.3
173054	12	1	111.4	1	1	10.0	1.26	1.2	0.871	28.4	-94.4	41.0
174311	3	0	84.9	1	1	8.1	3.5	8.1	0.992	-81.9	5.2	450.9
174551	7	1	52.9	1	1	4.7	1.37	2.1	0.932	170.8	-166.7	118.1
175057	13	0	224.2	1	1	46.1	1.98	40.9	0.996	126.6	-24.4	283.2
175959	19	?	0.0	1	2	0.9	0.76	0.0	1.0	44.1	-178.2	177.4
175959	19	?	0.0	2	2	6.3	3.87	6.3	0.998	5.5	-133.8	177.8
176150	8	0	133.6	1	1	8.6	2.4	8.6	0.988	-43.7	0.2	4.4
176731	5	1	80.9	1	1	9.2	0.9	0.0	0.869	-130.6	-62.8	451.4
177102	9	1	238.5	1	1	4.7	1.09	0.7	0.989	49.8	-126.1	249.3
180117	12	0	419.6	1	1	12.8	2.78	12.8	0.963	-181.4	-26.1	232.9
180462	8	1	106.3	1	1	11.2	0.94	0.6	0.786	159.6	-9.9	452.6
237446	12	0	60.5	1	1	5.8	4.15	5.8	0.977	193.3	-182.8	190.8
273845	8	1	124.0	1	1	5.2	1.0	0.8	0.956	-180.5	119.6	394.1
283299	11	0	331.4	1	1	6.7	3.26	6.7	0.988	-21.8	11.8	224.5
283591	19	?	0.0	1	1	1.9	0.71	0.0	0.998	12.4	189.1	56.2
290740	15	1	266.4	1	1	15.0	0.96	1.2	0.94	61.6	-87.6	73.3
317341	28	?	0.0	1	1	7.1	0.91	2.3	0.875	91.5	43.9	6.1
319275	17	?	0.0	1	1	45.4	0.91	2.7	0.954	44.4	80.7	149.6
321367	3	0	102.2	1	2	10.6	3.23	10.6	0.941	16.0	72.1	458.4
323171	22	0	196.7	1	2	21.8	2.44	21.8	0.954	-156.7	-54.7	58.4
323171	22	0	196.7	2	2	12.9	2.97	12.3	0.984	-156.8	-53.6	54.1
323369	13	0	236.6	1	1	12.9	0.94	0.7	0.87	29.7	-16.2	134.8
348088	8	0	309.3	1	1	7.0	0.89	0.6	0.94	6.3	-129.3	446.5
349276	21	0	419.6	1	1	7.0	0.69	0.6	0.95	-111.0	190.9	86.1
350420	15	1	453.9	1	1	3.6	0.93	0.0	0.787	22.3	52.9	13.6
355106	7	0	353.8	1	1	16.9	1.08	3.3	0.904	150.7	-109.0	257.9
390875	2	1	95.1	1	1	9.1	0.95	0.7	0.732	-91.9	-167.3	243.2
392901	15	0	384.5	1	5	174.4	0.93	7.1	0.954	-9.0	41.9	274.1
393538	8	0	306.2	1	2	3.7	1.19	1.2	0.978	-173.4	-63.2	247.9
393538	8	0	306.2	2	2	18.5	2.52	18.5	0.993	-167.1	-75.2	229.6
393835	12	0	208.8	1	1	3.7	4.21	3.7	0.999	-18.3	-51.3	295.1
394483	3	1	34.0	1	1	5.7	0.87	0.6	0.962	109.3	-197.5	391.8
395209	4	0	418.0	1	1	20.8	2.72	20.8	0.995	-175.9	187.8	95.3
395597	20	0	252.0	1	1	133.6	1.03	26.9	0.941	48.2	10.4	75.1
396323	18	?	0.0	1	1	27.3	0.79	1.3	0.793	-15.9	3.3	488.9
396596	11	1	375.7	1	1	14.5	0.99	1.4	0.934	-151.8	-173.0	200.8
396705	4	1	71.3	1	1	7.7	0.83	0.6	0.933	-118.7	172.0	16.8
403023	11	0	182.7	1	2	38.6	0.95	5.3	0.908	-75.3	73.0	433.3
407798	28	?	0.0	1	2	1.1	0.4	0.0	0.813	-6.2	69.4	326.9
407798	28	?	0.0	2	2	6.8	0.93	0.0	0.995	-4.6	108.9	323.2
409052	17	0	161.6	1	1	3.8	0.53	0.0	0.943	201.0	3.4	427.1
412858	2	1	31.2	1	1	8.8	0.84	0.5	0.883	-160.4	-185.8	8.0
47058	24	?	0.0	1	1	0.9	0.77	0.0	1.0	-35.1	96.2	186.1
49877	21	1	24.9	1	1	10.8	1.28	3.3	0.953	192.9	-51.1	244.9
53111	25	1	103.1	1	1	13.0	0.7	1.8	0.92	-109.0	54.9	59.9
54629	15	0	156.0	1	2	8.3	1.15	2.3	0.979	34.0	106.9	72.9
54629	15	0	156.0	2	2	2.6	0.11	0.0	0.984	9.8	96.9	50.9
54692	7	1	246.6	1	1	7.9	1.1	0.0	0.917	-34.1	150.5	221.2
54882	2	1	88.9	1	1	13.2	1.07	2.8	0.869	-90.5	113.6	37.3
70472	16	0	401.4	1	1	6.8	1.62	3.4	0.928	-83.4	-34.1	442.3
70816	9	1	261.9	1	1	10.6	0.84	0.0	0.963	-147.9	57.6	407.1
72055	14	0	282.7	1	3	8.2	0.94	0.5	0.917	-190.8	-157.4	154.0
72055	14	0	282.7	2	3	7.7	1.43	3.2	0.935	-172.6	-149.8	11.3
72055	14	0	282.7	3	3	8.9	3.26	8.9	0.971	-171.2	-144.5	11.0
72099	12	0	191.4	1	1	10.9	0.98	1.1	0.894	66.5	71.2	362.4
72275	15	0	314.3	1	2	4.9	1.08	0.0	0.855	85.3	82.6	292.3
72275	15	0	314.3	2	2	16.5	2.87	14.6	0.987	74.7	90.7	198.7
72298	15	1	67.2	1	1	4.2	0.54	0.0	0.919	-136.1	-193.0	237.2
73688	16	0	338.5	1	2	86.7	1.73	53.0	0.925	-64.7	78.2	231.1
74326	10	0	167.8	1	4	64.0	1.9	56.2	0.99	65.4	106.8	392.9
76147	5	1	363.8	1	2	3.2	1.01	0.7	0.993	122.4	-21.0	246.7
76147	5	1	363.8	2	2	2.4	1.32	0.7	0.976	36.4	-135.9	287.3
78032	13	1	422.0	1	1	13.8	0.84	1.4	0.732	-55.0	-151.4	445.0
79330	12	1	380.7	1	1	12.8	0.97	0.6	0.88	-19.6	-15.9	308.9
79616	18	0	328.9	1	1	10.3	1.01	0.6	0.848	168.4	135.4	488.4
79616	23	?	0.0	1	1	6.9	1.44	3.0	0.834	-6.1	190.8	472.0
92552	3	1	33.6	1	1	1.4	0.84	0.0	1.0	182.7	182.9	483.4
93105	9	0	203.8	1	2	10.5	1.0	0.0	0.979	122.1	73.3	300.7
93105	9	0	203.8	2	2	53.8	1.96	50.4	0.975	115.4	104.1	298.3
95371	9	1	137.2	1	1	11.9	0.84	0.7	0.783	-45.4	128.3	361.2
95933	18	1	50.2	1	2	3.5	0.59	0.6	0.898	185.9	-132.5	432.8
95933	18	1	50.2	2	2	10.6	0.9	0.6	0.894	188.8	-102.2	411.3
98870	10	1	176.4	1	1	3.4	1.05	0.7	0.968	3.2	172.6	460.7
389538	11	0	221.1	1	1	42.0	1.38	16.6	0.982	-98.2	147.2	419.8
54095	17	0	168.5	1	16	12.5	1.44	5.3	0.888	198.7	27.2	268.5
54095	17	0	168.5	2	16	22.6	0.77	2.5	0.594	201.4	30.2	283.0
