sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV	kine_energy_excluded_MeV	kine_energy_excluded_main_MeV	kine_energy_excluded_other_MeV	kine_n_excluded	kine_energy_flagged_MeV
mcp2k	18259	1	47036	0	6.665	1.028	7	382328	0	cosmic-tagged	9	1	1	0	0																		
mcp2k	18259	1	47058	0	12.002	6.754	13	1207836	0	nu-candidate	10	1	1	1	0	1.341	174.0	11	39.577236	119.27403	99.98794	2.2368555	-15.0	1.0	0.0	0.7	0.0	532.68933	144.96474	0.0	144.96474	5	6.9718866
mcp2k	18259	1	47212	0	16.371	10.135	17	1263204	0	nu-candidate	16	1	1	1	0	1.192	77.0	46	-153.67476	-118.179855	204.30876	-0.4797755	0.8522009	1.0	0.0	0.7	0.0	1342.3474	218.42676	218.42676	0.0	1	170.21864
mcp2k	18259	1	47278	0	11.615	5.964	12	1202784	0	nu-candidate	14	1	1	1	0	1.289	64.4	11	-84.475395	161.87952	202.8092	1.6434077	-15.0	1.0	0.0	0.7	0.0	776.5213	0.0	0.0	0.0	0	20.118694
mcp2k	18259	1	47608	0	6.598	0.954	7	372816	0	no-bundle	11	0	1	0	0																		
mcp2k	18259	1	47696	0	11.633	5.642	12	1169800	0	cosmic-tagged	8	1	1	1	0	0.929	21.1	9	143.75038	7.361813	402.05136	-1.1055288	-3.362936	1.0	0.0	0.7	0.0	121.36505	3.2647264	0.0	3.2647264	3	17.458954
mcp2k	18259	1	47784	0	12.012	7.262	13	1181828	0	nu-candidate	12	1	1	1	0	1.970	227.7	6	56.31806	-76.38703	113.701004	4.104793	-15.0	1.0	0.0	0.7	0.0	994.4398	7.0785546	0.0	7.0785546	4	1.0604538
mcp2k	18259	1	47894	0	10.485	5.281	11	1171636	0	nu-candidate	12	1	1	1	0	1.267	1.9	12	179.3178	-93.51188	29.797544	-1.7224336	-15.0	1.0	1.0	0.7	0.0	127.13083	0.0	0.0	0.0	0	19.035975
mcp2k	18259	1	47916	0	10.467	5.323	11	1137256	0	nu-candidate	9	1	1	1	0	1.954	26.9	1	39.64101	193.86523	262.53302	2.932961	-15.0	1.0	0.0	0.7	0.0	325.7196	1.2775278	0.0	1.2775278	1	0.0
mcp2k	18259	1	47982	0	6.495	0.873	7	353880	0	cosmic-tagged	10	1	1	0	0																		
mcp2k	18259	1	48246	0	6.785	1.508	7	417908	0	cosmic-tagged	10	1	1	0	0																		
mcp2k	18259	1	48444	0	6.880	1.544	7	416720	0	cosmic-tagged	8	1	1	0	0																		
mcp2k	18259	1	48488	0	12.332	7.792	13	1250164	0	nu-candidate	15	1	1	1	0	0.717	220.2	4	-184.67296	182.49231	202.38448	4.68775	-15.0	1.0	0.0	0.7	0.0	712.5263	2.3639276	0.0	2.3639276	2	4.2384167
mcp2k	18259	1	48774	0	12.181	7.676	13	1218172	0	nu-candidate	8	1	1	1	0	1.592	290.2	3	-7.4745927	17.60811	189.45299	4.879018	-15.0	1.0	0.0	0.7	0.0	892.5324	0.0	0.0	0.0	0	4.643288
mcp2k	18259	1	48840	0	6.651	1.165	7	378900	0	cosmic-tagged	12	1	1	0	0																		
mcp2k	18259	1	49016	0	6.823	1.232	7	420416	0	no-bundle	14	0	1	0	0																		
mcp2k	18259	1	49346	0	3.875	0.820	4	364220	0	no-beam-flash	13	0	0	0	0																		
