sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV	kine_energy_excluded_MeV	kine_energy_excluded_main_MeV	kine_energy_excluded_other_MeV	kine_n_excluded	kine_energy_flagged_MeV
ncpi0	18259	1	18625	0	17.236	13.037	18	1261916	0	nu-candidate	12	2	2	1	0	1.833	15.3	11	147.30873	85.10854	166.71344	2.4094594	-15.0	1.0	0.0	0.7	0.0	1478.158	23.844864	0.0	23.844864	3	84.16796
ncpi0	18345	1	21073	0	17.883	13.614	19	1192956	0	nu-candidate	10	1	1	1	0	1.842	102.2	42	-33.10261	26.439455	363.375	0.93239653	-15.0	1.0	0.0	0.7	0.0	1018.9744	471.30966	471.30966	0.0	2	27.60788
ncpi0	18259	1	37112	0	12.457	8.321	13	1195760	0	nu-candidate	12	1	1	1	0	0.901	54.3	41	-165.95512	70.14817	8.208933	0.33614945	-2.4678483	1.0	0.0	0.7	0.0	1538.606	1.4111032	0.0	1.4111032	1	12.846881
ncpi0	18255	1	56982	0	19.566	15.235	20	1238824	0	nu-candidate	15	1	1	1	0	1.864	73.0	46	-89.93941	-149.6068	386.85107	1.1116161	-1.2854422	1.0	0.0	0.7	0.0	1231.2183	128.29822	127.04099	1.2572331	2	76.30527
ncpi0	18255	1	71372	0	31.851	27.670	33	1347336	0	nu-candidate	13	1	1	1	0	2.012	62.6	75	-165.82068	-156.63315	223.2751	2.625735	-15.0	1.0	0.0	0.7	0.0	2597.3179	0.0	0.0	0.0	0	32.192123
ncpi0	18364	1	84229	0	20.767	16.578	21	1191684	0	nu-candidate	10	1	1	1	0	0.671	96.4	36	97.52778	122.7356	384.502	0.758901	-15.0	1.0	0.0	0.7	0.0	1566.248	2.4650292	0.0	2.4650292	2	59.558727
ncpi0	18259	1	105946	0	12.348	8.457	13	1129596	0	nu-candidate	10	1	1	1	0	0.878	50.1	32	-134.39026	-146.77197	400.9667	-0.13145322	-15.0	1.0	0.0	0.7	0.0	1029.0844	143.78001	0.0	143.78001	7	41.410805
ncpi0	18255	1	114446	0	9.513	5.331	10	1206588	0	nu-candidate	14	1	1	1	0	1.233	10.9	6	-65.98571	-64.34706	333.0435	-2.7398417	-15.0	1.0	0.0	0.7	0.0	126.374435	5.0271125	0.0	5.0271125	2	8.657185
ncpi0	18255	1	142421	0	27.947	23.683	29	1320272	0	nu-candidate	11	1	1	1	0	1.158	264.2	52	118.3201	-69.73505	208.7188	3.601646	-15.0	1.0	0.0	0.7	0.0	2768.233	422.23544	420.35196	1.8834941	5	753.1051
ncpi0	18255	1	180801	0	15.869	11.743	17	1301592	0	nu-candidate	13	1	1	1	0	0.728	70.9	36	-33.8715	-14.987667	445.33282	1.356455	-3.2104514	1.0	0.0	0.7	0.0	1324.0621	10.892408	0.0	10.892408	4	63.50574
ncpi0	18345	1	259542	0	17.685	13.512	18	1298096	0	nu-candidate	13	1	1	1	0	1.567	51.3	57	101.91359	17.657187	163.81247	0.02454383	-15.0	1.0	0.0	0.7	0.0	1807.5342	206.96758	0.0	206.96758	4	402.6261
ncpi0	18261	1	285567	0	26.486	22.434	27	1330148	0	nu-candidate	8	1	1	1	0	0.970	118.0	40	59.016544	-177.96709	272.2521	0.9874169	-15.0	1.0	0.0	0.7	0.0	1935.1533	181.743	37.59966	144.14333	7	100.65012
ncpi0	18255	1	314838	0	15.159	11.206	16	1328912	0	nu-candidate	10	1	1	1	0	1.591	36.8	30	25.772255	155.0555	140.34195	-0.31401542	-15.0	1.0	0.0	0.7	0.0	1142.1738	7.2303324	0.0	7.2303324	3	41.727394
ncpi0	18255	1	359980	0	14.685	10.472	15	1239004	0	nu-candidate	15	1	1	1	0	1.612	47.5	39	112.9233	155.85793	275.69632	0.37166744	-15.0	1.0	0.0	0.7	0.0	941.39276	3.7579134	0.0	3.7579134	1	19.507198
ncpi0	18255	1	399860	0	22.541	18.343	23	1198504	0	nu-candidate	12	1	1	1	0	1.977	56.4	24	-32.13763	-84.64111	407.50034	0.53417176	6.3232617	1.0	0.0	0.7	0.0	1386.4971	0.0	0.0	0.0	0	9.307037
ncpi0	18255	1	463565	0	17.636	13.548	18	1229544	0	nu-candidate	11	1	1	1	0	1.366	58.2	46	30.587358	-142.66469	251.16335	-0.44962415	-15.0	1.0	0.0	0.7	0.0	1282.4778	6.1898155	0.0	6.1898155	4	1104.9066
ncpi0	18255	1	506114	0	25.810	26.255	26	1344500	0	nu-candidate	13	1	1	1	0	1.722	93.0	49	118.14703	-13.734578	167.6085	-1.0116671	-15.0	1.0	0.0	0.7	0.0	2291.9033	106.77519	0.0	106.77519	6	56.632214
ncpi0	18255	1	506746	0	15.531	15.937	16	1270424	0	nu-candidate	12	1	1	1	0	1.724	47.9	39	53.9722	-11.691616	40.601692	1.1115888	-15.0	1.0	0.0	0.7	0.0	1925.981	171.79648	169.20561	2.5908515	4	89.53276
ncpi0	18255	1	521075	0	10.520	10.921	11	1240796	0	nu-candidate	9	1	1	1	0	1.187	52.2	14	-87.48913	-35.401386	445.37714	-0.20210777	-15.0	1.0	0.0	0.7	0.0	880.962	4.1443725	0.0	4.1443725	3	10.780649
