sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV
mcp2k	18259	1	47036						0	cosmic-tagged	9	1	1	0	0													
mcp2k	18259	1	47058						0	nu-candidate	10	1	1	1	0	1.341	174.0	11	39.577236	119.27403	99.98794	2.2368555	-15.0	1.0	0.0	0.7	0.0	532.68933
mcp2k	18259	1	47212						0	nu-candidate	16	1	1	1	0	1.192	77.0	46	-153.67476	-118.179855	204.30876	-0.4797755	0.8522009	1.0	0.0	0.7	0.0	1342.3474
mcp2k	18259	1	47278						0	nu-candidate	14	1	1	1	0	1.289	64.4	11	-84.475395	161.87952	202.8092	1.6434077	-15.0	1.0	0.0	0.7	0.0	776.5213
mcp2k	18259	1	47608						0	no-bundle	11	0	1	0	0													
mcp2k	18259	1	47696						0	cosmic-tagged	8	1	1	1	0	0.929	21.1	9	143.75038	7.361813	402.05136	-1.1055288	-3.3629375	1.0	0.0	0.7	0.0	121.36505
mcp2k	18259	1	47784						0	nu-candidate	12	1	1	1	0	1.970	227.7	6	56.31806	-76.38703	113.701004	4.104793	-15.0	1.0	0.0	0.7	0.0	994.4398
mcp2k	18259	1	47894						0	nu-candidate	12	1	1	1	0	1.267	1.9	12	179.3178	-93.51188	29.797544	-1.7224336	-15.0	1.0	1.0	0.7	0.0	127.13083
mcp2k	18259	1	47916						0	nu-candidate	9	1	1	1	0	1.954	26.9	1	39.64101	193.86523	262.53302	2.932961	-15.0	1.0	0.0	0.7	0.0	325.7196
mcp2k	18259	1	47982						0	cosmic-tagged	10	1	1	0	0													
mcp2k	18259	1	48246						0	cosmic-tagged	10	1	1	0	0													
mcp2k	18259	1	48444						0	cosmic-tagged	8	1	1	0	0													
mcp2k	18259	1	48488						0	nu-candidate	15	1	1	1	0	0.717	220.2	4	-184.67296	182.49231	202.38448	4.301008	-15.0	1.0	0.0	0.7	0.0	712.5263
mcp2k	18259	1	48774						0	nu-candidate	8	1	1	1	0	1.592	290.2	3	-7.4745927	17.60811	189.45299	4.301008	-15.0	1.0	0.0	0.7	0.0	892.5324
mcp2k	18259	1	48840						0	cosmic-tagged	12	1	1	0	0													
mcp2k	18259	1	49016		73.660	29.445			0	no-bundle	14	0	1	0	0													
mcp2k	18259	1	49346						0	no-beam-flash	13	0	0	0	0													
mcp2k	18255	1	49415						0	nu-candidate	13	1	1	1	0	0.672	11.3	3	152.29535	101.42643	367.91016	-3.2320845	-15.0	1.0	0.0	0.7	0.0	134.48688
mcp2k	18255	1	49657						0	cosmic-tagged	13	1	1	0	0													
mcp2k	18259	1	49698						0	nu-candidate	16	1	1	0	0													
mcp2k	18259	1	49742						0	nu-candidate	12	1	1	1	0	1.680	86.1	5	180.73679	54.2994	55.46307	1.4630873	-15.0	1.0	1.0	0.7	0.0	452.10327
mcp2k	18255	1	49745						0	nu-candidate	8	1	1	1	0	1.840	46.2	2	-50.043804	-60.31238	301.7564	-1.2886844	-3.7730136	1.0	0.0	0.7	0.0	328.31003
mcp2k	18255	1	49767						0	cosmic-tagged	14	1	1	1	0	1.922	1.1	0	0.0	0.0	0.0	-1.9416895	-15.0	1.0	0.0	0.7	0.0	0.0
mcp2k	18255	1	49789						0	cosmic-tagged	13	1	1	0	0													
mcp2k	18255	1	49877						0	cosmic-tagged	15	1	1	1	0	1.305	1.4	0	0.0	0.0	0.0	-1.9416895	-15.0	1.0	0.0	0.7	0.0	0.0
mcp2k	18259	1	49984						0	nu-candidate	16	1	1	1	0	0.732	27.0	2	-160.16823	-193.10625	476.7954	1.582063	-15.0	1.0	0.0	0.7	0.0	200.86215
mcp2k	18255	1	49987						0	nu-candidate	9	1	1	0	0													
mcp2k	18259	1	50182						0	nu-candidate	10	1	1	1	0	1.956	121.3	3	-19.285082	-113.038506	306.02655	3.7190685	-15.0	1.0	0.0	0.7	0.0	511.52246
mcp2k	18259	1	50226						0	nu-candidate	10	1	1	0	0													
mcp2k	18259	1	50270						0	cosmic-tagged	12	1	1	0	0													
