sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV	kine_energy_excluded_MeV	kine_energy_excluded_main_MeV	kine_energy_excluded_other_MeV	kine_n_excluded	kine_energy_flagged_MeV
mcp1k	18255	1	48301	0	7.300	0.811	8	319076	0	cosmic-tagged	10	1	1	0	0																		
mcp1k	18255	1	48367	0	13.614	7.920	14	1294968	0	nu-candidate	15	1	1	1	0	1.098	165.2	27	-161.64511	-91.04813	172.39943	2.295735	-15.0	1.0	0.0	0.7	0.0	937.8359	1.6559687	0.0	1.6559687	1	14.847636
mcp1k	18255	1	48565	0	7.472	1.048	8	406396	0	no-bundle	12	0	1	0	0																		
mcp1k	18255	1	48895	0	12.447	6.545	13	1225284	0	nu-candidate	12	1	1	1	0	1.442	168.9	7	-164.94785	-165.48453	185.39592	2.8101292	-15.0	1.0	0.0	0.7	0.0	534.05963	2.8431985	0.0	2.8431985	3	3.6234891
mcp1k	18255	1	49445	0	7.516	1.386	8	485316	0	cosmic-tagged	14	1	1	0	0																		
mcp1k	18255	1	49467	0	7.411	1.107	8	406340	0	cosmic-tagged	14	1	1	0	0																		
mcp1k	18255	1	49511	0	7.432	1.002	8	377592	0	no-beam-flash	14	0	0	0	0																		
mcp1k	18255	1	49709	0	7.404	1.070	8	400588	0	no-beam-flash	12	0	0	0	0																		
mcp1k	18255	1	49885	0	6.344	0.962	7	396780	0	no-beam-flash	14	0	0	0	0																		
mcp1k	18255	1	49951	0	8.457	5.563	9	1152448	0	nu-candidate	12	1	1	1	0	1.983	61.3	12	190.78581	174.02457	21.520004	2.3957055	-15.0	1.0	0.0	0.7	0.0	675.18823	2.0730803	0.0	2.0730803	2	15.238843
mcp1k	18255	1	50017	0	6.284	0.849	7	374192	0	no-beam-flash	13	0	0	0	0																		
mcp1k	18255	1	50303	0	11.147	5.800	12	1197012	0	nu-candidate	11	1	1	1	0	1.704	44.2	11	143.40546	35.931374	184.34236	0.19626637	-15.0	1.0	0.0	0.7	0.0	394.14728	5.968326	0.0	5.968326	3	9.460386
