sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV	kine_energy_excluded_MeV	kine_energy_excluded_main_MeV	kine_energy_excluded_other_MeV	kine_n_excluded	kine_energy_flagged_MeV
nuecc48	18255	1	388	0	33.597	31.909	34	1449580	0	nu-candidate	14	1	1	1	0	1.653	86.3	50	-163.21222	31.451654	426.28516	-1.7712955	12.829434	1.0	0.0	0.7	0.0	2430.099	249.11572	246.15459	2.9611418	4	19.90766
nuecc48	18255	1	10550	0	11.223	9.398	12	1303396	0	nu-candidate	8	2	1	1	0	1.193	56.9	40	89.94852	55.062885	128.73618	-0.29972005	13.331341	1.0	0.0	0.7	0.0	865.73663	4.0478106	0.0	4.0478106	2	0.0
nuecc48	18342	1	30504	0	12.672	11.119	13	1242900	0	nu-candidate	7	1	1	1	0	1.646	83.8	32	28.937946	-51.199387	88.36468	-0.44538024	9.214635	1.0	0.0	0.7	0.0	1071.7369	3.859562	0.0	3.859562	2	4.6760406
nuecc48	18304	1	38856	0	18.482	16.716	19	1310980	0	nu-candidate	10	1	1	1	0	1.106	94.3	28	-56.03452	-77.50967	409.65408	-0.8961045	13.685077	1.0	0.0	0.7	0.0	1302.7246	0.0	0.0	0.0	0	3.2259374
nuecc48	18259	1	42280	0	31.902	30.237	32	1351416	0	nu-candidate	9	1	1	1	0	1.856	114.6	45	14.136486	-10.234947	89.365204	-1.6433241	12.556997	1.0	0.0	0.7	0.0	1900.6833	4.8971024	0.0	4.8971024	2	21.88561
nuecc48	18255	1	46363	0	35.296	33.597	36	1290468	0	nu-candidate	11	1	1	1	0	0.836	110.9	44	-78.24123	16.500902	297.84647	-0.96426034	10.2041	1.0	0.0	0.7	0.0	1714.6066	22.175045	0.0	22.175045	4	0.0
nuecc48	18259	1	52672	0	13.310	11.350	14	1280940	0	nu-candidate	10	1	1	1	0	1.520	54.6	57	-135.72598	66.737465	295.16354	-0.09642964	12.850786	1.0	0.0	0.7	0.0	905.4579	5.2913585	0.0	5.2913585	2	46.67516
nuecc48	18259	1	54095	0	54.154	52.429	55	1439808	0	nu-candidate	12	1	1	1	0	0.832	124.6	53	175.78348	26.884104	186.65598	-1.070176	12.313513	1.0	0.0	0.7	0.0	2820.9548	0.34465665	0.0	0.34465665	1	10.165322
nuecc48	18255	1	69314	0	12.055	12.455	13	1256044	0	nu-candidate	14	1	1	1	0	1.285	171.1	27	-111.80694	-18.531624	164.62831	2.9639146	-15.0	1.0	0.0	0.7	0.0	1380.2876	363.80008	117.43757	246.3625	17	21.15582
nuecc48	18259	1	74544	0	27.311	27.694	28	1354924	0	nu-candidate	9	1	1	1	0	1.790	102.7	20	136.21492	-170.21475	406.22015	-0.5551724	11.907783	1.0	0.0	0.7	0.0	1499.4567	323.69864	318.75092	4.9477434	16	1.6215951
nuecc48	18313	1	81597	0	15.467	15.977	16	1359572	0	nu-candidate	13	1	1	1	0	0.605	86.6	37	-179.61479	39.95656	358.3045	0.3874633	12.381254	1.0	0.0	0.7	0.0	1382.0239	72.54587	71.17179	1.374079	4	1.6783016
nuecc48	18255	1	90055	0	37.089	37.485	38	1392380	0	nu-candidate	8	1	1	1	0	0.647	91.6	64	129.22658	24.919636	202.40466	-0.6698236	10.120046	1.0	0.0	0.7	0.0	2489.206	0.0	0.0	0.0	0	3.9938822
nuecc48	18259	1	111412	0	13.553	13.972	14	1307468	0	nu-candidate	16	1	1	1	0	2.028	98.4	22	156.88266	115.74363	189.34163	1.549556	1.0522991	1.0	1.0	0.7	0.0	810.9064	0.63818765	0.0	0.63818765	1	6.2871256
nuecc48	18259	1	116962	0	9.142	9.574	10	1304460	0	cosmic-tagged	13	1	1	1	0	1.645	38.3	22	-68.963	-81.07205	167.43852	0.06771914	-6.0735507	1.0	0.0	0.7	0.0	829.85583	0.0	0.0	0.0	0	140.04193
nuecc48	18255	1	122660	0	13.030	13.496	13	1243748	0	nu-candidate	8	1	1	1	0	0.901	49.2	44	-100.45415	-40.076756	463.931	-0.4861201	-15.0	1.0	0.0	0.7	0.0	1483.1249	8.8219185	0.0	8.8219185	6	141.607
nuecc48	18259	1	131357	0	8.027	8.460	8	1254044	0	nu-candidate	16	1	1	1	0	1.964	61.7	22	43.194954	177.58345	136.07727	0.030483268	11.854288	1.0	0.0	0.7	0.0	768.85504	0.72899526	0.0	0.72899526	1	4.0002065
nuecc48	18264	1	137238	0	9.111	9.596	10	1405304	0	nu-candidate	18	1	1	1	0	0.879	100.5	17	-112.76085	30.236526	392.8291	0.72436506	1.3339589	1.0	0.0	0.7	0.0	865.82623	298.83725	0.0	298.83725	5	8.883466
nuecc48	18255	1	138009	0	10.463	10.911	11	1240472	0	nu-candidate	14	1	1	1	0	0.791	73.1	34	-103.23682	160.12317	81.5103	-0.2590464	13.001313	1.0	0.0	0.7	0.0	1349.5403	1.4192237	0.0	1.4192237	1	4.8076177
nuecc48	18255	1	163543	0	10.970	11.416	11	1294176	0	nu-candidate	11	1	1	1	0	0.954	64.6	50	-79.9447	-94.76677	247.51384	-0.5850564	2.126761	1.0	0.0	0.7	0.0	1207.8062	3.3945243	0.0	3.3945243	1	35.014896
nuecc48	18255	1	168596	0	25.174	25.569	26	1395876	0	nu-candidate	10	1	1	1	0	1.207	87.3	54	-189.12283	25.551184	147.89427	-1.833742	8.598327	1.0	0.0	0.7	0.0	1971.2158	5.1516	0.0	5.1516	2	18.663061
nuecc48	18253	1	172230	0	14.220	14.740	15	1260036	0	nu-candidate	13	1	1	1	0	1.662	65.4	36	-55.245316	-87.62151	19.710436	-1.3425006	12.340325	1.0	0.0	0.7	0.0	1504.1761	0.0	0.0	0.0	0	1.4036826
nuecc48	18255	1	174637	0	10.067	10.479	11	1287492	0	nu-candidate	7	1	1	1	0	1.363	77.1	28	-166.51836	-57.068714	297.55588	0.81212395	10.666484	1.0	0.0	0.7	0.0	971.9593	59.074734	40.648373	18.42636	4	3.1434162
nuecc48	18255	1	196649	0	36.894	37.361	37	1311332	0	nu-candidate	10	1	1	1	0	1.272	108.2	24	-53.458668	-21.44242	193.66965	-0.091368474	5.9186482	1.0	0.0	0.7	0.0	1591.7906	2.0062027	0.0	2.0062027	2	14.48682
nuecc48	18409	1	214469	0	26.228	26.725	27	1428644	0	nu-candidate	12	1	1	1	0	1.935	157.1	49	-31.01128	2.624901	300.9144	-1.0823302	12.154698	1.0	0.0	0.7	0.0	2266.52	0.0	0.0	0.0	0	124.92487
nuecc48	18255	1	219295	0	18.459	18.963	19	1346812	0	nu-candidate	13	1	1	1	0	1.261	131.3	38	97.47648	52.414627	95.408615	-0.9730442	9.234095	1.0	0.0	0.7	0.0	1877.3663	97.80503	97.36743	0.43760234	2	8.893804
nuecc48	18255	1	234638	0	12.422	12.878	13	1290988	0	nu-candidate	9	1	1	1	0	0.990	114.5	54	102.86339	-6.1657834	363.7799	1.130644	6.8222303	1.0	0.0	0.7	0.0	1429.2795	0.0	0.0	0.0	0	134.33058
nuecc48	18255	1	235435	0	8.283	8.768	9	1263624	0	nu-candidate	9	1	2	1	0	1.438	60.2	9	-95.95887	192.83702	198.23984	2.357394	-4.553015	1.0	0.0	0.7	0.0	795.83014	0.0	0.0	0.0	0	5.374788
nuecc48	18255	1	239794	0	32.957	33.453	33	1355136	0	nu-candidate	11	1	1	1	0	0.509	97.2	54	-171.71713	-26.633516	194.81288	-0.87946105	13.3911085	1.0	0.0	0.7	0.0	2707.3127	0.0	0.0	0.0	0	22.183187
nuecc48	18255	1	246579	0	28.882	29.347	29	1310472	0	nu-candidate	11	1	1	1	0	1.735	108.1	44	-103.95099	-58.764946	29.961916	-0.41787925	14.75047	1.0	0.0	0.7	0.0	1710.2202	0.0	0.0	0.0	0	16.023457
nuecc48	18306	1	256587	0	135.525	136.057	136	1509620	0	nu-candidate	9	1	1	1	0	1.482	130.6	89	-109.91761	-25.1753	245.49832	-0.6575861	9.447236	1.0	0.0	0.7	0.0	3594.7644	24.490458	0.0	24.490458	2	29.351406
nuecc48	18279	1	267597	0	18.932	19.375	19	1284040	0	nu-candidate	8	1	1	1	0	0.712	127.2	64	81.92086	-128.90208	367.70248	0.035613153	11.502834	1.0	0.0	0.7	0.0	1763.3108	9.349857	0.0	9.349857	4	101.220856
nuecc48	18255	1	268067	0	9.579	10.103	10	1279708	0	nu-candidate	9	1	1	1	0	1.275	101.8	22	-80.53749	-65.06448	280.64288	0.5924058	10.961577	1.0	0.0	0.7	0.0	1359.1632	0.0	0.0	0.0	0	4.7057424
nuecc48	18255	1	268784	0	12.178	12.645	13	1315444	0	nu-candidate	12	1	1	1	0	1.395	132.8	43	91.90999	19.530485	397.49698	0.57602704	7.330752	1.0	0.0	0.7	0.0	1810.0105	0.46524492	0.0	0.46524492	1	25.696138
nuecc48	18255	1	269774	0	15.677	16.128	16	1282176	0	nu-candidate	9	1	1	1	0	0.718	51.1	79	60.854485	-10.287995	111.153625	-1.0578969	10.70929	1.0	0.0	0.7	0.0	1997.9364	219.38892	0.0	219.38892	7	300.96338
nuecc48	18255	1	271851	0	15.267	15.769	16	1439416	0	nu-candidate	16	1	1	1	0	0.764	64.7	40	-156.63138	4.925527	315.66577	1.4495391	1.2659221	1.0	0.0	0.7	0.0	1158.5476	5.3330607	0.0	5.3330607	1	238.2737
nuecc48	18269	1	342199	0	8.756	9.136	9	1314360	0	nu-candidate	14	1	1	1	0	0.795	64.2	30	-52.45101	4.9822574	175.01952	-0.71124536	11.537849	1.0	0.0	0.7	0.0	1159.4467	2.981488	0.0	2.981488	2	64.67383
nuecc48	18255	1	350186	0	8.767	9.155	9	1264816	0	nu-candidate	17	1	1	1	0	1.631	48.4	26	-22.420061	82.30981	365.25266	-0.58893335	-2.100594	1.0	0.0	0.7	0.0	872.32745	0.0	0.0	0.0	0	17.99904
nuecc48	18255	1	360535	0	29.991	30.512	30	1351116	0	nu-candidate	15	2	2	1	0	1.793	100.9	37	-185.96059	-110.62677	80.57301	-0.49746597	10.153941	1.0	0.0	0.7	0.0	2094.8433	0.0	0.0	0.0	0	14.231642
nuecc48	18255	1	389538	0	12.043	12.371	13	1287140	0	nu-candidate	10	2	2	1	0	1.802	171.8	34	-174.12238	2.497168	278.45074	0.449752	14.085358	1.0	0.0	0.7	0.0	1272.8429	655.8874	0.0	655.8874	6	27.583101
nuecc48	18355	1	400474	0	16.421	16.814	17	1319948	0	nu-candidate	12	1	1	1	0	1.672	91.0	54	60.34322	-117.53545	259.58243	0.17576165	13.86823	1.0	0.0	0.7	0.0	1699.86	0.5224129	0.0	0.5224129	1	33.923145
nuecc48	18255	1	422851	0	9.782	10.205	10	1272704	0	nu-candidate	10	1	1	1	0	0.937	59.4	50	-109.00968	-59.423367	345.8444	-1.0786343	13.064728	1.0	0.0	0.7	0.0	1284.4417	0.0	0.0	0.0	0	54.316353
nuecc48	18255	1	423981	0	15.906	16.407	16	1279720	0	nu-candidate	12	1	1	1	0	1.059	124.4	33	49.02327	141.28485	176.1082	0.1465506	11.130581	1.0	0.0	0.7	0.0	1765.3999	6.6799355	0.0	6.6799355	2	9.81775
nuecc48	18255	1	433451	0	28.781	29.283	29	1330860	0	nu-candidate	13	1	1	1	0	0.858	101.7	94	-150.14171	43.49943	211.29218	-1.1860821	11.1784115	1.0	0.0	0.7	0.0	2405.8564	121.34006	115.21035	6.129712	4	41.54407
nuecc48	18255	1	437699	0	12.576	13.029	13	1349604	0	nu-candidate	8	1	1	1	0	1.593	94.0	42	108.93573	-149.59138	153.61032	-1.7335323	9.439685	1.0	0.0	0.7	0.0	1374.282	80.464836	0.0	80.464836	3	5.318509
nuecc48	18253	1	444187	0	10.545	11.059	11	1368084	0	nu-candidate	15	2	2	1	0	1.573	170.5	6	39.576504	-12.174749	166.32228	0.4852312	10.414558	1.0	0.0	0.7	0.0	1197.6287	2.2892435	0.0	2.2892435	1	14.926933
nuecc48	18255	1	447477	0	10.370	10.901	11	1285572	0	nu-candidate	10	1	1	1	0	1.825	60.5	38	118.76236	-29.637245	377.61963	0.0024162363	10.901865	1.0	0.0	0.7	0.0	1169.7754	3.3595674	0.0	3.3595674	3	4.3113623
nuecc48	18255	1	469665	0	7.308	7.818	8	1285568	0	nu-candidate	10	1	1	1	0	1.142	31.3	25	24.878466	62.485294	283.96237	-0.4867441	3.811838	1.0	0.0	0.7	0.0	426.35245	219.39462	0.0	219.39462	19	60.15842
nuecc48	18255	1	489330	0	24.519	25.125	25	1297268	0	nu-candidate	10	1	1	1	0	0.700	103.8	24	-61.43732	-158.862	102.34218	-0.3648629	12.887891	1.0	0.0	0.7	0.0	1925.6285	52.336105	52.336105	0.0	1	3.1083488
